Year,SERIES,UNIT_MEASURE,Spol,Godine,Value
2006,"Udio mladih koji nisu u obuhvaćeni obrazovanjem, zaposlenošću, ili obukom",Procenat,Oba spola ili bez podjele po spolu,15 do 24 godine,34.7
2007,"Udio mladih koji nisu u obuhvaćeni obrazovanjem, zaposlenošću, ili obukom",Procenat,Oba spola ili bez podjele po spolu,15 do 24 godine,31.3
2008,"Udio mladih koji nisu u obuhvaćeni obrazovanjem, zaposlenošću, ili obukom",Procenat,Oba spola ili bez podjele po spolu,15 do 24 godine,26.4
2009,"Udio mladih koji nisu u obuhvaćeni obrazovanjem, zaposlenošću, ili obukom",Procenat,Oba spola ili bez podjele po spolu,15 do 24 godine,25.5
2010,"Udio mladih koji nisu u obuhvaćeni obrazovanjem, zaposlenošću, ili obukom",Procenat,Oba spola ili bez podjele po spolu,15 do 24 godine,28.3
2011,"Udio mladih koji nisu u obuhvaćeni obrazovanjem, zaposlenošću, ili obukom",Procenat,Oba spola ili bez podjele po spolu,15 do 24 godine,27.8
2012,"Udio mladih koji nisu u obuhvaćeni obrazovanjem, zaposlenošću, ili obukom",Procenat,Oba spola ili bez podjele po spolu,15 do 24 godine,28.5
2013,"Udio mladih koji nisu u obuhvaćeni obrazovanjem, zaposlenošću, ili obukom",Procenat,Oba spola ili bez podjele po spolu,15 do 24 godine,26.0
2014,"Udio mladih koji nisu u obuhvaćeni obrazovanjem, zaposlenošću, ili obukom",Procenat,Oba spola ili bez podjele po spolu,15 do 24 godine,26.3
2015,"Udio mladih koji nisu u obuhvaćeni obrazovanjem, zaposlenošću, ili obukom",Procenat,Oba spola ili bez podjele po spolu,15 do 24 godine,28.1
2016,"Udio mladih koji nisu u obuhvaćeni obrazovanjem, zaposlenošću, ili obukom",Procenat,Oba spola ili bez podjele po spolu,15 do 24 godine,27.0
2017,"Udio mladih koji nisu u obuhvaćeni obrazovanjem, zaposlenošću, ili obukom",Procenat,Oba spola ili bez podjele po spolu,15 do 24 godine,24.5
2018,"Udio mladih koji nisu u obuhvaćeni obrazovanjem, zaposlenošću, ili obukom",Procenat,Oba spola ili bez podjele po spolu,15 do 24 godine,22.1
2019,"Udio mladih koji nisu u obuhvaćeni obrazovanjem, zaposlenošću, ili obukom",Procenat,Oba spola ili bez podjele po spolu,15 do 24 godine,21.2
2020,"Udio mladih koji nisu u obuhvaćeni obrazovanjem, zaposlenošću, ili obukom",Procenat,Oba spola ili bez podjele po spolu,15 do 24 godine,21.8
2021,"Udio mladih koji nisu u obuhvaćeni obrazovanjem, zaposlenošću, ili obukom",Procenat,Oba spola ili bez podjele po spolu,15 do 24 godine,19.3
2006,"Udio mladih koji nisu u obuhvaćeni obrazovanjem, zaposlenošću, ili obukom",Procenat,Žene,15 do 24 godine,35.3
2007,"Udio mladih koji nisu u obuhvaćeni obrazovanjem, zaposlenošću, ili obukom",Procenat,Žene,15 do 24 godine,31.5
2008,"Udio mladih koji nisu u obuhvaćeni obrazovanjem, zaposlenošću, ili obukom",Procenat,Žene,15 do 24 godine,27.9
2009,"Udio mladih koji nisu u obuhvaćeni obrazovanjem, zaposlenošću, ili obukom",Procenat,Žene,15 do 24 godine,25.8
2010,"Udio mladih koji nisu u obuhvaćeni obrazovanjem, zaposlenošću, ili obukom",Procenat,Žene,15 do 24 godine,28.2
2011,"Udio mladih koji nisu u obuhvaćeni obrazovanjem, zaposlenošću, ili obukom",Procenat,Žene,15 do 24 godine,26.4
2012,"Udio mladih koji nisu u obuhvaćeni obrazovanjem, zaposlenošću, ili obukom",Procenat,Žene,15 do 24 godine,26.4
2013,"Udio mladih koji nisu u obuhvaćeni obrazovanjem, zaposlenošću, ili obukom",Procenat,Žene,15 do 24 godine,24.4
2014,"Udio mladih koji nisu u obuhvaćeni obrazovanjem, zaposlenošću, ili obukom",Procenat,Žene,15 do 24 godine,24.4
2015,"Udio mladih koji nisu u obuhvaćeni obrazovanjem, zaposlenošću, ili obukom",Procenat,Žene,15 do 24 godine,26.4
2016,"Udio mladih koji nisu u obuhvaćeni obrazovanjem, zaposlenošću, ili obukom",Procenat,Žene,15 do 24 godine,25.2
2017,"Udio mladih koji nisu u obuhvaćeni obrazovanjem, zaposlenošću, ili obukom",Procenat,Žene,15 do 24 godine,24.3
2018,"Udio mladih koji nisu u obuhvaćeni obrazovanjem, zaposlenošću, ili obukom",Procenat,Žene,15 do 24 godine,21.7
2019,"Udio mladih koji nisu u obuhvaćeni obrazovanjem, zaposlenošću, ili obukom",Procenat,Žene,15 do 24 godine,21.7
2020,"Udio mladih koji nisu u obuhvaćeni obrazovanjem, zaposlenošću, ili obukom",Procenat,Žene,15 do 24 godine,23.3
2021,"Udio mladih koji nisu u obuhvaćeni obrazovanjem, zaposlenošću, ili obukom",Procenat,Žene,15 do 24 godine,19.9
2006,"Udio mladih koji nisu u obuhvaćeni obrazovanjem, zaposlenošću, ili obukom",Procenat,Muškarci,15 do 24 godine,34.0
2007,"Udio mladih koji nisu u obuhvaćeni obrazovanjem, zaposlenošću, ili obukom",Procenat,Muškarci,15 do 24 godine,31.1
2008,"Udio mladih koji nisu u obuhvaćeni obrazovanjem, zaposlenošću, ili obukom",Procenat,Muškarci,15 do 24 godine,25.0
2009,"Udio mladih koji nisu u obuhvaćeni obrazovanjem, zaposlenošću, ili obukom",Procenat,Muškarci,15 do 24 godine,25.3
2010,"Udio mladih koji nisu u obuhvaćeni obrazovanjem, zaposlenošću, ili obukom",Procenat,Muškarci,15 do 24 godine,28.4
2011,"Udio mladih koji nisu u obuhvaćeni obrazovanjem, zaposlenošću, ili obukom",Procenat,Muškarci,15 do 24 godine,29.0
2012,"Udio mladih koji nisu u obuhvaćeni obrazovanjem, zaposlenošću, ili obukom",Procenat,Muškarci,15 do 24 godine,30.6
2013,"Udio mladih koji nisu u obuhvaćeni obrazovanjem, zaposlenošću, ili obukom",Procenat,Muškarci,15 do 24 godine,27.6
2014,"Udio mladih koji nisu u obuhvaćeni obrazovanjem, zaposlenošću, ili obukom",Procenat,Muškarci,15 do 24 godine,27.9
2015,"Udio mladih koji nisu u obuhvaćeni obrazovanjem, zaposlenošću, ili obukom",Procenat,Muškarci,15 do 24 godine,29.7
2016,"Udio mladih koji nisu u obuhvaćeni obrazovanjem, zaposlenošću, ili obukom",Procenat,Muškarci,15 do 24 godine,28.5
2017,"Udio mladih koji nisu u obuhvaćeni obrazovanjem, zaposlenošću, ili obukom",Procenat,Muškarci,15 do 24 godine,24.7
2018,"Udio mladih koji nisu u obuhvaćeni obrazovanjem, zaposlenošću, ili obukom",Procenat,Muškarci,15 do 24 godine,22.6
2019,"Udio mladih koji nisu u obuhvaćeni obrazovanjem, zaposlenošću, ili obukom",Procenat,Muškarci,15 do 24 godine,20.8
2020,"Udio mladih koji nisu u obuhvaćeni obrazovanjem, zaposlenošću, ili obukom",Procenat,Muškarci,15 do 24 godine,20.4
2021,"Udio mladih koji nisu u obuhvaćeni obrazovanjem, zaposlenošću, ili obukom",Procenat,Muškarci,15 do 24 godine,18.8
