Year,SERIES,UNIT_MEASURE,Spol,Value
2010,Neosuđeni pritvorenici kao udio u ukupnoj zatvorskoj populaciji,Procenat,Oba pola,17.9
2011,Neosuđeni pritvorenici kao udio u ukupnoj zatvorskoj populaciji,Procenat,Oba pola,14.58
2012,Neosuđeni pritvorenici kao udio u ukupnoj zatvorskoj populaciji,Procenat,Oba pola,12.09
2013,Neosuđeni pritvorenici kao udio u ukupnoj zatvorskoj populaciji,Procenat,Oba pola,11.66
2014,Neosuđeni pritvorenici kao udio u ukupnoj zatvorskoj populaciji,Procenat,Oba pola,12.14
2015,Neosuđeni pritvorenici kao udio u ukupnoj zatvorskoj populaciji,Procenat,Oba pola,15.05
2016,Neosuđeni pritvorenici kao udio u ukupnoj zatvorskoj populaciji,Procenat,Oba pola,15.36
2017,Neosuđeni pritvorenici kao udio u ukupnoj zatvorskoj populaciji,Procenat,Oba pola,15.43
2018,Neosuđeni pritvorenici kao udio u ukupnoj zatvorskoj populaciji,Procenat,Oba pola,28.08
2019,Neosuđeni pritvorenici kao udio u ukupnoj zatvorskoj populaciji,Procenat,Oba pola,31.82
2020,Neosuđeni pritvorenici kao udio u ukupnoj zatvorskoj populaciji,Procenat,Oba pola,27.05
2021,Neosuđeni pritvorenici kao udio u ukupnoj zatvorskoj populaciji,Procenat,Oba pola,27.36
2022,Neosuđeni pritvorenici kao udio u ukupnoj zatvorskoj populaciji,Procenat,Oba pola,30.56
2019,Neosuđeni pritvorenici kao udio u ukupnoj zatvorskoj populaciji,Procenat,Žene,50.46
2020,Neosuđeni pritvorenici kao udio u ukupnoj zatvorskoj populaciji,Procenat,Žene,72.0
2021,Neosuđeni pritvorenici kao udio u ukupnoj zatvorskoj populaciji,Procenat,Žene,32.61
2022,Neosuđeni pritvorenici kao udio u ukupnoj zatvorskoj populaciji,Procenat,Žene,42.86
2019,Neosuđeni pritvorenici kao udio u ukupnoj zatvorskoj populaciji,Procenat,Muškarci,31.06
2020,Neosuđeni pritvorenici kao udio u ukupnoj zatvorskoj populaciji,Procenat,Muškarci,39.23
2021,Neosuđeni pritvorenici kao udio u ukupnoj zatvorskoj populaciji,Procenat,Muškarci,37.83
2022,Neosuđeni pritvorenici kao udio u ukupnoj zatvorskoj populaciji,Procenat,Muškarci,43.47
