Year,SERIES,UNIT_MEASURE,Godine,Value
2000,Djeca sa umjerenom ili ozbiljnom prekomjernom tjelesnom težinom (broj),Hiljade,Ispod 5 godina,38.5
2001,Djeca sa umjerenom ili ozbiljnom prekomjernom tjelesnom težinom (broj),Hiljade,Ispod 5 godina,40.8
2002,Djeca sa umjerenom ili ozbiljnom prekomjernom tjelesnom težinom (broj),Hiljade,Ispod 5 godina,41.4
2003,Djeca sa umjerenom ili ozbiljnom prekomjernom tjelesnom težinom (broj),Hiljade,Ispod 5 godina,40.5
2004,Djeca sa umjerenom ili ozbiljnom prekomjernom tjelesnom težinom (broj),Hiljade,Ispod 5 godina,39.0
2005,Djeca sa umjerenom ili ozbiljnom prekomjernom tjelesnom težinom (broj),Hiljade,Ispod 5 godina,37.9
2006,Djeca sa umjerenom ili ozbiljnom prekomjernom tjelesnom težinom (broj),Hiljade,Ispod 5 godina,35.8
2007,Djeca sa umjerenom ili ozbiljnom prekomjernom tjelesnom težinom (broj),Hiljade,Ispod 5 godina,35.4
2008,Djeca sa umjerenom ili ozbiljnom prekomjernom tjelesnom težinom (broj),Hiljade,Ispod 5 godina,36.1
2009,Djeca sa umjerenom ili ozbiljnom prekomjernom tjelesnom težinom (broj),Hiljade,Ispod 5 godina,36.4
2010,Djeca sa umjerenom ili ozbiljnom prekomjernom tjelesnom težinom (broj),Hiljade,Ispod 5 godina,35.7
2011,Djeca sa umjerenom ili ozbiljnom prekomjernom tjelesnom težinom (broj),Hiljade,Ispod 5 godina,36.2
2012,Djeca sa umjerenom ili ozbiljnom prekomjernom tjelesnom težinom (broj),Hiljade,Ispod 5 godina,34.6
2013,Djeca sa umjerenom ili ozbiljnom prekomjernom tjelesnom težinom (broj),Hiljade,Ispod 5 godina,31.7
2014,Djeca sa umjerenom ili ozbiljnom prekomjernom tjelesnom težinom (broj),Hiljade,Ispod 5 godina,28.7
2015,Djeca sa umjerenom ili ozbiljnom prekomjernom tjelesnom težinom (broj),Hiljade,Ispod 5 godina,26.2
2016,Djeca sa umjerenom ili ozbiljnom prekomjernom tjelesnom težinom (broj),Hiljade,Ispod 5 godina,22.9
2017,Djeca sa umjerenom ili ozbiljnom prekomjernom tjelesnom težinom (broj),Hiljade,Ispod 5 godina,20.7
2018,Djeca sa umjerenom ili ozbiljnom prekomjernom tjelesnom težinom (broj),Hiljade,Ispod 5 godina,19.3
2019,Djeca sa umjerenom ili ozbiljnom prekomjernom tjelesnom težinom (broj),Hiljade,Ispod 5 godina,18.1
2020,Djeca sa umjerenom ili ozbiljnom prekomjernom tjelesnom težinom (broj),Hiljade,Ispod 5 godina,17.0
2000,Udio djece sa umjerenom ili ozbiljnom prekomjernom tjelesnom težinom,Procenat,Ispod 5 godina,16.3
2006,Udio djece sa umjerenom ili ozbiljnom prekomjernom tjelesnom težinom,Procenat,Ispod 5 godina,25.7
2012,Udio djece sa umjerenom ili ozbiljnom prekomjernom tjelesnom težinom,Procenat,Ispod 5 godina,17.4
2000,Udio djece koja su umjereno ili ozbiljno iscrpljena,Procenat,Ispod 5 godina,7.4
2006,Udio djece koja su umjereno ili ozbiljno iscrpljena,Procenat,Ispod 5 godina,4.0
2012,Udio djece koja su umjereno ili ozbiljno iscrpljena,Procenat,Ispod 5 godina,2.3
