Year,SERIES,UNIT_MEASURE,Privredna aktivnost,Value
2006,Zaposlenost u  prerađivačkoj industriji  kao udio ukupne zaposlenosti,Procenat,Proizvodnja,17.0
2007,Zaposlenost u  prerađivačkoj industriji  kao udio ukupne zaposlenosti,Procenat,Proizvodnja,17.9
2008,Zaposlenost u  prerađivačkoj industriji  kao udio ukupne zaposlenosti,Procenat,Proizvodnja,16.6
2009,Zaposlenost u  prerađivačkoj industriji  kao udio ukupne zaposlenosti,Procenat,Proizvodnja,16.4
2010,Zaposlenost u  prerađivačkoj industriji  kao udio ukupne zaposlenosti,Procenat,Proizvodnja,16.8
2011,Zaposlenost u  prerađivačkoj industriji  kao udio ukupne zaposlenosti,Procenat,Proizvodnja,16.0
2012,Zaposlenost u  prerađivačkoj industriji  kao udio ukupne zaposlenosti,Procenat,Proizvodnja,15.5
2013,Zaposlenost u  prerađivačkoj industriji  kao udio ukupne zaposlenosti,Procenat,Proizvodnja,16.0
2014,Zaposlenost u  prerađivačkoj industriji  kao udio ukupne zaposlenosti,Procenat,Proizvodnja,16.1
2015,Zaposlenost u  prerađivačkoj industriji  kao udio ukupne zaposlenosti,Procenat,Proizvodnja,16.1
2016,Zaposlenost u  prerađivačkoj industriji  kao udio ukupne zaposlenosti,Procenat,Proizvodnja,17.3
2017,Zaposlenost u  prerađivačkoj industriji  kao udio ukupne zaposlenosti,Procenat,Proizvodnja,16.5
2018,Zaposlenost u  prerađivačkoj industriji  kao udio ukupne zaposlenosti,Procenat,Proizvodnja,17.7
2019,Zaposlenost u  prerađivačkoj industriji  kao udio ukupne zaposlenosti,Procenat,Proizvodnja,18.6
2020,Zaposlenost u  prerađivačkoj industriji  kao udio ukupne zaposlenosti,Procenat,Proizvodnja,18.9
2021,Zaposlenost u  prerađivačkoj industriji  kao udio ukupne zaposlenosti,Procenat,Proizvodnja,17.3
