Year,SERIES,UNIT_MEASURE,Godine,Spol,Stepen urbanizacije,Value
2000,"Zaposleno stanovništvo ispod međunarodne linije siromaštva, po spolu i starosti (%)",Procenat,15 godina i više,Oba spola ili bez podjele po spolu,,
2001,"Zaposleno stanovništvo ispod međunarodne linije siromaštva, po spolu i starosti (%)",Procenat,15 godina i više,Oba spola ili bez podjele po spolu,,0.22
2002,"Zaposleno stanovništvo ispod međunarodne linije siromaštva, po spolu i starosti (%)",Procenat,15 godina i više,Oba spola ili bez podjele po spolu,,
2003,"Zaposleno stanovništvo ispod međunarodne linije siromaštva, po spolu i starosti (%)",Procenat,15 godina i više,Oba spola ili bez podjele po spolu,,
2004,"Zaposleno stanovništvo ispod međunarodne linije siromaštva, po spolu i starosti (%)",Procenat,15 godina i više,Oba spola ili bez podjele po spolu,,0.11
2005,"Zaposleno stanovništvo ispod međunarodne linije siromaštva, po spolu i starosti (%)",Procenat,15 godina i više,Oba spola ili bez podjele po spolu,,
2006,"Zaposleno stanovništvo ispod međunarodne linije siromaštva, po spolu i starosti (%)",Procenat,15 godina i više,Oba spola ili bez podjele po spolu,,
2007,"Zaposleno stanovništvo ispod međunarodne linije siromaštva, po spolu i starosti (%)",Procenat,15 godina i više,Oba spola ili bez podjele po spolu,,0.08
2008,"Zaposleno stanovništvo ispod međunarodne linije siromaštva, po spolu i starosti (%)",Procenat,15 godina i više,Oba spola ili bez podjele po spolu,,
2009,"Zaposleno stanovništvo ispod međunarodne linije siromaštva, po spolu i starosti (%)",Procenat,15 godina i više,Oba spola ili bez podjele po spolu,,
2010,"Zaposleno stanovništvo ispod međunarodne linije siromaštva, po spolu i starosti (%)",Procenat,15 godina i više,Oba spola ili bez podjele po spolu,,
2011,"Zaposleno stanovništvo ispod međunarodne linije siromaštva, po spolu i starosti (%)",Procenat,15 godina i više,Oba spola ili bez podjele po spolu,,0.09
