Year,SERIES,UNIT_MEASURE,Stepen urbanizacije,Value
2000,Udio stanovništva koji se prvenstveno oslanja na čista goriva i tehnologiju,Procenat,Sva područja,53.8
2000,Udio stanovništva koji se prvenstveno oslanja na čista goriva i tehnologiju,Procenat,Ruralno,33.0
2000,Udio stanovništva koji se prvenstveno oslanja na čista goriva i tehnologiju,Procenat,Urbano,81.8
2001,Udio stanovništva koji se prvenstveno oslanja na čista goriva i tehnologiju,Procenat,Sva područja,52.7
2001,Udio stanovništva koji se prvenstveno oslanja na čista goriva i tehnologiju,Procenat,Ruralno,31.9
2001,Udio stanovništva koji se prvenstveno oslanja na čista goriva i tehnologiju,Procenat,Urbano,80.1
2002,Udio stanovništva koji se prvenstveno oslanja na čista goriva i tehnologiju,Procenat,Sva područja,51.6
2002,Udio stanovništva koji se prvenstveno oslanja na čista goriva i tehnologiju,Procenat,Ruralno,30.4
2002,Udio stanovništva koji se prvenstveno oslanja na čista goriva i tehnologiju,Procenat,Urbano,79.3
2003,Udio stanovništva koji se prvenstveno oslanja na čista goriva i tehnologiju,Procenat,Sva područja,51.0
2003,Udio stanovništva koji se prvenstveno oslanja na čista goriva i tehnologiju,Procenat,Ruralno,29.15
2003,Udio stanovništva koji se prvenstveno oslanja na čista goriva i tehnologiju,Procenat,Urbano,78.1
2004,Udio stanovništva koji se prvenstveno oslanja na čista goriva i tehnologiju,Procenat,Sva područja,50.0
2004,Udio stanovništva koji se prvenstveno oslanja na čista goriva i tehnologiju,Procenat,Ruralno,27.8
2004,Udio stanovništva koji se prvenstveno oslanja na čista goriva i tehnologiju,Procenat,Urbano,76.7
2005,Udio stanovništva koji se prvenstveno oslanja na čista goriva i tehnologiju,Procenat,Sva područja,49.1
2005,Udio stanovništva koji se prvenstveno oslanja na čista goriva i tehnologiju,Procenat,Ruralno,26.4
2005,Udio stanovništva koji se prvenstveno oslanja na čista goriva i tehnologiju,Procenat,Urbano,75.3
2006,Udio stanovništva koji se prvenstveno oslanja na čista goriva i tehnologiju,Procenat,Sva područja,47.7
2006,Udio stanovništva koji se prvenstveno oslanja na čista goriva i tehnologiju,Procenat,Ruralno,25.5
2006,Udio stanovništva koji se prvenstveno oslanja na čista goriva i tehnologiju,Procenat,Urbano,74.1
2007,Udio stanovništva koji se prvenstveno oslanja na čista goriva i tehnologiju,Procenat,Sva područja,46.6
2007,Udio stanovništva koji se prvenstveno oslanja na čista goriva i tehnologiju,Procenat,Ruralno,23.9
2007,Udio stanovništva koji se prvenstveno oslanja na čista goriva i tehnologiju,Procenat,Urbano,72.7
2008,Udio stanovništva koji se prvenstveno oslanja na čista goriva i tehnologiju,Procenat,Sva područja,46.3
2008,Udio stanovništva koji se prvenstveno oslanja na čista goriva i tehnologiju,Procenat,Ruralno,22.8
2008,Udio stanovništva koji se prvenstveno oslanja na čista goriva i tehnologiju,Procenat,Urbano,71.3
2009,Udio stanovništva koji se prvenstveno oslanja na čista goriva i tehnologiju,Procenat,Sva područja,45.2
2009,Udio stanovništva koji se prvenstveno oslanja na čista goriva i tehnologiju,Procenat,Ruralno,21.7
2009,Udio stanovništva koji se prvenstveno oslanja na čista goriva i tehnologiju,Procenat,Urbano,69.8
2010,Udio stanovništva koji se prvenstveno oslanja na čista goriva i tehnologiju,Procenat,Sva područja,44.9
2010,Udio stanovništva koji se prvenstveno oslanja na čista goriva i tehnologiju,Procenat,Ruralno,20.7
2010,Udio stanovništva koji se prvenstveno oslanja na čista goriva i tehnologiju,Procenat,Urbano,68.4
2011,Udio stanovništva koji se prvenstveno oslanja na čista goriva i tehnologiju,Procenat,Sva područja,43.3
