Year,SERIES,UNIT_MEASURE,Spol,Value
2014,Broj mjesta koje imaju žene u nacionalnim parlamentima,Broj,Žene,9.0
2015,Broj mjesta koje imaju žene u nacionalnim parlamentima,Broj,Žene,9.0
2016,Broj mjesta koje imaju žene u nacionalnim parlamentima,Broj,Žene,9.0
2017,Broj mjesta koje imaju žene u nacionalnim parlamentima,Broj,Žene,9.0
2018,Broj mjesta koje imaju žene u nacionalnim parlamentima,Broj,Žene,9.0
2019,Broj mjesta koje imaju žene u nacionalnim parlamentima,Broj,Žene,9.0
2020,Broj mjesta koje imaju žene u nacionalnim parlamentima,Broj,Žene,9.0
2021,Broj mjesta koje imaju žene u nacionalnim parlamentima,Broj,Žene,11.0
2022,Broj mjesta koje imaju žene u nacionalnim parlamentima,Broj,Žene,11.0
2021,Trenutni broj mjesta u nacionalnim parlamentima (broj),Broj,Oba spola ili bez podjele po spolu,42.0
2022,Trenutni broj mjesta u nacionalnim parlamentima (broj),Broj,Oba spola ili bez podjele po spolu,42.0
2017,Udio biračkih mjesta koje imaju žene u savjetodavnim tijelima lokalne uprave,Procenat,Žene,
2021,Udio biračkih mjesta koje imaju žene u savjetodavnim tijelima lokalne uprave,Procenat,Žene,
2014,Udio mjesta koje imaju žene u nacionalnim parlamentima (% od ukupnog broja mjesta),Procenat,Žene,21.43
2015,Udio mjesta koje imaju žene u nacionalnim parlamentima (% od ukupnog broja mjesta),Procenat,Žene,21.43
2016,Udio mjesta koje imaju žene u nacionalnim parlamentima (% od ukupnog broja mjesta),Procenat,Žene,21.43
2017,Udio mjesta koje imaju žene u nacionalnim parlamentima (% od ukupnog broja mjesta),Procenat,Žene,21.43
2018,Udio mjesta koje imaju žene u nacionalnim parlamentima (% od ukupnog broja mjesta),Procenat,Žene,21.43
2019,Udio mjesta koje imaju žene u nacionalnim parlamentima (% od ukupnog broja mjesta),Procenat,Žene,21.43
2020,Udio mjesta koje imaju žene u nacionalnim parlamentima (% od ukupnog broja mjesta),Procenat,Žene,21.43
2021,Udio mjesta koje imaju žene u nacionalnim parlamentima (% od ukupnog broja mjesta),Procenat,Žene,26.19
2022,Udio mjesta koje imaju žene u nacionalnim parlamentima (% od ukupnog broja mjesta),Procenat,Žene,26.19
