Year,SERIES,UNIT_MEASURE,Stepen urbanizacije,Value
2000,Udio stanovništva koji koristi usluge bezbjednog upravljanja pitkom vodom,Procenat,Ukupno,87.35
2001,Udio stanovništva koji koristi usluge bezbjednog upravljanja pitkom vodom,Procenat,Ukupno,87.4727
2002,Udio stanovništva koji koristi usluge bezbjednog upravljanja pitkom vodom,Procenat,Ukupno,87.5946
2003,Udio stanovništva koji koristi usluge bezbjednog upravljanja pitkom vodom,Procenat,Ukupno,87.7156
2004,Udio stanovništva koji koristi usluge bezbjednog upravljanja pitkom vodom,Procenat,Ukupno,87.8357
2005,Udio stanovništva koji koristi usluge bezbjednog upravljanja pitkom vodom,Procenat,Ukupno,87.9548
2006,Udio stanovništva koji koristi usluge bezbjednog upravljanja pitkom vodom,Procenat,Ukupno,88.073
2007,Udio stanovništva koji koristi usluge bezbjednog upravljanja pitkom vodom,Procenat,Ukupno,88.1904
2008,Udio stanovništva koji koristi usluge bezbjednog upravljanja pitkom vodom,Procenat,Ukupno,88.3068
2009,Udio stanovništva koji koristi usluge bezbjednog upravljanja pitkom vodom,Procenat,Ukupno,88.4222
2010,Udio stanovništva koji koristi usluge bezbjednog upravljanja pitkom vodom,Procenat,Ukupno,88.5367
2011,Udio stanovništva koji koristi usluge bezbjednog upravljanja pitkom vodom,Procenat,Ukupno,88.6503
2012,Udio stanovništva koji koristi usluge bezbjednog upravljanja pitkom vodom,Procenat,Ukupno,88.7023
2013,Udio stanovništva koji koristi usluge bezbjednog upravljanja pitkom vodom,Procenat,Ukupno,88.7977
2014,Udio stanovništva koji koristi usluge bezbjednog upravljanja pitkom vodom,Procenat,Ukupno,88.8172
2015,Udio stanovništva koji koristi usluge bezbjednog upravljanja pitkom vodom,Procenat,Ukupno,88.8251
2016,Udio stanovništva koji koristi usluge bezbjednog upravljanja pitkom vodom,Procenat,Ukupno,88.8334
2017,Udio stanovništva koji koristi usluge bezbjednog upravljanja pitkom vodom,Procenat,Ukupno,88.8419
2018,Udio stanovništva koji koristi usluge bezbjednog upravljanja pitkom vodom,Procenat,Ukupno,88.8507
2019,Udio stanovništva koji koristi usluge bezbjednog upravljanja pitkom vodom,Procenat,Ukupno,88.723
2020,Udio stanovništva koji koristi usluge bezbjednog upravljanja pitkom vodom,Procenat,Ukupno,88.1389
2021,Udio stanovništva koji koristi usluge bezbjednog upravljanja pitkom vodom,Procenat,Ukupno,87.5548
2022,Udio stanovništva koji koristi usluge bezbjednog upravljanja pitkom vodom,Procenat,Ukupno,86.9707
