Year,SERIES,UNIT_MEASURE,Spol,Value
2000,Udio pojedinaca koji koriste internet (%),Procenat,Oba pola,1.08
2001,Udio pojedinaca koji koriste internet (%),Procenat,Oba pola,1.2
2002,Udio pojedinaca koji koriste internet (%),Procenat,Oba pola,2.65
2003,Udio pojedinaca koji koriste internet (%),Procenat,Oba pola,3.97
2004,Udio pojedinaca koji koriste internet (%),Procenat,Oba pola,15.47
2005,Udio pojedinaca koji koriste internet (%),Procenat,Oba pola,21.33
2006,Udio pojedinaca koji koriste internet (%),Procenat,Oba pola,25.12
2007,Udio pojedinaca koji koriste internet (%),Procenat,Oba pola,27.92
2008,Udio pojedinaca koji koriste internet (%),Procenat,Oba pola,34.66
2009,Udio pojedinaca koji koriste internet (%),Procenat,Oba pola,37.74
2010,Udio pojedinaca koji koriste internet (%),Procenat,Oba pola,42.75
2011,Udio pojedinaca koji koriste internet (%),Procenat,Oba pola,43.89
2012,Udio pojedinaca koji koriste internet (%),Procenat,Oba pola,45.06
2013,Udio pojedinaca koji koriste internet (%),Procenat,Oba pola,48.52
2014,Udio pojedinaca koji koriste internet (%),Procenat,Oba pola,49.92
2015,Udio pojedinaca koji koriste internet (%),Procenat,Oba pola,52.6
2016,Udio pojedinaca koji koriste internet (%),Procenat,Oba pola,60.26
2016,Udio pojedinaca koji koriste internet (%),Procenat,Žene,57.31
2016,Udio pojedinaca koji koriste internet (%),Procenat,Muškarci,63.59
2017,Udio pojedinaca koji koriste internet (%),Procenat,Oba pola,64.89
2017,Udio pojedinaca koji koriste internet (%),Procenat,Žene,62.49
2017,Udio pojedinaca koji koriste internet (%),Procenat,Muškarci,67.58
2018,Udio pojedinaca koji koriste internet (%),Procenat,Oba pola,70.12
2018,Udio pojedinaca koji koriste internet (%),Procenat,Žene,68.34
2018,Udio pojedinaca koji koriste internet (%),Procenat,Muškarci,72.4
2019,Udio pojedinaca koji koriste internet (%),Procenat,Oba pola,69.95
2019,Udio pojedinaca koji koriste internet (%),Procenat,Žene,67.45
2019,Udio pojedinaca koji koriste internet (%),Procenat,Muškarci,72.82
2020,Udio pojedinaca koji koriste internet (%),Procenat,Oba pola,73.21
2020,Udio pojedinaca koji koriste internet (%),Procenat,Žene,69.31
2020,Udio pojedinaca koji koriste internet (%),Procenat,Muškarci,77.82
2021,Udio pojedinaca koji koriste internet (%),Procenat,Oba pola,75.68
2021,Udio pojedinaca koji koriste internet (%),Procenat,Žene,72.66
2021,Udio pojedinaca koji koriste internet (%),Procenat,Muškarci,79.18
2022,Udio pojedinaca koji koriste internet (%),Procenat,Oba pola,78.85
2022,Udio pojedinaca koji koriste internet (%),Procenat,Žene,76.97
2022,Udio pojedinaca koji koriste internet (%),Procenat,Muškarci,80.8
2023,Udio pojedinaca koji koriste internet (%),Procenat,Oba pola,83.38
2023,Udio pojedinaca koji koriste internet (%),Procenat,Žene,83.01
2023,Udio pojedinaca koji koriste internet (%),Procenat,Muškarci,83.72
2024,Udio pojedinaca koji koriste internet (%),Procenat,Oba pola,86.1
2024,Udio pojedinaca koji koriste internet (%),Procenat,Žene,84.72
2024,Udio pojedinaca koji koriste internet (%),Procenat,Muškarci,87.3
