Year,SERIES,UNIT_MEASURE,COMPOSITE_BREAKDOWN,Value
2010,"Kapacitet Međunarodnih zdravstvenih propisa (IHR), prema vrsti IHR kapaciteta (%)",Procenat,"Nacionalno zakonodavstvo, politika i finansiranje",75.0
2011,"Kapacitet Međunarodnih zdravstvenih propisa (IHR), prema vrsti IHR kapaciteta (%)",Procenat,"Nacionalno zakonodavstvo, politika i finansiranje",
2014,"Kapacitet Međunarodnih zdravstvenih propisa (IHR), prema vrsti IHR kapaciteta (%)",Procenat,"Nacionalno zakonodavstvo, politika i finansiranje",
2015,"Kapacitet Međunarodnih zdravstvenih propisa (IHR), prema vrsti IHR kapaciteta (%)",Procenat,"Nacionalno zakonodavstvo, politika i finansiranje",100.0
2016,"Kapacitet Međunarodnih zdravstvenih propisa (IHR), prema vrsti IHR kapaciteta (%)",Procenat,"Nacionalno zakonodavstvo, politika i finansiranje",
2017,"Kapacitet Međunarodnih zdravstvenih propisa (IHR), prema vrsti IHR kapaciteta (%)",Procenat,"Nacionalno zakonodavstvo, politika i finansiranje",
2010,"Kapacitet Međunarodnih zdravstvenih propisa (IHR), prema vrsti IHR kapaciteta (%)",Procenat,Koordinacija i nacionalna kontakt tačka za komunikaciju,40.0
2011,"Kapacitet Međunarodnih zdravstvenih propisa (IHR), prema vrsti IHR kapaciteta (%)",Procenat,Koordinacija i nacionalna kontakt tačka za komunikaciju,
2014,"Kapacitet Međunarodnih zdravstvenih propisa (IHR), prema vrsti IHR kapaciteta (%)",Procenat,Koordinacija i nacionalna kontakt tačka za komunikaciju,
2015,"Kapacitet Međunarodnih zdravstvenih propisa (IHR), prema vrsti IHR kapaciteta (%)",Procenat,Koordinacija i nacionalna kontakt tačka za komunikaciju,30.0
2016,"Kapacitet Međunarodnih zdravstvenih propisa (IHR), prema vrsti IHR kapaciteta (%)",Procenat,Koordinacija i nacionalna kontakt tačka za komunikaciju,
2017,"Kapacitet Međunarodnih zdravstvenih propisa (IHR), prema vrsti IHR kapaciteta (%)",Procenat,Koordinacija i nacionalna kontakt tačka za komunikaciju,
2010,"Kapacitet Međunarodnih zdravstvenih propisa (IHR), prema vrsti IHR kapaciteta (%)",Procenat,Nadzor,48.0
2011,"Kapacitet Međunarodnih zdravstvenih propisa (IHR), prema vrsti IHR kapaciteta (%)",Procenat,Nadzor,
2014,"Kapacitet Međunarodnih zdravstvenih propisa (IHR), prema vrsti IHR kapaciteta (%)",Procenat,Nadzor,
