Year,SERIES,UNIT_MEASURE,Godine,Spol,Value
2000,Udio žena u dobi od 15-49 godina s anemijom (%),PT,15 do 49 godina,Žene,25.3
2001,Udio žena u dobi od 15-49 godina s anemijom (%),PT,15 do 49 godina,Žene,25.0
2002,Udio žena u dobi od 15-49 godina s anemijom (%),PT,15 do 49 godina,Žene,24.7
2003,Udio žena u dobi od 15-49 godina s anemijom (%),PT,15 do 49 godina,Žene,24.6
2004,Udio žena u dobi od 15-49 godina s anemijom (%),PT,15 do 49 godina,Žene,24.5
2005,Udio žena u dobi od 15-49 godina s anemijom (%),PT,15 do 49 godina,Žene,24.4
2006,Udio žena u dobi od 15-49 godina s anemijom (%),PT,15 do 49 godina,Žene,24.3
2007,Udio žena u dobi od 15-49 godina s anemijom (%),PT,15 do 49 godina,Žene,24.2
2008,Udio žena u dobi od 15-49 godina s anemijom (%),PT,15 do 49 godina,Žene,24.1
2009,Udio žena u dobi od 15-49 godina s anemijom (%),PT,15 do 49 godina,Žene,24.0
2010,Udio žena u dobi od 15-49 godina s anemijom (%),PT,15 do 49 godina,Žene,23.9
2011,Udio žena u dobi od 15-49 godina s anemijom (%),PT,15 do 49 godina,Žene,23.9
2012,Udio žena u dobi od 15-49 godina s anemijom (%),PT,15 do 49 godina,Žene,23.8
2013,Udio žena u dobi od 15-49 godina s anemijom (%),PT,15 do 49 godina,Žene,23.8
2014,Udio žena u dobi od 15-49 godina s anemijom (%),PT,15 do 49 godina,Žene,23.8
2015,Udio žena u dobi od 15-49 godina s anemijom (%),PT,15 do 49 godina,Žene,23.8
2016,Udio žena u dobi od 15-49 godina s anemijom (%),PT,15 do 49 godina,Žene,23.8
2017,Udio žena u dobi od 15-49 godina s anemijom (%),PT,15 do 49 godina,Žene,23.9
2018,Udio žena u dobi od 15-49 godina s anemijom (%),PT,15 do 49 godina,Žene,24.1
2019,Udio žena u dobi od 15-49 godina s anemijom (%),PT,15 do 49 godina,Žene,24.4
2000,"Udio žena u dobi od 15-49 godina s anemijom, koje nisu trudne (%)",PT,15 do 49 godina,Žene,25.2
2001,"Udio žena u dobi od 15-49 godina s anemijom, koje nisu trudne (%)",PT,15 do 49 godina,Žene,24.8
2002,"Udio žena u dobi od 15-49 godina s anemijom, koje nisu trudne (%)",PT,15 do 49 godina,Žene,24.6
2003,"Udio žena u dobi od 15-49 godina s anemijom, koje nisu trudne (%)",PT,15 do 49 godina,Žene,24.4
2004,"Udio žena u dobi od 15-49 godina s anemijom, koje nisu trudne (%)",PT,15 do 49 godina,Žene,24.4
2005,"Udio žena u dobi od 15-49 godina s anemijom, koje nisu trudne (%)",PT,15 do 49 godina,Žene,24.3
2006,"Udio žena u dobi od 15-49 godina s anemijom, koje nisu trudne (%)",PT,15 do 49 godina,Žene,24.2
2007,"Udio žena u dobi od 15-49 godina s anemijom, koje nisu trudne (%)",PT,15 do 49 godina,Žene,24.1
2008,"Udio žena u dobi od 15-49 godina s anemijom, koje nisu trudne (%)",PT,15 do 49 godina,Žene,24.0
2009,"Udio žena u dobi od 15-49 godina s anemijom, koje nisu trudne (%)",PT,15 do 49 godina,Žene,23.9
2010,"Udio žena u dobi od 15-49 godina s anemijom, koje nisu trudne (%)",PT,15 do 49 godina,Žene,23.8
2011,"Udio žena u dobi od 15-49 godina s anemijom, koje nisu trudne (%)",PT,15 do 49 godina,Žene,23.8
2012,"Udio žena u dobi od 15-49 godina s anemijom, koje nisu trudne (%)",PT,15 do 49 godina,Žene,23.7
2013,"Udio žena u dobi od 15-49 godina s anemijom, koje nisu trudne (%)",PT,15 do 49 godina,Žene,23.7
2014,"Udio žena u dobi od 15-49 godina s anemijom, koje nisu trudne (%)",PT,15 do 49 godina,Žene,23.7
2015,"Udio žena u dobi od 15-49 godina s anemijom, koje nisu trudne (%)",PT,15 do 49 godina,Žene,23.7
2016,"Udio žena u dobi od 15-49 godina s anemijom, koje nisu trudne (%)",PT,15 do 49 godina,Žene,23.8
2017,"Udio žena u dobi od 15-49 godina s anemijom, koje nisu trudne (%)",PT,15 do 49 godina,Žene,23.8
2018,"Udio žena u dobi od 15-49 godina s anemijom, koje nisu trudne (%)",PT,15 do 49 godina,Žene,24.0
2019,"Udio žena u dobi od 15-49 godina s anemijom, koje nisu trudne (%)",PT,15 do 49 godina,Žene,24.3
2000,"Udio žena u dobi od 15-49 godina s anemijom, trudnica (%)",PT,15 do 49 godina,Žene,31.2
2001,"Udio žena u dobi od 15-49 godina s anemijom, trudnica (%)",PT,15 do 49 godina,Žene,30.7
2002,"Udio žena u dobi od 15-49 godina s anemijom, trudnica (%)",PT,15 do 49 godina,Žene,30.3
