Year,SERIES,UNIT_MEASURE,Godine,Spol,COMPOSITE_BREAKDOWN,Value
2015,"Stopa smrtnosti uzrokovana kardiovaskularnim bolestima, rakom, dijabetesom",Procenat,30 do tačno 70 godina,Oba spola ili bez podjele po spolu,,19.2
2019,"Stopa smrtnosti uzrokovana kardiovaskularnim bolestima, rakom, dijabetesom",Procenat,30 do tačno 70 godina,Oba spola ili bez podjele po spolu,,18.7
2015,"Stopa smrtnosti uzrokovana kardiovaskularnim bolestima, rakom, dijabetesom",Procenat,30 do tačno 70 godina,Žene,,14.1
2019,"Stopa smrtnosti uzrokovana kardiovaskularnim bolestima, rakom, dijabetesom",Procenat,30 do tačno 70 godina,Žene,,13.6
2015,"Stopa smrtnosti uzrokovana kardiovaskularnim bolestima, rakom, dijabetesom",Procenat,30 do tačno 70 godina,Muškarci,,24.6
2019,"Stopa smrtnosti uzrokovana kardiovaskularnim bolestima, rakom, dijabetesom",Procenat,30 do tačno 70 godina,Muškarci,,24.0
2015,"Broj umrlih uzrokovan nezaraznim bolestima, prema vrsti bolesti i splu (broj)",Broj,,Oba spola ili bez podjele po spolu,CAN,8056.0
2019,"Broj umrlih uzrokovan nezaraznim bolestima, prema vrsti bolesti i splu (broj)",Broj,,Oba spola ili bez podjele po spolu,CAN,8407.0
2015,"Broj umrlih uzrokovan nezaraznim bolestima, prema vrsti bolesti i splu (broj)",Broj,,Žene,CAN,3270.0
2019,"Broj umrlih uzrokovan nezaraznim bolestima, prema vrsti bolesti i splu (broj)",Broj,,Žene,CAN,3395.0
2015,"Broj umrlih uzrokovan nezaraznim bolestima, prema vrsti bolesti i splu (broj)",Broj,,Oba spola ili bez podjele po spolu,CAR,18648.0
2019,"Broj umrlih uzrokovan nezaraznim bolestima, prema vrsti bolesti i splu (broj)",Broj,,Oba spola ili bez podjele po spolu,CAR,19651.0
2015,"Broj umrlih uzrokovan nezaraznim bolestima, prema vrsti bolesti i splu (broj)",Broj,,Žene,CAR,10181.0
2019,"Broj umrlih uzrokovan nezaraznim bolestima, prema vrsti bolesti i splu (broj)",Broj,,Žene,CAR,10665.0
2015,"Broj umrlih uzrokovan nezaraznim bolestima, prema vrsti bolesti i splu (broj)",Broj,,Oba spola ili bez podjele po spolu,DIA,2476.0
2019,"Broj umrlih uzrokovan nezaraznim bolestima, prema vrsti bolesti i splu (broj)",Broj,,Oba spola ili bez podjele po spolu,DIA,2582.0
2015,"Broj umrlih uzrokovan nezaraznim bolestima, prema vrsti bolesti i splu (broj)",Broj,,Žene,DIA,1445.0
2019,"Broj umrlih uzrokovan nezaraznim bolestima, prema vrsti bolesti i splu (broj)",Broj,,Žene,DIA,1504.0
2015,"Broj umrlih uzrokovan nezaraznim bolestima, prema vrsti bolesti i splu (broj)",Broj,,Oba spola ili bez podjele po spolu,RES,1249.0
2019,"Broj umrlih uzrokovan nezaraznim bolestima, prema vrsti bolesti i splu (broj)",Broj,,Oba spola ili bez podjele po spolu,RES,1262.0
2015,"Broj umrlih uzrokovan nezaraznim bolestima, prema vrsti bolesti i splu (broj)",Broj,,Muškarci,CAN,4785.0
2019,"Broj umrlih uzrokovan nezaraznim bolestima, prema vrsti bolesti i splu (broj)",Broj,,Muškarci,CAN,5012.0
2015,"Broj umrlih uzrokovan nezaraznim bolestima, prema vrsti bolesti i splu (broj)",Broj,,Muškarci,CAR,8468.0
2019,"Broj umrlih uzrokovan nezaraznim bolestima, prema vrsti bolesti i splu (broj)",Broj,,Muškarci,CAR,8986.0
2015,"Broj umrlih uzrokovan nezaraznim bolestima, prema vrsti bolesti i splu (broj)",Broj,,Muškarci,DIA,1031.0
2019,"Broj umrlih uzrokovan nezaraznim bolestima, prema vrsti bolesti i splu (broj)",Broj,,Muškarci,DIA,1078.0
2015,"Broj umrlih uzrokovan nezaraznim bolestima, prema vrsti bolesti i splu (broj)",Broj,,Žene,RES,474.0
2019,"Broj umrlih uzrokovan nezaraznim bolestima, prema vrsti bolesti i splu (broj)",Broj,,Žene,RES,477.0
2015,"Broj umrlih uzrokovan nezaraznim bolestima, prema vrsti bolesti i splu (broj)",Broj,,Muškarci,RES,776.0
2019,"Broj umrlih uzrokovan nezaraznim bolestima, prema vrsti bolesti i splu (broj)",Broj,,Muškarci,RES,785.0
