Year,SERIES,UNIT_MEASURE,Value
2001,Udio dodane vrijednosti poljoprivrede u BDP-u,Procenat,
2002,Udio dodane vrijednosti poljoprivrede u BDP-u,Procenat,
2003,Udio dodane vrijednosti poljoprivrede u BDP-u,Procenat,
2004,Udio dodane vrijednosti poljoprivrede u BDP-u,Procenat,
2005,Udio dodane vrijednosti poljoprivrede u BDP-u,Procenat,
2006,Udio dodane vrijednosti poljoprivrede u BDP-u,Procenat,
2007,Udio dodane vrijednosti poljoprivrede u BDP-u,Procenat,
2008,Udio dodane vrijednosti poljoprivrede u BDP-u,Procenat,
2009,Udio dodane vrijednosti poljoprivrede u BDP-u,Procenat,
2010,Udio dodane vrijednosti poljoprivrede u BDP-u,Procenat,6.8
2011,Udio dodane vrijednosti poljoprivrede u BDP-u,Procenat,
2012,Udio dodane vrijednosti poljoprivrede u BDP-u,Procenat,
2013,Udio dodane vrijednosti poljoprivrede u BDP-u,Procenat,
2014,Udio dodane vrijednosti poljoprivrede u BDP-u,Procenat,
2015,Udio dodane vrijednosti poljoprivrede u BDP-u,Procenat,6.04
2016,Udio dodane vrijednosti poljoprivrede u BDP-u,Procenat,6.17
2017,Udio dodane vrijednosti poljoprivrede u BDP-u,Procenat,5.43
2018,Udio dodane vrijednosti poljoprivrede u BDP-u,Procenat,5.72
2019,Udio dodane vrijednosti poljoprivrede u BDP-u,Procenat,5.45
2020,Udio dodane vrijednosti poljoprivrede u BDP-u,Procenat,5.91
2021,Udio dodane vrijednosti poljoprivrede u BDP-u,Procenat,5.02
2022,Udio dodane vrijednosti poljoprivrede u BDP-u,Procenat,4.83
2023,Udio dodane vrijednosti poljoprivrede u BDP-u,Procenat,4.35
2003,Indeks poljoprivredne orijentacije za državne rashode,Index,
2004,Indeks poljoprivredne orijentacije za državne rashode,Index,
2005,Indeks poljoprivredne orijentacije za državne rashode,Index,
2006,Indeks poljoprivredne orijentacije za državne rashode,Index,
2007,Indeks poljoprivredne orijentacije za državne rashode,Index,
2008,Indeks poljoprivredne orijentacije za državne rashode,Index,
2009,Indeks poljoprivredne orijentacije za državne rashode,Index,
2010,Indeks poljoprivredne orijentacije za državne rashode,Index,0.25
2011,Indeks poljoprivredne orijentacije za državne rashode,Index,
2012,Indeks poljoprivredne orijentacije za državne rashode,Index,
2013,Indeks poljoprivredne orijentacije za državne rashode,Index,
2014,Indeks poljoprivredne orijentacije za državne rashode,Index,
2015,Indeks poljoprivredne orijentacije za državne rashode,Index,0.31
2016,Indeks poljoprivredne orijentacije za državne rashode,Index,0.25
2017,Indeks poljoprivredne orijentacije za državne rashode,Index,0.3
2018,Indeks poljoprivredne orijentacije za državne rashode,Index,0.26
2019,Indeks poljoprivredne orijentacije za državne rashode,Index,0.27
2020,Indeks poljoprivredne orijentacije za državne rashode,Index,0.3
2021,Indeks poljoprivredne orijentacije za državne rashode,Index,0.34
2022,Indeks poljoprivredne orijentacije za državne rashode,Index,0.4
2023,Indeks poljoprivredne orijentacije za državne rashode,Index,0.51
2003,Udio poljoprivrede u državnim rashodima (%),Procenat,
2004,Udio poljoprivrede u državnim rashodima (%),Procenat,
2005,Udio poljoprivrede u državnim rashodima (%),Procenat,
2006,Udio poljoprivrede u državnim rashodima (%),Procenat,
2007,Udio poljoprivrede u državnim rashodima (%),Procenat,
2008,Udio poljoprivrede u državnim rashodima (%),Procenat,
2009,Udio poljoprivrede u državnim rashodima (%),Procenat,
2010,Udio poljoprivrede u državnim rashodima (%),Procenat,1.72
2011,Udio poljoprivrede u državnim rashodima (%),Procenat,
2012,Udio poljoprivrede u državnim rashodima (%),Procenat,
2013,Udio poljoprivrede u državnim rashodima (%),Procenat,
2014,Udio poljoprivrede u državnim rashodima (%),Procenat,
2015,Udio poljoprivrede u državnim rashodima (%),Procenat,1.86
2016,Udio poljoprivrede u državnim rashodima (%),Procenat,1.55
2017,Udio poljoprivrede u državnim rashodima (%),Procenat,1.65
2018,Udio poljoprivrede u državnim rashodima (%),Procenat,1.51
2019,Udio poljoprivrede u državnim rashodima (%),Procenat,1.49
2020,Udio poljoprivrede u državnim rashodima (%),Procenat,1.8
2021,Udio poljoprivrede u državnim rashodima (%),Procenat,1.72
2022,Udio poljoprivrede u državnim rashodima (%),Procenat,1.95
2023,Udio poljoprivrede u državnim rashodima (%),Procenat,2.21
