Year,SERIES,UNIT_MEASURE,Spol,Value
2010,"Stopa učešća u organiziranom učenju (godinu dana prije zvanične starosne dobi za ulazak u osnovnu školu), prema spolu (%)",Procenat,Oba pola,12.29534
2011,"Stopa učešća u organiziranom učenju (godinu dana prije zvanične starosne dobi za ulazak u osnovnu školu), prema spolu (%)",Procenat,Oba pola,13.09235
2012,"Stopa učešća u organiziranom učenju (godinu dana prije zvanične starosne dobi za ulazak u osnovnu školu), prema spolu (%)",Procenat,Oba pola,13.80968
2016,"Stopa učešća u organiziranom učenju (godinu dana prije zvanične starosne dobi za ulazak u osnovnu školu), prema spolu (%)",Procenat,Oba pola,19.94846
2017,"Stopa učešća u organiziranom učenju (godinu dana prije zvanične starosne dobi za ulazak u osnovnu školu), prema spolu (%)",Procenat,Oba pola,22.85772
2018,"Stopa učešća u organiziranom učenju (godinu dana prije zvanične starosne dobi za ulazak u osnovnu školu), prema spolu (%)",Procenat,Oba pola,23.66203
2019,"Stopa učešća u organiziranom učenju (godinu dana prije zvanične starosne dobi za ulazak u osnovnu školu), prema spolu (%)",Procenat,Oba pola,31.28761
2021,"Stopa učešća u organiziranom učenju (godinu dana prije zvanične starosne dobi za ulazak u osnovnu školu), prema spolu (%)",Procenat,Oba pola,31.5854
2022,"Stopa učešća u organiziranom učenju (godinu dana prije zvanične starosne dobi za ulazak u osnovnu školu), prema spolu (%)",Procenat,Oba pola,35.27776
2023,"Stopa učešća u organiziranom učenju (godinu dana prije zvanične starosne dobi za ulazak u osnovnu školu), prema spolu (%)",Procenat,Oba pola,37.495
2010,"Stopa učešća u organiziranom učenju (godinu dana prije zvanične starosne dobi za ulazak u osnovnu školu), prema spolu (%)",Procenat,Žene,12.22313
2011,"Stopa učešća u organiziranom učenju (godinu dana prije zvanične starosne dobi za ulazak u osnovnu školu), prema spolu (%)",Procenat,Žene,12.78877
2012,"Stopa učešća u organiziranom učenju (godinu dana prije zvanične starosne dobi za ulazak u osnovnu školu), prema spolu (%)",Procenat,Žene,13.69255
2016,"Stopa učešća u organiziranom učenju (godinu dana prije zvanične starosne dobi za ulazak u osnovnu školu), prema spolu (%)",Procenat,Žene,19.74354
2017,"Stopa učešća u organiziranom učenju (godinu dana prije zvanične starosne dobi za ulazak u osnovnu školu), prema spolu (%)",Procenat,Žene,22.57974
2018,"Stopa učešća u organiziranom učenju (godinu dana prije zvanične starosne dobi za ulazak u osnovnu školu), prema spolu (%)",Procenat,Žene,23.95424
2019,"Stopa učešća u organiziranom učenju (godinu dana prije zvanične starosne dobi za ulazak u osnovnu školu), prema spolu (%)",Procenat,Žene,31.07453
2021,"Stopa učešća u organiziranom učenju (godinu dana prije zvanične starosne dobi za ulazak u osnovnu školu), prema spolu (%)",Procenat,Žene,31.89391
2022,"Stopa učešća u organiziranom učenju (godinu dana prije zvanične starosne dobi za ulazak u osnovnu školu), prema spolu (%)",Procenat,Žene,34.81689
2023,"Stopa učešća u organiziranom učenju (godinu dana prije zvanične starosne dobi za ulazak u osnovnu školu), prema spolu (%)",Procenat,Žene,37.48305
2010,"Stopa učešća u organiziranom učenju (godinu dana prije zvanične starosne dobi za ulazak u osnovnu školu), prema spolu (%)",Procenat,Muškarci,12.36276
2011,"Stopa učešća u organiziranom učenju (godinu dana prije zvanične starosne dobi za ulazak u osnovnu školu), prema spolu (%)",Procenat,Muškarci,13.37597
2012,"Stopa učešća u organiziranom učenju (godinu dana prije zvanične starosne dobi za ulazak u osnovnu školu), prema spolu (%)",Procenat,Muškarci,13.91888
2016,"Stopa učešća u organiziranom učenju (godinu dana prije zvanične starosne dobi za ulazak u osnovnu školu), prema spolu (%)",Procenat,Muškarci,20.13901
2017,"Stopa učešća u organiziranom učenju (godinu dana prije zvanične starosne dobi za ulazak u osnovnu školu), prema spolu (%)",Procenat,Muškarci,23.11639
2018,"Stopa učešća u organiziranom učenju (godinu dana prije zvanične starosne dobi za ulazak u osnovnu školu), prema spolu (%)",Procenat,Muškarci,23.38979
2019,"Stopa učešća u organiziranom učenju (godinu dana prije zvanične starosne dobi za ulazak u osnovnu školu), prema spolu (%)",Procenat,Muškarci,31.48628
2021,"Stopa učešća u organiziranom učenju (godinu dana prije zvanične starosne dobi za ulazak u osnovnu školu), prema spolu (%)",Procenat,Muškarci,31.2975
2022,"Stopa učešća u organiziranom učenju (godinu dana prije zvanične starosne dobi za ulazak u osnovnu školu), prema spolu (%)",Procenat,Muškarci,35.70772
2023,"Stopa učešća u organiziranom učenju (godinu dana prije zvanične starosne dobi za ulazak u osnovnu školu), prema spolu (%)",Procenat,Muškarci,37.50615
