Year,SERIES,UNIT_MEASURE,Vrsta proizvoda,Value
2000,"Prosječna carinska tarifa koju primjenjuju razvijene zemlje, preferencijalni status, po vrsti proizvoda (%)",PT,Poljoprivredni proizvodi,7.58327
2005,"Prosječna carinska tarifa koju primjenjuju razvijene zemlje, preferencijalni status, po vrsti proizvoda (%)",PT,Poljoprivredni proizvodi,3.75971
2010,"Prosječna carinska tarifa koju primjenjuju razvijene zemlje, preferencijalni status, po vrsti proizvoda (%)",PT,Poljoprivredni proizvodi,3.66338
2011,"Prosječna carinska tarifa koju primjenjuju razvijene zemlje, preferencijalni status, po vrsti proizvoda (%)",PT,Poljoprivredni proizvodi,3.6789
2012,"Prosječna carinska tarifa koju primjenjuju razvijene zemlje, preferencijalni status, po vrsti proizvoda (%)",PT,Poljoprivredni proizvodi,3.58165
2013,"Prosječna carinska tarifa koju primjenjuju razvijene zemlje, preferencijalni status, po vrsti proizvoda (%)",PT,Poljoprivredni proizvodi,3.59409
2014,"Prosječna carinska tarifa koju primjenjuju razvijene zemlje, preferencijalni status, po vrsti proizvoda (%)",PT,Poljoprivredni proizvodi,3.5962
2015,"Prosječna carinska tarifa koju primjenjuju razvijene zemlje, preferencijalni status, po vrsti proizvoda (%)",PT,Poljoprivredni proizvodi,3.57186
2016,"Prosječna carinska tarifa koju primjenjuju razvijene zemlje, preferencijalni status, po vrsti proizvoda (%)",PT,Poljoprivredni proizvodi,3.66464
2017,"Prosječna carinska tarifa koju primjenjuju razvijene zemlje, preferencijalni status, po vrsti proizvoda (%)",PT,Poljoprivredni proizvodi,3.4999
2018,"Prosječna carinska tarifa koju primjenjuju razvijene zemlje, preferencijalni status, po vrsti proizvoda (%)",PT,Poljoprivredni proizvodi,3.50998
2019,"Prosječna carinska tarifa koju primjenjuju razvijene zemlje, preferencijalni status, po vrsti proizvoda (%)",PT,Poljoprivredni proizvodi,3.78051
2020,"Prosječna carinska tarifa koju primjenjuju razvijene zemlje, preferencijalni status, po vrsti proizvoda (%)",PT,Poljoprivredni proizvodi,3.80186
2021,"Prosječna carinska tarifa koju primjenjuju razvijene zemlje, preferencijalni status, po vrsti proizvoda (%)",PT,Poljoprivredni proizvodi,3.7802
2000,"Prosječna carinska tarifa koju primjenjuju razvijene zemlje, preferencijalni status, po vrsti proizvoda (%)",PT,Bez podjele,2.58553
2005,"Prosječna carinska tarifa koju primjenjuju razvijene zemlje, preferencijalni status, po vrsti proizvoda (%)",PT,Bez podjele,1.71702
2010,"Prosječna carinska tarifa koju primjenjuju razvijene zemlje, preferencijalni status, po vrsti proizvoda (%)",PT,Bez podjele,1.40029
2011,"Prosječna carinska tarifa koju primjenjuju razvijene zemlje, preferencijalni status, po vrsti proizvoda (%)",PT,Bez podjele,1.43398
2012,"Prosječna carinska tarifa koju primjenjuju razvijene zemlje, preferencijalni status, po vrsti proizvoda (%)",PT,Bez podjele,1.59527
2013,"Prosječna carinska tarifa koju primjenjuju razvijene zemlje, preferencijalni status, po vrsti proizvoda (%)",PT,Bez podjele,1.44312
2014,"Prosječna carinska tarifa koju primjenjuju razvijene zemlje, preferencijalni status, po vrsti proizvoda (%)",PT,Bez podjele,1.60359
2015,"Prosječna carinska tarifa koju primjenjuju razvijene zemlje, preferencijalni status, po vrsti proizvoda (%)",PT,Bez podjele,1.42527
2016,"Prosječna carinska tarifa koju primjenjuju razvijene zemlje, preferencijalni status, po vrsti proizvoda (%)",PT,Bez podjele,1.46392
2017,"Prosječna carinska tarifa koju primjenjuju razvijene zemlje, preferencijalni status, po vrsti proizvoda (%)",PT,Bez podjele,1.61584
2018,"Prosječna carinska tarifa koju primjenjuju razvijene zemlje, preferencijalni status, po vrsti proizvoda (%)",PT,Bez podjele,1.47558
2019,"Prosječna carinska tarifa koju primjenjuju razvijene zemlje, preferencijalni status, po vrsti proizvoda (%)",PT,Bez podjele,1.44463
2020,"Prosječna carinska tarifa koju primjenjuju razvijene zemlje, preferencijalni status, po vrsti proizvoda (%)",PT,Bez podjele,1.44555
2021,"Prosječna carinska tarifa koju primjenjuju razvijene zemlje, preferencijalni status, po vrsti proizvoda (%)",PT,Bez podjele,1.44555
2000,"Prosječna carinska tarifa koju primjenjuju razvijene zemlje, preferencijalni status, po vrsti proizvoda (%)",PT,Oružje,1.80511
2005,"Prosječna carinska tarifa koju primjenjuju razvijene zemlje, preferencijalni status, po vrsti proizvoda (%)",PT,Oružje,0.31856
2010,"Prosječna carinska tarifa koju primjenjuju razvijene zemlje, preferencijalni status, po vrsti proizvoda (%)",PT,Oružje,0.31812
2011,"Prosječna carinska tarifa koju primjenjuju razvijene zemlje, preferencijalni status, po vrsti proizvoda (%)",PT,Oružje,0.31825
2012,"Prosječna carinska tarifa koju primjenjuju razvijene zemlje, preferencijalni status, po vrsti proizvoda (%)",PT,Oružje,0.316
2013,"Prosječna carinska tarifa koju primjenjuju razvijene zemlje, preferencijalni status, po vrsti proizvoda (%)",PT,Oružje,0.316
2014,"Prosječna carinska tarifa koju primjenjuju razvijene zemlje, preferencijalni status, po vrsti proizvoda (%)",PT,Oružje,0.316
2015,"Prosječna carinska tarifa koju primjenjuju razvijene zemlje, preferencijalni status, po vrsti proizvoda (%)",PT,Oružje,0.316
2016,"Prosječna carinska tarifa koju primjenjuju razvijene zemlje, preferencijalni status, po vrsti proizvoda (%)",PT,Oružje,0.7555
2017,"Prosječna carinska tarifa koju primjenjuju razvijene zemlje, preferencijalni status, po vrsti proizvoda (%)",PT,Oružje,0.7555
2018,"Prosječna carinska tarifa koju primjenjuju razvijene zemlje, preferencijalni status, po vrsti proizvoda (%)",PT,Oružje,0.7555
2019,"Prosječna carinska tarifa koju primjenjuju razvijene zemlje, preferencijalni status, po vrsti proizvoda (%)",PT,Oružje,0.7555
2020,"Prosječna carinska tarifa koju primjenjuju razvijene zemlje, preferencijalni status, po vrsti proizvoda (%)",PT,Oružje,0.7555
2021,"Prosječna carinska tarifa koju primjenjuju razvijene zemlje, preferencijalni status, po vrsti proizvoda (%)",PT,Oružje,0.7555
2000,"Prosječna carinska tarifa koju primjenjuju razvijene zemlje, preferencijalni status, po vrsti proizvoda (%)",PT,Odjeća,12.35432
2005,"Prosječna carinska tarifa koju primjenjuju razvijene zemlje, preferencijalni status, po vrsti proizvoda (%)",PT,Odjeća,8.19231
2010,"Prosječna carinska tarifa koju primjenjuju razvijene zemlje, preferencijalni status, po vrsti proizvoda (%)",PT,Odjeća,8.26443
2011,"Prosječna carinska tarifa koju primjenjuju razvijene zemlje, preferencijalni status, po vrsti proizvoda (%)",PT,Odjeća,8.26605
2012,"Prosječna carinska tarifa koju primjenjuju razvijene zemlje, preferencijalni status, po vrsti proizvoda (%)",PT,Odjeća,8.26036
2013,"Prosječna carinska tarifa koju primjenjuju razvijene zemlje, preferencijalni status, po vrsti proizvoda (%)",PT,Odjeća,8.27398
2014,"Prosječna carinska tarifa koju primjenjuju razvijene zemlje, preferencijalni status, po vrsti proizvoda (%)",PT,Odjeća,8.27606
2015,"Prosječna carinska tarifa koju primjenjuju razvijene zemlje, preferencijalni status, po vrsti proizvoda (%)",PT,Odjeća,8.10163
2016,"Prosječna carinska tarifa koju primjenjuju razvijene zemlje, preferencijalni status, po vrsti proizvoda (%)",PT,Odjeća,8.10583
2017,"Prosječna carinska tarifa koju primjenjuju razvijene zemlje, preferencijalni status, po vrsti proizvoda (%)",PT,Odjeća,7.95361
2018,"Prosječna carinska tarifa koju primjenjuju razvijene zemlje, preferencijalni status, po vrsti proizvoda (%)",PT,Odjeća,8.11439
2019,"Prosječna carinska tarifa koju primjenjuju razvijene zemlje, preferencijalni status, po vrsti proizvoda (%)",PT,Odjeća,8.11669
2020,"Prosječna carinska tarifa koju primjenjuju razvijene zemlje, preferencijalni status, po vrsti proizvoda (%)",PT,Odjeća,8.11662
2021,"Prosječna carinska tarifa koju primjenjuju razvijene zemlje, preferencijalni status, po vrsti proizvoda (%)",PT,Odjeća,8.11662
2000,"Prosječna carinska tarifa koju primjenjuju razvijene zemlje, preferencijalni status, po vrsti proizvoda (%)",PT,Industrijski proizvodi,1.91509
2005,"Prosječna carinska tarifa koju primjenjuju razvijene zemlje, preferencijalni status, po vrsti proizvoda (%)",PT,Industrijski proizvodi,1.20067
2010,"Prosječna carinska tarifa koju primjenjuju razvijene zemlje, preferencijalni status, po vrsti proizvoda (%)",PT,Industrijski proizvodi,0.8532
2011,"Prosječna carinska tarifa koju primjenjuju razvijene zemlje, preferencijalni status, po vrsti proizvoda (%)",PT,Industrijski proizvodi,0.88748
2012,"Prosječna carinska tarifa koju primjenjuju razvijene zemlje, preferencijalni status, po vrsti proizvoda (%)",PT,Industrijski proizvodi,1.05698
2013,"Prosječna carinska tarifa koju primjenjuju razvijene zemlje, preferencijalni status, po vrsti proizvoda (%)",PT,Industrijski proizvodi,0.9001
2014,"Prosječna carinska tarifa koju primjenjuju razvijene zemlje, preferencijalni status, po vrsti proizvoda (%)",PT,Industrijski proizvodi,1.06389
2015,"Prosječna carinska tarifa koju primjenjuju razvijene zemlje, preferencijalni status, po vrsti proizvoda (%)",PT,Industrijski proizvodi,0.89603
2016,"Prosječna carinska tarifa koju primjenjuju razvijene zemlje, preferencijalni status, po vrsti proizvoda (%)",PT,Industrijski proizvodi,0.92757
