Year,SERIES,UNIT_MEASURE,Stepen urbanizacije,Value
2014,"Udio populacije koja prakticira otvorenu defekaciju, prema urbanim/ruralnim područjima",Procenat,Ukupno,0
2015,"Udio populacije koja prakticira otvorenu defekaciju, prema urbanim/ruralnim područjima",Procenat,Ukupno,0
2016,"Udio populacije koja prakticira otvorenu defekaciju, prema urbanim/ruralnim područjima",Procenat,Ukupno,0
2017,"Udio populacije koja prakticira otvorenu defekaciju, prema urbanim/ruralnim područjima",Procenat,Ukupno,0
2018,"Udio populacije koja prakticira otvorenu defekaciju, prema urbanim/ruralnim područjima",Procenat,Ukupno,0
2014,"Udio populacije koja prakticira otvorenu defekaciju, prema urbanim/ruralnim područjima",Procenat,Ruralno,0
2015,"Udio populacije koja prakticira otvorenu defekaciju, prema urbanim/ruralnim područjima",Procenat,Ruralno,0
2016,"Udio populacije koja prakticira otvorenu defekaciju, prema urbanim/ruralnim područjima",Procenat,Ruralno,0
2017,"Udio populacije koja prakticira otvorenu defekaciju, prema urbanim/ruralnim područjima",Procenat,Ruralno,0
2018,"Udio populacije koja prakticira otvorenu defekaciju, prema urbanim/ruralnim područjima",Procenat,Ruralno,0
2014,"Udio populacije koja prakticira otvorenu defekaciju, prema urbanim/ruralnim područjima",Procenat,Urbano,0
2015,"Udio populacije koja prakticira otvorenu defekaciju, prema urbanim/ruralnim područjima",Procenat,Urbano,0
2016,"Udio populacije koja prakticira otvorenu defekaciju, prema urbanim/ruralnim područjima",Procenat,Urbano,0
2017,"Udio populacije koja prakticira otvorenu defekaciju, prema urbanim/ruralnim područjima",Procenat,Urbano,0
2018,"Udio populacije koja prakticira otvorenu defekaciju, prema urbanim/ruralnim područjima",Procenat,Urbano,0
2019,"Udio populacije koja prakticira otvorenu defekaciju, prema urbanim/ruralnim područjima",Procenat,Urbano,0
2020,"Udio populacije koja prakticira otvorenu defekaciju, prema urbanim/ruralnim područjima",Procenat,Urbano,0
2021,"Udio populacije koja prakticira otvorenu defekaciju, prema urbanim/ruralnim područjima",Procenat,Urbano,0
2014,Udio stanovništva koji koristi sanitarne usluge kojima se sigurno upravlja,Procenat,Ukupno,41
2015,Udio stanovništva koji koristi sanitarne usluge kojima se sigurno upravlja,Procenat,Ukupno,44
2016,Udio stanovništva koji koristi sanitarne usluge kojima se sigurno upravlja,Procenat,Ukupno,48
2017,Udio stanovništva koji koristi sanitarne usluge kojima se sigurno upravlja,Procenat,Ukupno,51
2018,Udio stanovništva koji koristi sanitarne usluge kojima se sigurno upravlja,Procenat,Ukupno,55
2014,Udio stanovništva koji koristi sanitarne usluge kojima se sigurno upravlja,Procenat,Urbano,24
2015,Udio stanovništva koji koristi sanitarne usluge kojima se sigurno upravlja,Procenat,Urbano,28
2016,Udio stanovništva koji koristi sanitarne usluge kojima se sigurno upravlja,Procenat,Urbano,33
2017,Udio stanovništva koji koristi sanitarne usluge kojima se sigurno upravlja,Procenat,Urbano,38
2018,Udio stanovništva koji koristi sanitarne usluge kojima se sigurno upravlja,Procenat,Urbano,43
2019,Udio stanovništva koji koristi sanitarne usluge kojima se sigurno upravlja,Procenat,Urbano,48
2020,Udio stanovništva koji koristi sanitarne usluge kojima se sigurno upravlja,Procenat,Urbano,53
2021,Udio stanovništva koji koristi sanitarne usluge kojima se sigurno upravlja,Procenat,Urbano,58
2014,Udio stanovništva sa osnovnim uređajima za pranje ruku u prostorijama,Procenat,Ukupno,97
2015,Udio stanovništva sa osnovnim uređajima za pranje ruku u prostorijama,Procenat,Ukupno,97
2016,Udio stanovništva sa osnovnim uređajima za pranje ruku u prostorijama,Procenat,Ukupno,97
2014,Udio stanovništva sa osnovnim uređajima za pranje ruku u prostorijama,Procenat,Ruralno,96
2015,Udio stanovništva sa osnovnim uređajima za pranje ruku u prostorijama,Procenat,Ruralno,96
2016,Udio stanovništva sa osnovnim uređajima za pranje ruku u prostorijama,Procenat,Ruralno,96
2014,Udio stanovništva sa osnovnim uređajima za pranje ruku u prostorijama,Procenat,Urbano,99
2015,Udio stanovništva sa osnovnim uređajima za pranje ruku u prostorijama,Procenat,Urbano,99
2016,Udio stanovništva sa osnovnim uređajima za pranje ruku u prostorijama,Procenat,Urbano,99
