Year,SERIES,UNIT_MEASURE,Godine,Spol,Value
2000,SH_HIV_INCD,Na 1 000 nezaraženog stanovništva,15 do 24 godine,Oba spola ili bez podjele po spolu,
2001,SH_HIV_INCD,Na 1 000 nezaraženog stanovništva,15 do 24 godine,Oba spola ili bez podjele po spolu,
2002,SH_HIV_INCD,Na 1 000 nezaraženog stanovništva,15 do 24 godine,Oba spola ili bez podjele po spolu,
2003,SH_HIV_INCD,Na 1 000 nezaraženog stanovništva,15 do 24 godine,Oba spola ili bez podjele po spolu,
2004,SH_HIV_INCD,Na 1 000 nezaraženog stanovništva,15 do 24 godine,Oba spola ili bez podjele po spolu,
2005,SH_HIV_INCD,Na 1 000 nezaraženog stanovništva,15 do 24 godine,Oba spola ili bez podjele po spolu,
2006,SH_HIV_INCD,Na 1 000 nezaraženog stanovništva,15 do 24 godine,Oba spola ili bez podjele po spolu,
2007,SH_HIV_INCD,Na 1 000 nezaraženog stanovništva,15 do 24 godine,Oba spola ili bez podjele po spolu,
2008,SH_HIV_INCD,Na 1 000 nezaraženog stanovništva,15 do 24 godine,Oba spola ili bez podjele po spolu,
2009,SH_HIV_INCD,Na 1 000 nezaraženog stanovništva,15 do 24 godine,Oba spola ili bez podjele po spolu,
2010,SH_HIV_INCD,Na 1 000 nezaraženog stanovništva,15 do 24 godine,Oba spola ili bez podjele po spolu,
2011,SH_HIV_INCD,Na 1 000 nezaraženog stanovništva,15 do 24 godine,Oba spola ili bez podjele po spolu,
2012,SH_HIV_INCD,Na 1 000 nezaraženog stanovništva,15 do 24 godine,Oba spola ili bez podjele po spolu,
2013,SH_HIV_INCD,Na 1 000 nezaraženog stanovništva,15 do 24 godine,Oba spola ili bez podjele po spolu,
2014,SH_HIV_INCD,Na 1 000 nezaraženog stanovništva,15 do 24 godine,Oba spola ili bez podjele po spolu,
2015,SH_HIV_INCD,Na 1 000 nezaraženog stanovništva,15 do 24 godine,Oba spola ili bez podjele po spolu,
2016,SH_HIV_INCD,Na 1 000 nezaraženog stanovništva,15 do 24 godine,Oba spola ili bez podjele po spolu,
2017,SH_HIV_INCD,Na 1 000 nezaraženog stanovništva,15 do 24 godine,Oba spola ili bez podjele po spolu,
2018,SH_HIV_INCD,Na 1 000 nezaraženog stanovništva,15 do 24 godine,Oba spola ili bez podjele po spolu,
2000,SH_HIV_INCD,Na 1 000 nezaraženog stanovništva,15 do 24 godine,Žene,
