Year,Value,UNIT_MEASURE,SERIES
2010,1.349218,Millions of constant United States dollars,"Total official flows for scholarships, by recipient countries (millions of constant 2023 United States dollars)"
2011,1.567778,Millions of constant United States dollars,"Total official flows for scholarships, by recipient countries (millions of constant 2023 United States dollars)"
2012,1.765286,Millions of constant United States dollars,"Total official flows for scholarships, by recipient countries (millions of constant 2023 United States dollars)"
2013,2.311288,Millions of constant United States dollars,"Total official flows for scholarships, by recipient countries (millions of constant 2023 United States dollars)"
2014,2.119057,Millions of constant United States dollars,"Total official flows for scholarships, by recipient countries (millions of constant 2023 United States dollars)"
2015,2.119057,Millions of constant United States dollars,"Total official flows for scholarships, by recipient countries (millions of constant 2023 United States dollars)"
2016,1.992465,Millions of constant United States dollars,"Total official flows for scholarships, by recipient countries (millions of constant 2023 United States dollars)"
2017,3.16746,Millions of constant United States dollars,"Total official flows for scholarships, by recipient countries (millions of constant 2023 United States dollars)"
2018,4.587223,Millions of constant United States dollars,"Total official flows for scholarships, by recipient countries (millions of constant 2023 United States dollars)"
2019,5.74539,Millions of constant United States dollars,"Total official flows for scholarships, by recipient countries (millions of constant 2023 United States dollars)"
2020,3.832425,Millions of constant United States dollars,"Total official flows for scholarships, by recipient countries (millions of constant 2023 United States dollars)"
2021,3.739739,Millions of constant United States dollars,"Total official flows for scholarships, by recipient countries (millions of constant 2023 United States dollars)"
2022,3.154642,Millions of constant United States dollars,"Total official flows for scholarships, by recipient countries (millions of constant 2023 United States dollars)"
2023,3.816201,Millions of constant United States dollars,"Total official flows for scholarships, by recipient countries (millions of constant 2023 United States dollars)"
