Year,Value,UNIT_MEASURE,SERIES
2006,214.044,Millions of constant United States dollars,"Total official flows (commitments) for Aid for Trade, by recipient countries (millions of constant 2023 United States dollars)"
2007,167.307,Millions of constant United States dollars,"Total official flows (commitments) for Aid for Trade, by recipient countries (millions of constant 2023 United States dollars)"
2008,144.706,Millions of constant United States dollars,"Total official flows (commitments) for Aid for Trade, by recipient countries (millions of constant 2023 United States dollars)"
2009,201.185,Millions of constant United States dollars,"Total official flows (commitments) for Aid for Trade, by recipient countries (millions of constant 2023 United States dollars)"
2010,254.307,Millions of constant United States dollars,"Total official flows (commitments) for Aid for Trade, by recipient countries (millions of constant 2023 United States dollars)"
2011,249.223,Millions of constant United States dollars,"Total official flows (commitments) for Aid for Trade, by recipient countries (millions of constant 2023 United States dollars)"
2012,238.12,Millions of constant United States dollars,"Total official flows (commitments) for Aid for Trade, by recipient countries (millions of constant 2023 United States dollars)"
2013,490.402,Millions of constant United States dollars,"Total official flows (commitments) for Aid for Trade, by recipient countries (millions of constant 2023 United States dollars)"
2014,576.24,Millions of constant United States dollars,"Total official flows (commitments) for Aid for Trade, by recipient countries (millions of constant 2023 United States dollars)"
2015,85.0652,Millions of constant United States dollars,"Total official flows (commitments) for Aid for Trade, by recipient countries (millions of constant 2023 United States dollars)"
2016,69.0774,Millions of constant United States dollars,"Total official flows (commitments) for Aid for Trade, by recipient countries (millions of constant 2023 United States dollars)"
2017,227.125,Millions of constant United States dollars,"Total official flows (commitments) for Aid for Trade, by recipient countries (millions of constant 2023 United States dollars)"
2018,187.97,Millions of constant United States dollars,"Total official flows (commitments) for Aid for Trade, by recipient countries (millions of constant 2023 United States dollars)"
2019,282.544,Millions of constant United States dollars,"Total official flows (commitments) for Aid for Trade, by recipient countries (millions of constant 2023 United States dollars)"
2020,161.307,Millions of constant United States dollars,"Total official flows (commitments) for Aid for Trade, by recipient countries (millions of constant 2023 United States dollars)"
2021,326.128,Millions of constant United States dollars,"Total official flows (commitments) for Aid for Trade, by recipient countries (millions of constant 2023 United States dollars)"
2022,39.651,Millions of constant United States dollars,"Total official flows (commitments) for Aid for Trade, by recipient countries (millions of constant 2023 United States dollars)"
2023,484.08,Millions of constant United States dollars,"Total official flows (commitments) for Aid for Trade, by recipient countries (millions of constant 2023 United States dollars)"
2006,81.1979,Millions of constant United States dollars,"Total official flows (disbursement) for Aid for Trade, by recipient countries (millions of constant 2023 United States dollars)"
2007,97.2022,Millions of constant United States dollars,"Total official flows (disbursement) for Aid for Trade, by recipient countries (millions of constant 2023 United States dollars)"
2008,123.501,Millions of constant United States dollars,"Total official flows (disbursement) for Aid for Trade, by recipient countries (millions of constant 2023 United States dollars)"
2009,106.707,Millions of constant United States dollars,"Total official flows (disbursement) for Aid for Trade, by recipient countries (millions of constant 2023 United States dollars)"
2010,132.035,Millions of constant United States dollars,"Total official flows (disbursement) for Aid for Trade, by recipient countries (millions of constant 2023 United States dollars)"
2011,316.703,Millions of constant United States dollars,"Total official flows (disbursement) for Aid for Trade, by recipient countries (millions of constant 2023 United States dollars)"
2012,337.997,Millions of constant United States dollars,"Total official flows (disbursement) for Aid for Trade, by recipient countries (millions of constant 2023 United States dollars)"
2013,267.411,Millions of constant United States dollars,"Total official flows (disbursement) for Aid for Trade, by recipient countries (millions of constant 2023 United States dollars)"
2014,268.993,Millions of constant United States dollars,"Total official flows (disbursement) for Aid for Trade, by recipient countries (millions of constant 2023 United States dollars)"
2015,168.585,Millions of constant United States dollars,"Total official flows (disbursement) for Aid for Trade, by recipient countries (millions of constant 2023 United States dollars)"
2016,245.998,Millions of constant United States dollars,"Total official flows (disbursement) for Aid for Trade, by recipient countries (millions of constant 2023 United States dollars)"
2017,246.639,Millions of constant United States dollars,"Total official flows (disbursement) for Aid for Trade, by recipient countries (millions of constant 2023 United States dollars)"
2018,212.468,Millions of constant United States dollars,"Total official flows (disbursement) for Aid for Trade, by recipient countries (millions of constant 2023 United States dollars)"
2019,218.588,Millions of constant United States dollars,"Total official flows (disbursement) for Aid for Trade, by recipient countries (millions of constant 2023 United States dollars)"
2020,289.427,Millions of constant United States dollars,"Total official flows (disbursement) for Aid for Trade, by recipient countries (millions of constant 2023 United States dollars)"
2021,284.734,Millions of constant United States dollars,"Total official flows (disbursement) for Aid for Trade, by recipient countries (millions of constant 2023 United States dollars)"
2022,183.54,Millions of constant United States dollars,"Total official flows (disbursement) for Aid for Trade, by recipient countries (millions of constant 2023 United States dollars)"
2023,193.282,Millions of constant United States dollars,"Total official flows (disbursement) for Aid for Trade, by recipient countries (millions of constant 2023 United States dollars)"
