Year,Value,UNIT_MEASURE,SERIES
2019,1,NUMBER,Countries with national statistical plans that are fully funded (1 = YES; 0 = NO)
2020,1,NUMBER,Countries with national statistical plans that are fully funded (1 = YES; 0 = NO)
2021,1,NUMBER,Countries with national statistical plans that are fully funded (1 = YES; 0 = NO)
2022,1,NUMBER,Countries with national statistical plans that are fully funded (1 = YES; 0 = NO)
2019,1,NUMBER,Countries with national statistical plans that are under implementation (1 = YES; 0 = NO)
2020,1,NUMBER,Countries with national statistical plans that are under implementation (1 = YES; 0 = NO)
2021,1,NUMBER,Countries with national statistical plans that are under implementation (1 = YES; 0 = NO)
2022,1,NUMBER,Countries with national statistical plans that are under implementation (1 = YES; 0 = NO)
2019,1,NUMBER,Countries with national statistical plans with funding from Government (1 = YES; 0 = NO)
2020,1,NUMBER,Countries with national statistical plans with funding from Government (1 = YES; 0 = NO)
2021,1,NUMBER,Countries with national statistical plans with funding from Government (1 = YES; 0 = NO)
2022,1,NUMBER,Countries with national statistical plans with funding from Government (1 = YES; 0 = NO)
2019,1,NUMBER,Countries with national statistical plans with funding from donors (1 = YES; 0 = NO)
2020,1,NUMBER,Countries with national statistical plans with funding from donors (1 = YES; 0 = NO)
2021,1,NUMBER,Countries with national statistical plans with funding from donors (1 = YES; 0 = NO)
2022,1,NUMBER,Countries with national statistical plans with funding from donors (1 = YES; 0 = NO)
