Year,Value,UNIT_MEASURE,SERIES
2013,1,NUMBER,Countries that have conducted at least one population and housing census in the last 10 years (1 = YES; 0 = NO)
2015,1,NUMBER,Countries with birth registration data that are at least 90 percent complete (1 = YES; 0 = NO)
2016,1,NUMBER,Countries with birth registration data that are at least 90 percent complete (1 = YES; 0 = NO)
2017,1,NUMBER,Countries with birth registration data that are at least 90 percent complete (1 = YES; 0 = NO)
2018,1,NUMBER,Countries with birth registration data that are at least 90 percent complete (1 = YES; 0 = NO)
2019,1,NUMBER,Countries with birth registration data that are at least 90 percent complete (1 = YES; 0 = NO)
2020,1,NUMBER,Countries with birth registration data that are at least 90 percent complete (1 = YES; 0 = NO)
2015,1,NUMBER,Countries with death registration data that are at least 75 percent complete (1 = YES; 0 = NO)
2016,1,NUMBER,Countries with death registration data that are at least 75 percent complete (1 = YES; 0 = NO)
2017,1,NUMBER,Countries with death registration data that are at least 75 percent complete (1 = YES; 0 = NO)
2018,1,NUMBER,Countries with death registration data that are at least 75 percent complete (1 = YES; 0 = NO)
2019,1,NUMBER,Countries with death registration data that are at least 75 percent complete (1 = YES; 0 = NO)
2020,1,NUMBER,Countries with death registration data that are at least 75 percent complete (1 = YES; 0 = NO)
