Year,Value,UNIT_MEASURE,SERIES
2000,85.0,Percent,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3)
2001,91.0,Percent,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3)
2002,80.0,Percent,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3)
2003,87.0,Percent,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3)
2004,84.0,Percent,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3)
2005,93.0,Percent,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3)
2006,87.0,Percent,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3)
2007,95.0,Percent,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3)
2008,91.0,Percent,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3)
2009,90.0,Percent,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3)
2010,89.0,Percent,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3)
2011,88.0,Percent,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3)
2012,92.0,Percent,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3)
2013,89.0,Percent,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3)
2014,86.0,Percent,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3)
2015,82.0,Percent,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3)
2016,78.0,Percent,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3)
2017,75.0,Percent,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3)
2018,73.0,Percent,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3)
2019,73.0,Percent,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3)
2020,72.0,Percent,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3)
2021,76.0,Percent,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3)
