Year,Value,UNIT_MEASURE,SERIES
2019,1,NUMBER,Zemlje s nacionalnim statističkim planovima koji su u potpunosti financirani (1= DA; 0 = NE)
2020,1,NUMBER,Zemlje s nacionalnim statističkim planovima koji su u potpunosti financirani (1= DA; 0 = NE)
2021,1,NUMBER,Zemlje s nacionalnim statističkim planovima koji su u potpunosti financirani (1= DA; 0 = NE)
2022,1,NUMBER,Zemlje s nacionalnim statističkim planovima koji su u potpunosti financirani (1= DA; 0 = NE)
2019,1,NUMBER,Zemlje s nacionalnim statističkim planovima koji su u provedbi (1 = DA; 0 = NE)
2020,1,NUMBER,Zemlje s nacionalnim statističkim planovima koji su u provedbi (1 = DA; 0 = NE)
2021,1,NUMBER,Zemlje s nacionalnim statističkim planovima koji su u provedbi (1 = DA; 0 = NE)
2022,1,NUMBER,Zemlje s nacionalnim statističkim planovima koji su u provedbi (1 = DA; 0 = NE)
2019,1,NUMBER,Zemlje s nacionalnim statističkim planovima koje financira država (1 = DA; 0 = NE)
2020,1,NUMBER,Zemlje s nacionalnim statističkim planovima koje financira država (1 = DA; 0 = NE)
2021,1,NUMBER,Zemlje s nacionalnim statističkim planovima koje financira država (1 = DA; 0 = NE)
2022,1,NUMBER,Zemlje s nacionalnim statističkim planovima koje financira država (1 = DA; 0 = NE)
2019,1,NUMBER,Zemlje s nacionalnim statističkim planovima koje financiraju donatori (1 = DA; 0 = NE)
2020,1,NUMBER,Zemlje s nacionalnim statističkim planovima koje financiraju donatori (1 = DA; 0 = NE)
2021,1,NUMBER,Zemlje s nacionalnim statističkim planovima koje financiraju donatori (1 = DA; 0 = NE)
2022,1,NUMBER,Zemlje s nacionalnim statističkim planovima koje financiraju donatori (1 = DA; 0 = NE)
