Year,SERIES,UNIT_MEASURE,AGE,Sex,Degree of urbanisation,Value
2000,Employed population below international poverty line,Percent,15+,Both sexes or no breakdown by sex,,
2001,Employed population below international poverty line,Percent,15+,Both sexes or no breakdown by sex,,0.22
2002,Employed population below international poverty line,Percent,15+,Both sexes or no breakdown by sex,,
2003,Employed population below international poverty line,Percent,15+,Both sexes or no breakdown by sex,,
2004,Employed population below international poverty line,Percent,15+,Both sexes or no breakdown by sex,,0.11
2005,Employed population below international poverty line,Percent,15+,Both sexes or no breakdown by sex,,
2006,Employed population below international poverty line,Percent,15+,Both sexes or no breakdown by sex,,
2007,Employed population below international poverty line,Percent,15+,Both sexes or no breakdown by sex,,0.08
2008,Employed population below international poverty line,Percent,15+,Both sexes or no breakdown by sex,,
2009,Employed population below international poverty line,Percent,15+,Both sexes or no breakdown by sex,,
2010,Employed population below international poverty line,Percent,15+,Both sexes or no breakdown by sex,,
2011,Employed population below international poverty line,Percent,15+,Both sexes or no breakdown by sex,,0.09
2012,Employed population below international poverty line,Percent,15+,Both sexes or no breakdown by sex,,
2013,Employed population below international poverty line,Percent,15+,Both sexes or no breakdown by sex,,
2014,Employed population below international poverty line,Percent,15+,Both sexes or no breakdown by sex,,
2015,Employed population below international poverty line,Percent,15+,Both sexes or no breakdown by sex,,
2016,Employed population below international poverty line,Percent,15+,Both sexes or no breakdown by sex,,
2017,Employed population below international poverty line,Percent,15+,Both sexes or no breakdown by sex,,
2018,Employed population below international poverty line,Percent,15+,Both sexes or no breakdown by sex,,
2019,Employed population below international poverty line,Percent,15+,Both sexes or no breakdown by sex,,0.08
2020,Employed population below international poverty line,Percent,15+,Both sexes or no breakdown by sex,,
2021,Employed population below international poverty line,Percent,15+,Both sexes or no breakdown by sex,,
2022,Employed population below international poverty line,Percent,15+,Both sexes or no breakdown by sex,,
2000,Employed population below international poverty line,Percent,15+,Female,,
2001,Employed population below international poverty line,Percent,15+,Female,,0.27
2002,Employed population below international poverty line,Percent,15+,Female,,
2003,Employed population below international poverty line,Percent,15+,Female,,
2004,Employed population below international poverty line,Percent,15+,Female,,0.14
2005,Employed population below international poverty line,Percent,15+,Female,,
2006,Employed population below international poverty line,Percent,15+,Female,,
2007,Employed population below international poverty line,Percent,15+,Female,,0.09
2008,Employed population below international poverty line,Percent,15+,Female,,
2009,Employed population below international poverty line,Percent,15+,Female,,
2010,Employed population below international poverty line,Percent,15+,Female,,
2011,Employed population below international poverty line,Percent,15+,Female,,
2012,Employed population below international poverty line,Percent,15+,Female,,
2013,Employed population below international poverty line,Percent,15+,Female,,
2014,Employed population below international poverty line,Percent,15+,Female,,
2015,Employed population below international poverty line,Percent,15+,Female,,
2016,Employed population below international poverty line,Percent,15+,Female,,
2017,Employed population below international poverty line,Percent,15+,Female,,
2018,Employed population below international poverty line,Percent,15+,Female,,
2019,Employed population below international poverty line,Percent,15+,Female,,0.08
2000,Employed population below international poverty line,Percent,15+,Male,,
2001,Employed population below international poverty line,Percent,15+,Male,,0.18
2002,Employed population below international poverty line,Percent,15+,Male,,
2003,Employed population below international poverty line,Percent,15+,Male,,
2004,Employed population below international poverty line,Percent,15+,Male,,0.1
2005,Employed population below international poverty line,Percent,15+,Male,,
2006,Employed population below international poverty line,Percent,15+,Male,,
2007,Employed population below international poverty line,Percent,15+,Male,,0.07
2008,Employed population below international poverty line,Percent,15+,Male,,
2009,Employed population below international poverty line,Percent,15+,Male,,
2010,Employed population below international poverty line,Percent,15+,Male,,
2011,Employed population below international poverty line,Percent,15+,Male,,0.08
2012,Employed population below international poverty line,Percent,15+,Male,,
2013,Employed population below international poverty line,Percent,15+,Male,,
2014,Employed population below international poverty line,Percent,15+,Male,,
2015,Employed population below international poverty line,Percent,15+,Male,,
2016,Employed population below international poverty line,Percent,15+,Male,,
2017,Employed population below international poverty line,Percent,15+,Male,,
2018,Employed population below international poverty line,Percent,15+,Male,,
2019,Employed population below international poverty line,Percent,15+,Male,,0.08
2000,Employed population below international poverty line,Percent,15-24,Both sexes or no breakdown by sex,,
2001,Employed population below international poverty line,Percent,15-24,Both sexes or no breakdown by sex,,0.52
2002,Employed population below international poverty line,Percent,15-24,Both sexes or no breakdown by sex,,
2003,Employed population below international poverty line,Percent,15-24,Both sexes or no breakdown by sex,,
2004,Employed population below international poverty line,Percent,15-24,Both sexes or no breakdown by sex,,0.27
2005,Employed population below international poverty line,Percent,15-24,Both sexes or no breakdown by sex,,
2006,Employed population below international poverty line,Percent,15-24,Both sexes or no breakdown by sex,,
2007,Employed population below international poverty line,Percent,15-24,Both sexes or no breakdown by sex,,0.19
2008,Employed population below international poverty line,Percent,15-24,Both sexes or no breakdown by sex,,
2009,Employed population below international poverty line,Percent,15-24,Both sexes or no breakdown by sex,,
2010,Employed population below international poverty line,Percent,15-24,Both sexes or no breakdown by sex,,
2011,Employed population below international poverty line,Percent,15-24,Both sexes or no breakdown by sex,,0.22
2012,Employed population below international poverty line,Percent,15-24,Both sexes or no breakdown by sex,,
2013,Employed population below international poverty line,Percent,15-24,Both sexes or no breakdown by sex,,
2014,Employed population below international poverty line,Percent,15-24,Both sexes or no breakdown by sex,,
2015,Employed population below international poverty line,Percent,15-24,Both sexes or no breakdown by sex,,
2016,Employed population below international poverty line,Percent,15-24,Both sexes or no breakdown by sex,,
2017,Employed population below international poverty line,Percent,15-24,Both sexes or no breakdown by sex,,
2018,Employed population below international poverty line,Percent,15-24,Both sexes or no breakdown by sex,,
2019,Employed population below international poverty line,Percent,15-24,Both sexes or no breakdown by sex,,0.19
2000,Employed population below international poverty line,Percent,15-24,Female,,
2001,Employed population below international poverty line,Percent,15-24,Female,,1.32
2002,Employed population below international poverty line,Percent,15-24,Female,,
2003,Employed population below international poverty line,Percent,15-24,Female,,
2004,Employed population below international poverty line,Percent,15-24,Female,,0.71
2005,Employed population below international poverty line,Percent,15-24,Female,,
2006,Employed population below international poverty line,Percent,15-24,Female,,
2007,Employed population below international poverty line,Percent,15-24,Female,,0.5
2008,Employed population below international poverty line,Percent,15-24,Female,,
2009,Employed population below international poverty line,Percent,15-24,Female,,
2010,Employed population below international poverty line,Percent,15-24,Female,,
2011,Employed population below international poverty line,Percent,15-24,Female,,0.58
2012,Employed population below international poverty line,Percent,15-24,Female,,
2013,Employed population below international poverty line,Percent,15-24,Female,,
2014,Employed population below international poverty line,Percent,15-24,Female,,
2015,Employed population below international poverty line,Percent,15-24,Female,,
2016,Employed population below international poverty line,Percent,15-24,Female,,
2017,Employed population below international poverty line,Percent,15-24,Female,,
2018,Employed population below international poverty line,Percent,15-24,Female,,
2019,Employed population below international poverty line,Percent,15-24,Female,,0.43
2000,Employed population below international poverty line,Percent,15-24,Male,,
2001,Employed population below international poverty line,Percent,15-24,Male,,0.1
2002,Employed population below international poverty line,Percent,15-24,Male,,
2003,Employed population below international poverty line,Percent,15-24,Male,,
2004,Employed population below international poverty line,Percent,15-24,Male,,0.05
2005,Employed population below international poverty line,Percent,15-24,Male,,
2006,Employed population below international poverty line,Percent,15-24,Male,,
2007,Employed population below international poverty line,Percent,15-24,Male,,0.04
2008,Employed population below international poverty line,Percent,15-24,Male,,
2009,Employed population below international poverty line,Percent,15-24,Male,,
2010,Employed population below international poverty line,Percent,15-24,Male,,
2011,Employed population below international poverty line,Percent,15-24,Male,,0.04
2012,Employed population below international poverty line,Percent,15-24,Male,,
2013,Employed population below international poverty line,Percent,15-24,Male,,
2014,Employed population below international poverty line,Percent,15-24,Male,,
2015,Employed population below international poverty line,Percent,15-24,Male,,
2016,Employed population below international poverty line,Percent,15-24,Male,,
2017,Employed population below international poverty line,Percent,15-24,Male,,
2018,Employed population below international poverty line,Percent,15-24,Male,,
2019,Employed population below international poverty line,Percent,15-24,Male,,0.03
2000,Employed population below international poverty line,Percent,25+,Both sexes or no breakdown by sex,,
2001,Employed population below international poverty line,Percent,25+,Both sexes or no breakdown by sex,,0.18
2002,Employed population below international poverty line,Percent,25+,Both sexes or no breakdown by sex,,
2003,Employed population below international poverty line,Percent,25+,Both sexes or no breakdown by sex,,
2004,Employed population below international poverty line,Percent,25+,Both sexes or no breakdown by sex,,0.1
2005,Employed population below international poverty line,Percent,25+,Both sexes or no breakdown by sex,,
2006,Employed population below international poverty line,Percent,25+,Both sexes or no breakdown by sex,,
2007,Employed population below international poverty line,Percent,25+,Both sexes or no breakdown by sex,,0.07
2008,Employed population below international poverty line,Percent,25+,Both sexes or no breakdown by sex,,
2009,Employed population below international poverty line,Percent,25+,Both sexes or no breakdown by sex,,
2010,Employed population below international poverty line,Percent,25+,Both sexes or no breakdown by sex,,
2011,Employed population below international poverty line,Percent,25+,Both sexes or no breakdown by sex,,0.08
2012,Employed population below international poverty line,Percent,25+,Both sexes or no breakdown by sex,,
2013,Employed population below international poverty line,Percent,25+,Both sexes or no breakdown by sex,,
2014,Employed population below international poverty line,Percent,25+,Both sexes or no breakdown by sex,,
2015,Employed population below international poverty line,Percent,25+,Both sexes or no breakdown by sex,,
2016,Employed population below international poverty line,Percent,25+,Both sexes or no breakdown by sex,,
