Year,SERIES,UNIT_MEASURE,COMPOSITE_BREAKDOWN,Value
2000,"Proportion of members of developing countries in international organizations, by organization",PT,International Bank for Reconstruction and Development,0.54945
2005,"Proportion of members of developing countries in international organizations, by organization",PT,International Bank for Reconstruction and Development,0.54348
2010,"Proportion of members of developing countries in international organizations, by organization",PT,International Bank for Reconstruction and Development,0.53476
2015,"Proportion of members of developing countries in international organizations, by organization",PT,International Bank for Reconstruction and Development,0.53191
2016,"Proportion of members of developing countries in international organizations, by organization",PT,International Bank for Reconstruction and Development,0.53191
2017,"Proportion of members of developing countries in international organizations, by organization",PT,International Bank for Reconstruction and Development,0.5291
2018,"Proportion of members of developing countries in international organizations, by organization",PT,International Bank for Reconstruction and Development,0.5291
2019,"Proportion of members of developing countries in international organizations, by organization",PT,International Bank for Reconstruction and Development,0.5291
2020,"Proportion of members of developing countries in international organizations, by organization",PT,International Bank for Reconstruction and Development,0.5291
2021,"Proportion of members of developing countries in international organizations, by organization",PT,International Bank for Reconstruction and Development,0.5291
2022,"Proportion of members of developing countries in international organizations, by organization",PT,International Bank for Reconstruction and Development,0.5291
2000,"Proportion of members of developing countries in international organizations, by organization",PT,International Finance Corporation,0.57471
2005,"Proportion of members of developing countries in international organizations, by organization",PT,International Finance Corporation,0.5618
2010,"Proportion of members of developing countries in international organizations, by organization",PT,International Finance Corporation,0.54945
2015,"Proportion of members of developing countries in international organizations, by organization",PT,International Finance Corporation,0.54348
2016,"Proportion of members of developing countries in international organizations, by organization",PT,International Finance Corporation,0.54348
2017,"Proportion of members of developing countries in international organizations, by organization",PT,International Finance Corporation,0.54348
2018,"Proportion of members of developing countries in international organizations, by organization",PT,International Finance Corporation,0.54348
2019,"Proportion of members of developing countries in international organizations, by organization",PT,International Finance Corporation,0.54054
2020,"Proportion of members of developing countries in international organizations, by organization",PT,International Finance Corporation,0.54054
2021,"Proportion of members of developing countries in international organizations, by organization",PT,International Finance Corporation,0.54054
2022,"Proportion of members of developing countries in international organizations, by organization",PT,International Finance Corporation,0.5376
2000,"Proportion of members of developing countries in international organizations, by organization",PT,International Monetary Fund,0.5618
2005,"Proportion of members of developing countries in international organizations, by organization",PT,International Monetary Fund,0.55249
2010,"Proportion of members of developing countries in international organizations, by organization",PT,International Monetary Fund,0.54945
2015,"Proportion of members of developing countries in international organizations, by organization",PT,International Monetary Fund,0.53191
2016,"Proportion of members of developing countries in international organizations, by organization",PT,International Monetary Fund,0.53191
2017,"Proportion of members of developing countries in international organizations, by organization",PT,International Monetary Fund,0.5291
2018,"Proportion of members of developing countries in international organizations, by organization",PT,International Monetary Fund,0.5291
2019,"Proportion of members of developing countries in international organizations, by organization",PT,International Monetary Fund,0.5291
2020,"Proportion of members of developing countries in international organizations, by organization",PT,International Monetary Fund,0.5291
2021,"Proportion of members of developing countries in international organizations, by organization",PT,International Monetary Fund,0.5263
2022,"Proportion of members of developing countries in international organizations, by organization",PT,International Monetary Fund,0.5263
2000,"Proportion of members of developing countries in international organizations, by organization",PT,UN General Assembly,0.5291
2005,"Proportion of members of developing countries in international organizations, by organization",PT,UN General Assembly,0.52356
2010,"Proportion of members of developing countries in international organizations, by organization",PT,UN General Assembly,0.52083
2015,"Proportion of members of developing countries in international organizations, by organization",PT,UN General Assembly,0.51813
2016,"Proportion of members of developing countries in international organizations, by organization",PT,UN General Assembly,0.51813
2017,"Proportion of members of developing countries in international organizations, by organization",PT,UN General Assembly,0.51813
2018,"Proportion of members of developing countries in international organizations, by organization",PT,UN General Assembly,0.51813
2019,"Proportion of members of developing countries in international organizations, by organization",PT,UN General Assembly,0.51813
2020,"Proportion of members of developing countries in international organizations, by organization",PT,UN General Assembly,0.51813
2021,"Proportion of members of developing countries in international organizations, by organization",PT,UN General Assembly,0.51813
2022,"Proportion of members of developing countries in international organizations, by organization",PT,UN General Assembly,0.51813
2010,"Proportion of members of developing countries in international organizations, by organization",PT,UN Security Council,6.66667
