Year,SERIES,UNIT_MEASURE,Economic activity,Sex,Age,Value
2006,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) - 13th ICLS (%)",Percent,"Agriculture, forestry and fishing",Both sexes,15 years old and over,89.55
2007,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) - 13th ICLS (%)",Percent,"Agriculture, forestry and fishing",Both sexes,15 years old and over,90.87
2008,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) - 13th ICLS (%)",Percent,"Agriculture, forestry and fishing",Both sexes,15 years old and over,91.24
2009,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) - 13th ICLS (%)",Percent,"Agriculture, forestry and fishing",Both sexes,15 years old and over,91.19
2010,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) - 13th ICLS (%)",Percent,"Agriculture, forestry and fishing",Both sexes,15 years old and over,90.4
2011,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) - 13th ICLS (%)",Percent,"Agriculture, forestry and fishing",Both sexes,15 years old and over,90.56
2012,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) - 13th ICLS (%)",Percent,"Agriculture, forestry and fishing",Both sexes,15 years old and over,90.81
2013,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) - 13th ICLS (%)",Percent,"Agriculture, forestry and fishing",Both sexes,15 years old and over,90.94
2014,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) - 13th ICLS (%)",Percent,"Agriculture, forestry and fishing",Both sexes,15 years old and over,89.75
2015,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) - 13th ICLS (%)",Percent,"Agriculture, forestry and fishing",Both sexes,15 years old and over,90.0
2016,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) - 13th ICLS (%)",Percent,"Agriculture, forestry and fishing",Both sexes,15 years old and over,89.89
2017,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) - 13th ICLS (%)",Percent,"Agriculture, forestry and fishing",Both sexes,15 years old and over,76.01
2018,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) - 13th ICLS (%)",Percent,"Agriculture, forestry and fishing",Both sexes,15 years old and over,72.74
2019,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) - 13th ICLS (%)",Percent,"Agriculture, forestry and fishing",Both sexes,15 years old and over,79.37
2020,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) - 13th ICLS (%)",Percent,"Agriculture, forestry and fishing",Both sexes,15 years old and over,64.52
2021,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) - 13th ICLS (%)",Percent,"Agriculture, forestry and fishing",Both sexes,15 years old and over,78.44
2022,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) - 13th ICLS (%)",Percent,"Agriculture, forestry and fishing",Both sexes,15 years old and over,81.19
2006,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) - 13th ICLS (%)",Percent,Non-agriculture,Both sexes,15 years old and over,24.64
2007,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) - 13th ICLS (%)",Percent,Non-agriculture,Both sexes,15 years old and over,23.76
2008,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) - 13th ICLS (%)",Percent,Non-agriculture,Both sexes,15 years old and over,21.15
2009,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) - 13th ICLS (%)",Percent,Non-agriculture,Both sexes,15 years old and over,18.33
2010,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) - 13th ICLS (%)",Percent,Non-agriculture,Both sexes,15 years old and over,18.12
2011,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) - 13th ICLS (%)",Percent,Non-agriculture,Both sexes,15 years old and over,16.33
2012,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) - 13th ICLS (%)",Percent,Non-agriculture,Both sexes,15 years old and over,18.9
2013,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) - 13th ICLS (%)",Percent,Non-agriculture,Both sexes,15 years old and over,17.7
2014,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) - 13th ICLS (%)",Percent,Non-agriculture,Both sexes,15 years old and over,16.8
2015,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) - 13th ICLS (%)",Percent,Non-agriculture,Both sexes,15 years old and over,17.1
2016,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) - 13th ICLS (%)",Percent,Non-agriculture,Both sexes,15 years old and over,17.5
2017,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) - 13th ICLS (%)",Percent,Non-agriculture,Both sexes,15 years old and over,12.9
2018,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) - 13th ICLS (%)",Percent,Non-agriculture,Both sexes,15 years old and over,12.7
2019,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) - 13th ICLS (%)",Percent,Non-agriculture,Both sexes,15 years old and over,10.8
2020,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) - 13th ICLS (%)",Percent,Non-agriculture,Both sexes,15 years old and over,7.5
2021,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) - 13th ICLS (%)",Percent,Non-agriculture,Both sexes,15 years old and over,8.4
2022,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) - 13th ICLS (%)",Percent,Non-agriculture,Both sexes,15 years old and over,7.45
2006,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) - 13th ICLS (%)",Percent,No breakdown,Both sexes,15 years old and over,38.0
2007,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) - 13th ICLS (%)",Percent,No breakdown,Both sexes,15 years old and over,37.1
2008,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) - 13th ICLS (%)",Percent,No breakdown,Both sexes,15 years old and over,35.6
2009,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) - 13th ICLS (%)",Percent,No breakdown,Both sexes,15 years old and over,33.8
2010,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) - 13th ICLS (%)",Percent,No breakdown,Both sexes,15 years old and over,32.4
