Year,SERIES,UNIT_MEASURE,Age,Value
2010,"Number of automated teller machines (ATMs) per 100,000 adults","Per 100,000 population",15 years old and over,34.1
2011,"Number of automated teller machines (ATMs) per 100,000 adults","Per 100,000 population",15 years old and over,37.98
2012,"Number of automated teller machines (ATMs) per 100,000 adults","Per 100,000 population",15 years old and over,41.22
2013,"Number of automated teller machines (ATMs) per 100,000 adults","Per 100,000 population",15 years old and over,44.45
2014,"Number of automated teller machines (ATMs) per 100,000 adults","Per 100,000 population",15 years old and over,46.78
2015,"Number of automated teller machines (ATMs) per 100,000 adults","Per 100,000 population",15 years old and over,50.03
2016,"Number of automated teller machines (ATMs) per 100,000 adults","Per 100,000 population",15 years old and over,50.69
2017,"Number of automated teller machines (ATMs) per 100,000 adults","Per 100,000 population",15 years old and over,52.17
2018,"Number of automated teller machines (ATMs) per 100,000 adults","Per 100,000 population",15 years old and over,54.2
2019,"Number of automated teller machines (ATMs) per 100,000 adults","Per 100,000 population",15 years old and over,56.79
2020,"Number of automated teller machines (ATMs) per 100,000 adults","Per 100,000 population",15 years old and over,57.05
2021,"Number of automated teller machines (ATMs) per 100,000 adults","Per 100,000 population",15 years old and over,57.99
2022,"Number of automated teller machines (ATMs) per 100,000 adults","Per 100,000 population",15 years old and over,59.54
2023,"Number of automated teller machines (ATMs) per 100,000 adults","Per 100,000 population",15 years old and over,62.12
2024,"Number of automated teller machines (ATMs) per 100,000 adults","Per 100,000 population",15 years old and over,64.21
2010,"Number of commercial bank branches per 100,000 adults","Per 100,000 population",15 years old and over,30.58
2011,"Number of commercial bank branches per 100,000 adults","Per 100,000 population",15 years old and over,31.63
2012,"Number of commercial bank branches per 100,000 adults","Per 100,000 population",15 years old and over,31.49
2013,"Number of commercial bank branches per 100,000 adults","Per 100,000 population",15 years old and over,32.33
2014,"Number of commercial bank branches per 100,000 adults","Per 100,000 population",15 years old and over,33.26
2015,"Number of commercial bank branches per 100,000 adults","Per 100,000 population",15 years old and over,30.5
2016,"Number of commercial bank branches per 100,000 adults","Per 100,000 population",15 years old and over,29.26
2017,"Number of commercial bank branches per 100,000 adults","Per 100,000 population",15 years old and over,29.49
2018,"Number of commercial bank branches per 100,000 adults","Per 100,000 population",15 years old and over,29.63
2019,"Number of commercial bank branches per 100,000 adults","Per 100,000 population",15 years old and over,29.26
2020,"Number of commercial bank branches per 100,000 adults","Per 100,000 population",15 years old and over,29.42
2021,"Number of commercial bank branches per 100,000 adults","Per 100,000 population",15 years old and over,29.74
2022,"Number of commercial bank branches per 100,000 adults","Per 100,000 population",15 years old and over,29.21
2023,"Number of commercial bank branches per 100,000 adults","Per 100,000 population",15 years old and over,28.9
2024,"Number of commercial bank branches per 100,000 adults","Per 100,000 population",15 years old and over,29.25
