Year,SERIES,UNIT_MEASURE,Degree of urbanisation,Value
2000,Proportion of population with primary reliance on clean fuels and technology,Percent,All areas,53.8
2000,Proportion of population with primary reliance on clean fuels and technology,Percent,Rural,33.0
2000,Proportion of population with primary reliance on clean fuels and technology,Percent,Urban,81.8
2001,Proportion of population with primary reliance on clean fuels and technology,Percent,All areas,52.7
2001,Proportion of population with primary reliance on clean fuels and technology,Percent,Rural,31.9
2001,Proportion of population with primary reliance on clean fuels and technology,Percent,Urban,80.1
2002,Proportion of population with primary reliance on clean fuels and technology,Percent,All areas,51.6
2002,Proportion of population with primary reliance on clean fuels and technology,Percent,Rural,30.4
2002,Proportion of population with primary reliance on clean fuels and technology,Percent,Urban,79.3
2003,Proportion of population with primary reliance on clean fuels and technology,Percent,All areas,51.0
2003,Proportion of population with primary reliance on clean fuels and technology,Percent,Rural,29.15
2003,Proportion of population with primary reliance on clean fuels and technology,Percent,Urban,78.1
2004,Proportion of population with primary reliance on clean fuels and technology,Percent,All areas,50.0
2004,Proportion of population with primary reliance on clean fuels and technology,Percent,Rural,27.8
2004,Proportion of population with primary reliance on clean fuels and technology,Percent,Urban,76.7
2005,Proportion of population with primary reliance on clean fuels and technology,Percent,All areas,49.1
2005,Proportion of population with primary reliance on clean fuels and technology,Percent,Rural,26.4
2005,Proportion of population with primary reliance on clean fuels and technology,Percent,Urban,75.3
2006,Proportion of population with primary reliance on clean fuels and technology,Percent,All areas,47.7
2006,Proportion of population with primary reliance on clean fuels and technology,Percent,Rural,25.5
2006,Proportion of population with primary reliance on clean fuels and technology,Percent,Urban,74.1
2007,Proportion of population with primary reliance on clean fuels and technology,Percent,All areas,46.6
2007,Proportion of population with primary reliance on clean fuels and technology,Percent,Rural,23.9
2007,Proportion of population with primary reliance on clean fuels and technology,Percent,Urban,72.7
2008,Proportion of population with primary reliance on clean fuels and technology,Percent,All areas,46.3
2008,Proportion of population with primary reliance on clean fuels and technology,Percent,Rural,22.8
2008,Proportion of population with primary reliance on clean fuels and technology,Percent,Urban,71.3
2009,Proportion of population with primary reliance on clean fuels and technology,Percent,All areas,45.2
2009,Proportion of population with primary reliance on clean fuels and technology,Percent,Rural,21.7
2009,Proportion of population with primary reliance on clean fuels and technology,Percent,Urban,69.8
2010,Proportion of population with primary reliance on clean fuels and technology,Percent,All areas,44.9
2010,Proportion of population with primary reliance on clean fuels and technology,Percent,Rural,20.7
2010,Proportion of population with primary reliance on clean fuels and technology,Percent,Urban,68.4
2011,Proportion of population with primary reliance on clean fuels and technology,Percent,All areas,43.3
2011,Proportion of population with primary reliance on clean fuels and technology,Percent,Rural,19.8
2011,Proportion of population with primary reliance on clean fuels and technology,Percent,Urban,67.3
2012,Proportion of population with primary reliance on clean fuels and technology,Percent,All areas,43.0
2012,Proportion of population with primary reliance on clean fuels and technology,Percent,Rural,18.6
2012,Proportion of population with primary reliance on clean fuels and technology,Percent,Urban,66.0
2013,Proportion of population with primary reliance on clean fuels and technology,Percent,All areas,42.7
2013,Proportion of population with primary reliance on clean fuels and technology,Percent,Rural,18.0
2013,Proportion of population with primary reliance on clean fuels and technology,Percent,Urban,65.2
2014,Proportion of population with primary reliance on clean fuels and technology,Percent,All areas,42.1
2014,Proportion of population with primary reliance on clean fuels and technology,Percent,Rural,17.1
2014,Proportion of population with primary reliance on clean fuels and technology,Percent,Urban,64.4
2015,Proportion of population with primary reliance on clean fuels and technology,Percent,All areas,41.7
2015,Proportion of population with primary reliance on clean fuels and technology,Percent,Rural,16.2
2015,Proportion of population with primary reliance on clean fuels and technology,Percent,Urban,63.4
2016,Proportion of population with primary reliance on clean fuels and technology,Percent,All areas,41.6
2016,Proportion of population with primary reliance on clean fuels and technology,Percent,Rural,15.5
2016,Proportion of population with primary reliance on clean fuels and technology,Percent,Urban,62.6
2017,Proportion of population with primary reliance on clean fuels and technology,Percent,All areas,41.3
2017,Proportion of population with primary reliance on clean fuels and technology,Percent,Rural,14.7
2017,Proportion of population with primary reliance on clean fuels and technology,Percent,Urban,61.8
2018,Proportion of population with primary reliance on clean fuels and technology,Percent,All areas,40.8
2018,Proportion of population with primary reliance on clean fuels and technology,Percent,Rural,14.3
2018,Proportion of population with primary reliance on clean fuels and technology,Percent,Urban,61.1
2019,Proportion of population with primary reliance on clean fuels and technology,Percent,All areas,40.3
2019,Proportion of population with primary reliance on clean fuels and technology,Percent,Rural,13.5
2019,Proportion of population with primary reliance on clean fuels and technology,Percent,Urban,60.2
2020,Proportion of population with primary reliance on clean fuels and technology,Percent,All areas,40.2
2020,Proportion of population with primary reliance on clean fuels and technology,Percent,Rural,13.4
2020,Proportion of population with primary reliance on clean fuels and technology,Percent,Urban,59.6
2021,Proportion of population with primary reliance on clean fuels and technology,Percent,All areas,39.9
2021,Proportion of population with primary reliance on clean fuels and technology,Percent,Rural,12.2
2021,Proportion of population with primary reliance on clean fuels and technology,Percent,Urban,57.95
2022,Proportion of population with primary reliance on clean fuels and technology,Percent,All areas,39.3
2022,Proportion of population with primary reliance on clean fuels and technology,Percent,Rural,11.5
2022,Proportion of population with primary reliance on clean fuels and technology,Percent,Urban,57.4
2023,Proportion of population with primary reliance on clean fuels and technology,Percent,All areas,39.5
2023,Proportion of population with primary reliance on clean fuels and technology,Percent,Rural,10.95
2023,Proportion of population with primary reliance on clean fuels and technology,Percent,Urban,57.0
