Year,SERIES,UNIT_MEASURE,Type of product,Value
2000,"Average tariff applied by developed countries, preferential status, by type of product (%)",PT,Agriculture products,7.58327
2005,"Average tariff applied by developed countries, preferential status, by type of product (%)",PT,Agriculture products,3.75971
2010,"Average tariff applied by developed countries, preferential status, by type of product (%)",PT,Agriculture products,3.66338
2011,"Average tariff applied by developed countries, preferential status, by type of product (%)",PT,Agriculture products,3.6789
2012,"Average tariff applied by developed countries, preferential status, by type of product (%)",PT,Agriculture products,3.58165
2013,"Average tariff applied by developed countries, preferential status, by type of product (%)",PT,Agriculture products,3.59409
2014,"Average tariff applied by developed countries, preferential status, by type of product (%)",PT,Agriculture products,3.5962
2015,"Average tariff applied by developed countries, preferential status, by type of product (%)",PT,Agriculture products,3.57186
2016,"Average tariff applied by developed countries, preferential status, by type of product (%)",PT,Agriculture products,3.66464
2017,"Average tariff applied by developed countries, preferential status, by type of product (%)",PT,Agriculture products,3.4999
2018,"Average tariff applied by developed countries, preferential status, by type of product (%)",PT,Agriculture products,3.50998
2019,"Average tariff applied by developed countries, preferential status, by type of product (%)",PT,Agriculture products,3.78051
2020,"Average tariff applied by developed countries, preferential status, by type of product (%)",PT,Agriculture products,3.80186
2021,"Average tariff applied by developed countries, preferential status, by type of product (%)",PT,Agriculture products,3.7802
2000,"Average tariff applied by developed countries, preferential status, by type of product (%)",PT,No breakdown,2.58553
2005,"Average tariff applied by developed countries, preferential status, by type of product (%)",PT,No breakdown,1.71702
2010,"Average tariff applied by developed countries, preferential status, by type of product (%)",PT,No breakdown,1.40029
2011,"Average tariff applied by developed countries, preferential status, by type of product (%)",PT,No breakdown,1.43398
2012,"Average tariff applied by developed countries, preferential status, by type of product (%)",PT,No breakdown,1.59527
2013,"Average tariff applied by developed countries, preferential status, by type of product (%)",PT,No breakdown,1.44312
2014,"Average tariff applied by developed countries, preferential status, by type of product (%)",PT,No breakdown,1.60359
2015,"Average tariff applied by developed countries, preferential status, by type of product (%)",PT,No breakdown,1.42527
2016,"Average tariff applied by developed countries, preferential status, by type of product (%)",PT,No breakdown,1.46392
2017,"Average tariff applied by developed countries, preferential status, by type of product (%)",PT,No breakdown,1.61584
2018,"Average tariff applied by developed countries, preferential status, by type of product (%)",PT,No breakdown,1.47558
2019,"Average tariff applied by developed countries, preferential status, by type of product (%)",PT,No breakdown,1.44463
2020,"Average tariff applied by developed countries, preferential status, by type of product (%)",PT,No breakdown,1.44555
2021,"Average tariff applied by developed countries, preferential status, by type of product (%)",PT,No breakdown,1.44555
2000,"Average tariff applied by developed countries, preferential status, by type of product (%)",PT,Arms,1.80511
2005,"Average tariff applied by developed countries, preferential status, by type of product (%)",PT,Arms,0.31856
2010,"Average tariff applied by developed countries, preferential status, by type of product (%)",PT,Arms,0.31812
2011,"Average tariff applied by developed countries, preferential status, by type of product (%)",PT,Arms,0.31825
2012,"Average tariff applied by developed countries, preferential status, by type of product (%)",PT,Arms,0.316
2013,"Average tariff applied by developed countries, preferential status, by type of product (%)",PT,Arms,0.316
2014,"Average tariff applied by developed countries, preferential status, by type of product (%)",PT,Arms,0.316
2015,"Average tariff applied by developed countries, preferential status, by type of product (%)",PT,Arms,0.316
2016,"Average tariff applied by developed countries, preferential status, by type of product (%)",PT,Arms,0.7555
2017,"Average tariff applied by developed countries, preferential status, by type of product (%)",PT,Arms,0.7555
2018,"Average tariff applied by developed countries, preferential status, by type of product (%)",PT,Arms,0.7555
2019,"Average tariff applied by developed countries, preferential status, by type of product (%)",PT,Arms,0.7555
2020,"Average tariff applied by developed countries, preferential status, by type of product (%)",PT,Arms,0.7555
2021,"Average tariff applied by developed countries, preferential status, by type of product (%)",PT,Arms,0.7555
2000,"Average tariff applied by developed countries, preferential status, by type of product (%)",PT,Clothing,12.35432
2005,"Average tariff applied by developed countries, preferential status, by type of product (%)",PT,Clothing,8.19231
2010,"Average tariff applied by developed countries, preferential status, by type of product (%)",PT,Clothing,8.26443
2011,"Average tariff applied by developed countries, preferential status, by type of product (%)",PT,Clothing,8.26605
2012,"Average tariff applied by developed countries, preferential status, by type of product (%)",PT,Clothing,8.26036
2013,"Average tariff applied by developed countries, preferential status, by type of product (%)",PT,Clothing,8.27398
2014,"Average tariff applied by developed countries, preferential status, by type of product (%)",PT,Clothing,8.27606
2015,"Average tariff applied by developed countries, preferential status, by type of product (%)",PT,Clothing,8.10163
2016,"Average tariff applied by developed countries, preferential status, by type of product (%)",PT,Clothing,8.10583
2017,"Average tariff applied by developed countries, preferential status, by type of product (%)",PT,Clothing,7.95361
2018,"Average tariff applied by developed countries, preferential status, by type of product (%)",PT,Clothing,8.11439
2019,"Average tariff applied by developed countries, preferential status, by type of product (%)",PT,Clothing,8.11669
2020,"Average tariff applied by developed countries, preferential status, by type of product (%)",PT,Clothing,8.11662
2021,"Average tariff applied by developed countries, preferential status, by type of product (%)",PT,Clothing,8.11662
2000,"Average tariff applied by developed countries, preferential status, by type of product (%)",PT,Industrial products,1.91509
2005,"Average tariff applied by developed countries, preferential status, by type of product (%)",PT,Industrial products,1.20067
2010,"Average tariff applied by developed countries, preferential status, by type of product (%)",PT,Industrial products,0.8532
2011,"Average tariff applied by developed countries, preferential status, by type of product (%)",PT,Industrial products,0.88748
2012,"Average tariff applied by developed countries, preferential status, by type of product (%)",PT,Industrial products,1.05698
2013,"Average tariff applied by developed countries, preferential status, by type of product (%)",PT,Industrial products,0.9001
2014,"Average tariff applied by developed countries, preferential status, by type of product (%)",PT,Industrial products,1.06389
2015,"Average tariff applied by developed countries, preferential status, by type of product (%)",PT,Industrial products,0.89603
2016,"Average tariff applied by developed countries, preferential status, by type of product (%)",PT,Industrial products,0.92757
2017,"Average tariff applied by developed countries, preferential status, by type of product (%)",PT,Industrial products,1.05308
2018,"Average tariff applied by developed countries, preferential status, by type of product (%)",PT,Industrial products,0.90838
2019,"Average tariff applied by developed countries, preferential status, by type of product (%)",PT,Industrial products,0.89864
2020,"Average tariff applied by developed countries, preferential status, by type of product (%)",PT,Industrial products,0.89923
2021,"Average tariff applied by developed countries, preferential status, by type of product (%)",PT,Industrial products,0.8991
2000,"Average tariff applied by developed countries, preferential status, by type of product (%)",PT,Oil,0.24362
2005,"Average tariff applied by developed countries, preferential status, by type of product (%)",PT,Oil,0.1243
2010,"Average tariff applied by developed countries, preferential status, by type of product (%)",PT,Oil,0.0
2011,"Average tariff applied by developed countries, preferential status, by type of product (%)",PT,Oil,0.0
2012,"Average tariff applied by developed countries, preferential status, by type of product (%)",PT,Oil,0.0
2013,"Average tariff applied by developed countries, preferential status, by type of product (%)",PT,Oil,0.0
2014,"Average tariff applied by developed countries, preferential status, by type of product (%)",PT,Oil,0.0
2015,"Average tariff applied by developed countries, preferential status, by type of product (%)",PT,Oil,0.0
2016,"Average tariff applied by developed countries, preferential status, by type of product (%)",PT,Oil,0.0
2017,"Average tariff applied by developed countries, preferential status, by type of product (%)",PT,Oil,0.0
2018,"Average tariff applied by developed countries, preferential status, by type of product (%)",PT,Oil,0.0
2019,"Average tariff applied by developed countries, preferential status, by type of product (%)",PT,Oil,0.0
2020,"Average tariff applied by developed countries, preferential status, by type of product (%)",PT,Oil,0.0
