Year,SERIES,UNIT_MEASURE,Sex,Value
2010,Unsentenced detainees as a proportion of overall prison population,Percent,Both sexes or no breakdown by sex,17.9
2011,Unsentenced detainees as a proportion of overall prison population,Percent,Both sexes or no breakdown by sex,14.58
2012,Unsentenced detainees as a proportion of overall prison population,Percent,Both sexes or no breakdown by sex,12.09
2013,Unsentenced detainees as a proportion of overall prison population,Percent,Both sexes or no breakdown by sex,11.66
2014,Unsentenced detainees as a proportion of overall prison population,Percent,Both sexes or no breakdown by sex,12.14
2015,Unsentenced detainees as a proportion of overall prison population,Percent,Both sexes or no breakdown by sex,15.05
2016,Unsentenced detainees as a proportion of overall prison population,Percent,Both sexes or no breakdown by sex,15.36
2017,Unsentenced detainees as a proportion of overall prison population,Percent,Both sexes or no breakdown by sex,15.43
2018,Unsentenced detainees as a proportion of overall prison population,Percent,Both sexes or no breakdown by sex,28.08
2019,Unsentenced detainees as a proportion of overall prison population,Percent,Both sexes or no breakdown by sex,31.82
2020,Unsentenced detainees as a proportion of overall prison population,Percent,Both sexes or no breakdown by sex,27.05
2021,Unsentenced detainees as a proportion of overall prison population,Percent,Both sexes or no breakdown by sex,27.36
2019,Unsentenced detainees as a proportion of overall prison population,Percent,Female,50.46
2020,Unsentenced detainees as a proportion of overall prison population,Percent,Female,72.0
2021,Unsentenced detainees as a proportion of overall prison population,Percent,Female,32.61
2019,Unsentenced detainees as a proportion of overall prison population,Percent,Male,31.06
2020,Unsentenced detainees as a proportion of overall prison population,Percent,Male,39.23
2021,Unsentenced detainees as a proportion of overall prison population,Percent,Male,37.83
