Year,SERIES,UNIT_MEASURE,Sex,Age,Value
2014,"Detected victims of human trafficking for forced labour, servitude and slavery, by age and sex (number)",Number,Female,under 18 years old,
2015,"Detected victims of human trafficking for forced labour, servitude and slavery, by age and sex (number)",Number,Female,under 18 years old,
2014,"Detected victims of human trafficking for forced labour, servitude and slavery, by age and sex (number)",Number,Male,under 18 years old,
2015,"Detected victims of human trafficking for forced labour, servitude and slavery, by age and sex (number)",Number,Male,under 18 years old,
2014,"Detected victims of human trafficking for forced labour, servitude and slavery, by age and sex (number)",Number,Female,18 years old and over,
2015,"Detected victims of human trafficking for forced labour, servitude and slavery, by age and sex (number)",Number,Female,18 years old and over,
2014,"Detected victims of human trafficking for forced labour, servitude and slavery, by age and sex (number)",Number,Male,18 years old and over,
2015,"Detected victims of human trafficking for forced labour, servitude and slavery, by age and sex (number)",Number,Male,18 years old and over,
2010,"Detected victims of human trafficking for forced labour, servitude and slavery, by age and sex (number)",Number,Female,All age ranges or no breaks by age,1.0
2011,"Detected victims of human trafficking for forced labour, servitude and slavery, by age and sex (number)",Number,Female,All age ranges or no breaks by age,
2012,"Detected victims of human trafficking for forced labour, servitude and slavery, by age and sex (number)",Number,Female,All age ranges or no breaks by age,
2014,"Detected victims of human trafficking for forced labour, servitude and slavery, by age and sex (number)",Number,Female,All age ranges or no breaks by age,
2015,"Detected victims of human trafficking for forced labour, servitude and slavery, by age and sex (number)",Number,Female,All age ranges or no breaks by age,
2010,"Detected victims of human trafficking for forced labour, servitude and slavery, by age and sex (number)",Number,Male,All age ranges or no breaks by age,
2011,"Detected victims of human trafficking for forced labour, servitude and slavery, by age and sex (number)",Number,Male,All age ranges or no breaks by age,
2012,"Detected victims of human trafficking for forced labour, servitude and slavery, by age and sex (number)",Number,Male,All age ranges or no breaks by age,
2014,"Detected victims of human trafficking for forced labour, servitude and slavery, by age and sex (number)",Number,Male,All age ranges or no breaks by age,
2015,"Detected victims of human trafficking for forced labour, servitude and slavery, by age and sex (number)",Number,Male,All age ranges or no breaks by age,
2010,"Detected victims of human trafficking for forced labour, servitude and slavery, by age and sex (number)",Number,Both sexes or no breakdown by sex,All age ranges or no breaks by age,17.0
2011,"Detected victims of human trafficking for forced labour, servitude and slavery, by age and sex (number)",Number,Both sexes or no breakdown by sex,All age ranges or no breaks by age,10.0
2012,"Detected victims of human trafficking for forced labour, servitude and slavery, by age and sex (number)",Number,Both sexes or no breakdown by sex,All age ranges or no breaks by age,13.0
2016,"Detected victims of human trafficking for forced labour, servitude and slavery, by age and sex (number)",Number,Both sexes or no breakdown by sex,All age ranges or no breaks by age,13.0
2017,"Detected victims of human trafficking for forced labour, servitude and slavery, by age and sex (number)",Number,Both sexes or no breakdown by sex,All age ranges or no breaks by age,7.0
2022,"Detected victims of human trafficking for forced labour, servitude and slavery, by age and sex (number)",Number,Both sexes or no breakdown by sex,All age ranges or no breaks by age,5.0
2005,"Detected victims of human trafficking for other purposes, by age and sex (number)",Number,Female,under 18 years old,
2006,"Detected victims of human trafficking for other purposes, by age and sex (number)",Number,Female,under 18 years old,
