Year,SERIES,UNIT_MEASURE,Age,Sex,Value
2000,Infant deaths (number),Number,under 1 year old,Both sexes or no breakdown by sex,360.0
2001,Infant deaths (number),Number,under 1 year old,Both sexes or no breakdown by sex,327.0
2002,Infant deaths (number),Number,under 1 year old,Both sexes or no breakdown by sex,307.0
2003,Infant deaths (number),Number,under 1 year old,Both sexes or no breakdown by sex,292.0
2004,Infant deaths (number),Number,under 1 year old,Both sexes or no breakdown by sex,279.0
2005,Infant deaths (number),Number,under 1 year old,Both sexes or no breakdown by sex,263.0
2006,Infant deaths (number),Number,under 1 year old,Both sexes or no breakdown by sex,248.0
2007,Infant deaths (number),Number,under 1 year old,Both sexes or no breakdown by sex,238.0
2008,Infant deaths (number),Number,under 1 year old,Both sexes or no breakdown by sex,231.0
2009,Infant deaths (number),Number,under 1 year old,Both sexes or no breakdown by sex,227.0
2010,Infant deaths (number),Number,under 1 year old,Both sexes or no breakdown by sex,220.0
2011,Infant deaths (number),Number,under 1 year old,Both sexes or no breakdown by sex,204.0
2012,Infant deaths (number),Number,under 1 year old,Both sexes or no breakdown by sex,193.0
2013,Infant deaths (number),Number,under 1 year old,Both sexes or no breakdown by sex,188.0
2014,Infant deaths (number),Number,under 1 year old,Both sexes or no breakdown by sex,180.0
2015,Infant deaths (number),Number,under 1 year old,Both sexes or no breakdown by sex,177.0
2016,Infant deaths (number),Number,under 1 year old,Both sexes or no breakdown by sex,176.0
2017,Infant deaths (number),Number,under 1 year old,Both sexes or no breakdown by sex,175.0
2018,Infant deaths (number),Number,under 1 year old,Both sexes or no breakdown by sex,176.0
2019,Infant deaths (number),Number,under 1 year old,Both sexes or no breakdown by sex,172.0
2020,Infant deaths (number),Number,under 1 year old,Both sexes or no breakdown by sex,163.0
2021,Infant deaths (number),Number,under 1 year old,Both sexes or no breakdown by sex,151.0
2022,Infant deaths (number),Number,under 1 year old,Both sexes or no breakdown by sex,140.0
2023,Infant deaths (number),Number,under 1 year old,Both sexes or no breakdown by sex,132.0
2024,Infant deaths (number),Number,under 1 year old,Both sexes or no breakdown by sex,134.0
2000,Infant deaths (number),Number,under 1 year old,Female,155.0
2001,Infant deaths (number),Number,under 1 year old,Female,141.0
2002,Infant deaths (number),Number,under 1 year old,Female,133.0
2003,Infant deaths (number),Number,under 1 year old,Female,126.0
2004,Infant deaths (number),Number,under 1 year old,Female,120.0
2005,Infant deaths (number),Number,under 1 year old,Female,114.0
2006,Infant deaths (number),Number,under 1 year old,Female,107.0
2007,Infant deaths (number),Number,under 1 year old,Female,103.0
2008,Infant deaths (number),Number,under 1 year old,Female,101.0
2009,Infant deaths (number),Number,under 1 year old,Female,99.0
2010,Infant deaths (number),Number,under 1 year old,Female,96.0
2011,Infant deaths (number),Number,under 1 year old,Female,89.0
2012,Infant deaths (number),Number,under 1 year old,Female,84.0
2013,Infant deaths (number),Number,under 1 year old,Female,82.0
2014,Infant deaths (number),Number,under 1 year old,Female,79.0
2015,Infant deaths (number),Number,under 1 year old,Female,78.0
2016,Infant deaths (number),Number,under 1 year old,Female,78.0
2017,Infant deaths (number),Number,under 1 year old,Female,77.0
2018,Infant deaths (number),Number,under 1 year old,Female,78.0
2019,Infant deaths (number),Number,under 1 year old,Female,76.0
2020,Infant deaths (number),Number,under 1 year old,Female,72.0
2021,Infant deaths (number),Number,under 1 year old,Female,67.0
