Year,SERIES,UNIT_MEASURE,Value
2019,Countries with national statistical plans that are fully funded (1 = YES; 0 = NO),Number,1
2020,Countries with national statistical plans that are fully funded (1 = YES; 0 = NO),Number,1
2021,Countries with national statistical plans that are fully funded (1 = YES; 0 = NO),Number,1
2022,Countries with national statistical plans that are fully funded (1 = YES; 0 = NO),Number,1
2019,Countries with national statistical plans that are under implementation (1 = YES; 0 = NO),Number,1
2020,Countries with national statistical plans that are under implementation (1 = YES; 0 = NO),Number,1
2021,Countries with national statistical plans that are under implementation (1 = YES; 0 = NO),Number,1
2022,Countries with national statistical plans that are under implementation (1 = YES; 0 = NO),Number,1
2019,Countries with national statistical plans with funding from Government (1 = YES; 0 = NO),Number,1
2020,Countries with national statistical plans with funding from Government (1 = YES; 0 = NO),Number,1
2021,Countries with national statistical plans with funding from Government (1 = YES; 0 = NO),Number,1
2022,Countries with national statistical plans with funding from Government (1 = YES; 0 = NO),Number,1
2019,Countries with national statistical plans with funding from donors (1 = YES; 0 = NO),Number,1
2020,Countries with national statistical plans with funding from donors (1 = YES; 0 = NO),Number,1
2021,Countries with national statistical plans with funding from donors (1 = YES; 0 = NO),Number,1
2022,Countries with national statistical plans with funding from donors (1 = YES; 0 = NO),Number,1
