Year,SERIES,UNIT_MEASURE,Sex,Value
2000,"Death rate due to road traffic injuries, by sex (per 100,000 population)","Per 100,000 population",Both sexes or no breakdown by sex,19.0
2005,"Death rate due to road traffic injuries, by sex (per 100,000 population)","Per 100,000 population",Both sexes or no breakdown by sex,17.8
2010,"Death rate due to road traffic injuries, by sex (per 100,000 population)","Per 100,000 population",Both sexes or no breakdown by sex,16.9
2015,"Death rate due to road traffic injuries, by sex (per 100,000 population)","Per 100,000 population",Both sexes or no breakdown by sex,15.8
2019,"Death rate due to road traffic injuries, by sex (per 100,000 population)","Per 100,000 population",Both sexes or no breakdown by sex,13.5
2000,"Death rate due to road traffic injuries, by sex (per 100,000 population)","Per 100,000 population",Female,10.2
2005,"Death rate due to road traffic injuries, by sex (per 100,000 population)","Per 100,000 population",Female,8.0
2010,"Death rate due to road traffic injuries, by sex (per 100,000 population)","Per 100,000 population",Female,7.4
2015,"Death rate due to road traffic injuries, by sex (per 100,000 population)","Per 100,000 population",Female,6.6
2019,"Death rate due to road traffic injuries, by sex (per 100,000 population)","Per 100,000 population",Female,5.9
2000,"Death rate due to road traffic injuries, by sex (per 100,000 population)","Per 100,000 population",Male,28.2
2005,"Death rate due to road traffic injuries, by sex (per 100,000 population)","Per 100,000 population",Male,27.9
2010,"Death rate due to road traffic injuries, by sex (per 100,000 population)","Per 100,000 population",Male,26.7
2015,"Death rate due to road traffic injuries, by sex (per 100,000 population)","Per 100,000 population",Male,25.4
2019,"Death rate due to road traffic injuries, by sex (per 100,000 population)","Per 100,000 population",Male,21.4
