Year,SERIES,UNIT_MEASURE,Type of product,Value
2005,"Worldwide weighted tariff-average, most-favoured-nation status, by type of product (%)",Percent,Agricultural products,15.79221
2010,"Worldwide weighted tariff-average, most-favoured-nation status, by type of product (%)",Percent,Agricultural products,16.30277
2015,"Worldwide weighted tariff-average, most-favoured-nation status, by type of product (%)",Percent,Agricultural products,15.82199
2016,"Worldwide weighted tariff-average, most-favoured-nation status, by type of product (%)",Percent,Agricultural products,15.3037
2017,"Worldwide weighted tariff-average, most-favoured-nation status, by type of product (%)",Percent,Agricultural products,15.00477
2018,"Worldwide weighted tariff-average, most-favoured-nation status, by type of product (%)",Percent,Agricultural products,15.10976
2019,"Worldwide weighted tariff-average, most-favoured-nation status, by type of product (%)",Percent,Agricultural products,16.01302
2020,"Worldwide weighted tariff-average, most-favoured-nation status, by type of product (%)",Percent,Agricultural products,15.70981
2021,"Worldwide weighted tariff-average, most-favoured-nation status, by type of product (%)",Percent,Agricultural products,16.51239
2022,"Worldwide weighted tariff-average, most-favoured-nation status, by type of product (%)",Percent,Agricultural products,15.03258
2023,"Worldwide weighted tariff-average, most-favoured-nation status, by type of product (%)",Percent,Agricultural products,16.38086
2024,"Worldwide weighted tariff-average, most-favoured-nation status, by type of product (%)",Percent,Agricultural products,16.22867
2005,"Worldwide weighted tariff-average, most-favoured-nation status, by type of product (%)",Percent,No breakdown,7.91315
2010,"Worldwide weighted tariff-average, most-favoured-nation status, by type of product (%)",Percent,No breakdown,7.54494
2015,"Worldwide weighted tariff-average, most-favoured-nation status, by type of product (%)",Percent,No breakdown,7.88609
2016,"Worldwide weighted tariff-average, most-favoured-nation status, by type of product (%)",Percent,No breakdown,7.67387
2017,"Worldwide weighted tariff-average, most-favoured-nation status, by type of product (%)",Percent,No breakdown,7.75035
2018,"Worldwide weighted tariff-average, most-favoured-nation status, by type of product (%)",Percent,No breakdown,8.00909
2019,"Worldwide weighted tariff-average, most-favoured-nation status, by type of product (%)",Percent,No breakdown,7.73552
2020,"Worldwide weighted tariff-average, most-favoured-nation status, by type of product (%)",Percent,No breakdown,8.41333
2021,"Worldwide weighted tariff-average, most-favoured-nation status, by type of product (%)",Percent,No breakdown,7.97562
2022,"Worldwide weighted tariff-average, most-favoured-nation status, by type of product (%)",Percent,No breakdown,7.36344
2023,"Worldwide weighted tariff-average, most-favoured-nation status, by type of product (%)",Percent,No breakdown,8.2713
