Year,SERIES,UNIT_MEASURE,Education level,Income or wealth quantile,Sex,Degree of urbanisation,Value
2010,"Completion rate, by sex, location, wealth quintile and education level (%)",Percent,Lower secondary education,Total (national average) or no breakdown,Both sexes or no breakdown by sex,All areas,97.83
2011,"Completion rate, by sex, location, wealth quintile and education level (%)",Percent,Lower secondary education,Total (national average) or no breakdown,Both sexes or no breakdown by sex,All areas,97.93
2012,"Completion rate, by sex, location, wealth quintile and education level (%)",Percent,Lower secondary education,Total (national average) or no breakdown,Both sexes or no breakdown by sex,All areas,96.84
2013,"Completion rate, by sex, location, wealth quintile and education level (%)",Percent,Lower secondary education,Total (national average) or no breakdown,Both sexes or no breakdown by sex,All areas,98.07
2014,"Completion rate, by sex, location, wealth quintile and education level (%)",Percent,Lower secondary education,Total (national average) or no breakdown,Both sexes or no breakdown by sex,All areas,98.14
2015,"Completion rate, by sex, location, wealth quintile and education level (%)",Percent,Lower secondary education,Total (national average) or no breakdown,Both sexes or no breakdown by sex,All areas,98.2
2016,"Completion rate, by sex, location, wealth quintile and education level (%)",Percent,Lower secondary education,Total (national average) or no breakdown,Both sexes or no breakdown by sex,All areas,98.26
2010,"Completion rate, by sex, location, wealth quintile and education level (%)",Percent,Lower secondary education,Total (national average) or no breakdown,Female,All areas,97.82
2011,"Completion rate, by sex, location, wealth quintile and education level (%)",Percent,Lower secondary education,Total (national average) or no breakdown,Female,All areas,97.95
2012,"Completion rate, by sex, location, wealth quintile and education level (%)",Percent,Lower secondary education,Total (national average) or no breakdown,Female,All areas,96.92
2013,"Completion rate, by sex, location, wealth quintile and education level (%)",Percent,Lower secondary education,Total (national average) or no breakdown,Female,All areas,98.15
2014,"Completion rate, by sex, location, wealth quintile and education level (%)",Percent,Lower secondary education,Total (national average) or no breakdown,Female,All areas,98.26
2015,"Completion rate, by sex, location, wealth quintile and education level (%)",Percent,Lower secondary education,Total (national average) or no breakdown,Female,All areas,98.36
2016,"Completion rate, by sex, location, wealth quintile and education level (%)",Percent,Lower secondary education,Total (national average) or no breakdown,Female,All areas,98.45
2010,"Completion rate, by sex, location, wealth quintile and education level (%)",Percent,Lower secondary education,Total (national average) or no breakdown,Male,All areas,97.84
2011,"Completion rate, by sex, location, wealth quintile and education level (%)",Percent,Lower secondary education,Total (national average) or no breakdown,Male,All areas,97.9
2012,"Completion rate, by sex, location, wealth quintile and education level (%)",Percent,Lower secondary education,Total (national average) or no breakdown,Male,All areas,96.78
2013,"Completion rate, by sex, location, wealth quintile and education level (%)",Percent,Lower secondary education,Total (national average) or no breakdown,Male,All areas,97.99
2014,"Completion rate, by sex, location, wealth quintile and education level (%)",Percent,Lower secondary education,Total (national average) or no breakdown,Male,All areas,98.02
2015,"Completion rate, by sex, location, wealth quintile and education level (%)",Percent,Lower secondary education,Total (national average) or no breakdown,Male,All areas,98.05
2016,"Completion rate, by sex, location, wealth quintile and education level (%)",Percent,Lower secondary education,Total (national average) or no breakdown,Male,All areas,98.08
2012,"Completion rate, by sex, location, wealth quintile and education level (%)",Percent,Lower secondary education,Total (national average) or no breakdown,Both sexes or no breakdown by sex,Rural,96.36
2012,"Completion rate, by sex, location, wealth quintile and education level (%)",Percent,Lower secondary education,Total (national average) or no breakdown,Female,Rural,96.55
2012,"Completion rate, by sex, location, wealth quintile and education level (%)",Percent,Lower secondary education,Total (national average) or no breakdown,Male,Rural,96.2
2012,"Completion rate, by sex, location, wealth quintile and education level (%)",Percent,Lower secondary education,Total (national average) or no breakdown,Both sexes or no breakdown by sex,Urban,97.89
2012,"Completion rate, by sex, location, wealth quintile and education level (%)",Percent,Lower secondary education,Total (national average) or no breakdown,Female,Urban,97.72
2012,"Completion rate, by sex, location, wealth quintile and education level (%)",Percent,Lower secondary education,Total (national average) or no breakdown,Male,Urban,98.04
2012,"Completion rate, by sex, location, wealth quintile and education level (%)",Percent,Lower secondary education,Quintile 1 (poorest),Both sexes or no breakdown by sex,All areas,90.82
2012,"Completion rate, by sex, location, wealth quintile and education level (%)",Percent,Lower secondary education,Quintile 1 (poorest),Female,All areas,86.99
2012,"Completion rate, by sex, location, wealth quintile and education level (%)",Percent,Lower secondary education,Quintile 1 (poorest),Male,All areas,95.47
2012,"Completion rate, by sex, location, wealth quintile and education level (%)",Percent,Lower secondary education,Quintile 1 (poorest),Both sexes or no breakdown by sex,Rural,92.15
2012,"Completion rate, by sex, location, wealth quintile and education level (%)",Percent,Lower secondary education,Quintile 1 (poorest),Female,Rural,90.75
2012,"Completion rate, by sex, location, wealth quintile and education level (%)",Percent,Lower secondary education,Quintile 1 (poorest),Male,Rural,94.24
2012,"Completion rate, by sex, location, wealth quintile and education level (%)",Percent,Lower secondary education,Quintile 2,Both sexes or no breakdown by sex,All areas,93.88
2012,"Completion rate, by sex, location, wealth quintile and education level (%)",Percent,Lower secondary education,Quintile 2,Female,All areas,100.0
2012,"Completion rate, by sex, location, wealth quintile and education level (%)",Percent,Lower secondary education,Quintile 2,Male,All areas,89.37
2012,"Completion rate, by sex, location, wealth quintile and education level (%)",Percent,Lower secondary education,Quintile 2,Both sexes or no breakdown by sex,Rural,94.71
2012,"Completion rate, by sex, location, wealth quintile and education level (%)",Percent,Lower secondary education,Quintile 2,Female,Rural,100.0
2012,"Completion rate, by sex, location, wealth quintile and education level (%)",Percent,Lower secondary education,Quintile 2,Male,Rural,91.0
2012,"Completion rate, by sex, location, wealth quintile and education level (%)",Percent,Lower secondary education,Quintile 3,Both sexes or no breakdown by sex,All areas,98.8
2012,"Completion rate, by sex, location, wealth quintile and education level (%)",Percent,Lower secondary education,Quintile 3,Female,All areas,100.0
2012,"Completion rate, by sex, location, wealth quintile and education level (%)",Percent,Lower secondary education,Quintile 3,Male,All areas,97.73
2012,"Completion rate, by sex, location, wealth quintile and education level (%)",Percent,Lower secondary education,Quintile 3,Both sexes or no breakdown by sex,Rural,98.43
2012,"Completion rate, by sex, location, wealth quintile and education level (%)",Percent,Lower secondary education,Quintile 3,Female,Rural,100.0
2012,"Completion rate, by sex, location, wealth quintile and education level (%)",Percent,Lower secondary education,Quintile 3,Male,Rural,97.22
2012,"Completion rate, by sex, location, wealth quintile and education level (%)",Percent,Lower secondary education,Quintile 3,Both sexes or no breakdown by sex,Urban,100.0
2012,"Completion rate, by sex, location, wealth quintile and education level (%)",Percent,Lower secondary education,Quintile 4,Both sexes or no breakdown by sex,All areas,98.42
2012,"Completion rate, by sex, location, wealth quintile and education level (%)",Percent,Lower secondary education,Quintile 4,Female,All areas,96.83
2012,"Completion rate, by sex, location, wealth quintile and education level (%)",Percent,Lower secondary education,Quintile 4,Male,All areas,99.86
2012,"Completion rate, by sex, location, wealth quintile and education level (%)",Percent,Lower secondary education,Quintile 4,Both sexes or no breakdown by sex,Rural,97.44
2012,"Completion rate, by sex, location, wealth quintile and education level (%)",Percent,Lower secondary education,Quintile 4,Female,Rural,94.89
2012,"Completion rate, by sex, location, wealth quintile and education level (%)",Percent,Lower secondary education,Quintile 4,Male,Rural,100.0
2012,"Completion rate, by sex, location, wealth quintile and education level (%)",Percent,Lower secondary education,Quintile 4,Both sexes or no breakdown by sex,Urban,99.82
2012,"Completion rate, by sex, location, wealth quintile and education level (%)",Percent,Lower secondary education,Quintile 4,Male,Urban,99.68
2012,"Completion rate, by sex, location, wealth quintile and education level (%)",Percent,Lower secondary education,Quintile 5 (richest),Both sexes or no breakdown by sex,All areas,100.0
2012,"Completion rate, by sex, location, wealth quintile and education level (%)",Percent,Lower secondary education,Quintile 5 (richest),Female,All areas,100.0
2012,"Completion rate, by sex, location, wealth quintile and education level (%)",Percent,Lower secondary education,Quintile 5 (richest),Male,All areas,100.0
2012,"Completion rate, by sex, location, wealth quintile and education level (%)",Percent,Lower secondary education,Quintile 5 (richest),Both sexes or no breakdown by sex,Rural,100.0
2012,"Completion rate, by sex, location, wealth quintile and education level (%)",Percent,Lower secondary education,Quintile 5 (richest),Female,Rural,100.0
2012,"Completion rate, by sex, location, wealth quintile and education level (%)",Percent,Lower secondary education,Quintile 5 (richest),Male,Rural,100.0
2012,"Completion rate, by sex, location, wealth quintile and education level (%)",Percent,Lower secondary education,Quintile 5 (richest),Both sexes or no breakdown by sex,Urban,100.0
2012,"Completion rate, by sex, location, wealth quintile and education level (%)",Percent,Lower secondary education,Quintile 5 (richest),Male,Urban,100.0
2010,"Completion rate, by sex, location, wealth quintile and education level (%)",Percent,Primary education,Total (national average) or no breakdown,Both sexes or no breakdown by sex,All areas,99.48
2011,"Completion rate, by sex, location, wealth quintile and education level (%)",Percent,Primary education,Total (national average) or no breakdown,Both sexes or no breakdown by sex,All areas,99.51
2012,"Completion rate, by sex, location, wealth quintile and education level (%)",Percent,Primary education,Total (national average) or no breakdown,Both sexes or no breakdown by sex,All areas,99.74
2013,"Completion rate, by sex, location, wealth quintile and education level (%)",Percent,Primary education,Total (national average) or no breakdown,Both sexes or no breakdown by sex,All areas,99.56
2014,"Completion rate, by sex, location, wealth quintile and education level (%)",Percent,Primary education,Total (national average) or no breakdown,Both sexes or no breakdown by sex,All areas,99.59
2015,"Completion rate, by sex, location, wealth quintile and education level (%)",Percent,Primary education,Total (national average) or no breakdown,Both sexes or no breakdown by sex,All areas,99.61
2016,"Completion rate, by sex, location, wealth quintile and education level (%)",Percent,Primary education,Total (national average) or no breakdown,Both sexes or no breakdown by sex,All areas,99.63
2010,"Completion rate, by sex, location, wealth quintile and education level (%)",Percent,Primary education,Total (national average) or no breakdown,Female,All areas,99.61
2011,"Completion rate, by sex, location, wealth quintile and education level (%)",Percent,Primary education,Total (national average) or no breakdown,Female,All areas,99.65
2012,"Completion rate, by sex, location, wealth quintile and education level (%)",Percent,Primary education,Total (national average) or no breakdown,Female,All areas,99.89
2013,"Completion rate, by sex, location, wealth quintile and education level (%)",Percent,Primary education,Total (national average) or no breakdown,Female,All areas,99.72
2014,"Completion rate, by sex, location, wealth quintile and education level (%)",Percent,Primary education,Total (national average) or no breakdown,Female,All areas,99.76
2015,"Completion rate, by sex, location, wealth quintile and education level (%)",Percent,Primary education,Total (national average) or no breakdown,Female,All areas,99.79
2016,"Completion rate, by sex, location, wealth quintile and education level (%)",Percent,Primary education,Total (national average) or no breakdown,Female,All areas,99.8
2010,"Completion rate, by sex, location, wealth quintile and education level (%)",Percent,Primary education,Total (national average) or no breakdown,Male,All areas,99.35
2011,"Completion rate, by sex, location, wealth quintile and education level (%)",Percent,Primary education,Total (national average) or no breakdown,Male,All areas,99.37
2012,"Completion rate, by sex, location, wealth quintile and education level (%)",Percent,Primary education,Total (national average) or no breakdown,Male,All areas,99.59
2013,"Completion rate, by sex, location, wealth quintile and education level (%)",Percent,Primary education,Total (national average) or no breakdown,Male,All areas,99.4
2014,"Completion rate, by sex, location, wealth quintile and education level (%)",Percent,Primary education,Total (national average) or no breakdown,Male,All areas,99.43
2015,"Completion rate, by sex, location, wealth quintile and education level (%)",Percent,Primary education,Total (national average) or no breakdown,Male,All areas,99.44
2016,"Completion rate, by sex, location, wealth quintile and education level (%)",Percent,Primary education,Total (national average) or no breakdown,Male,All areas,99.46
2012,"Completion rate, by sex, location, wealth quintile and education level (%)",Percent,Primary education,Quintile 1 (poorest),Both sexes or no breakdown by sex,All areas,99.67
2012,"Completion rate, by sex, location, wealth quintile and education level (%)",Percent,Primary education,Quintile 1 (poorest),Female,All areas,99.41
2012,"Completion rate, by sex, location, wealth quintile and education level (%)",Percent,Primary education,Quintile 1 (poorest),Male,All areas,100.0
2012,"Completion rate, by sex, location, wealth quintile and education level (%)",Percent,Primary education,Quintile 1 (poorest),Both sexes or no breakdown by sex,Rural,99.81
2012,"Completion rate, by sex, location, wealth quintile and education level (%)",Percent,Primary education,Quintile 1 (poorest),Female,Rural,99.66
2012,"Completion rate, by sex, location, wealth quintile and education level (%)",Percent,Primary education,Quintile 1 (poorest),Male,Rural,100.0
2012,"Completion rate, by sex, location, wealth quintile and education level (%)",Percent,Primary education,Quintile 1 (poorest),Both sexes or no breakdown by sex,Urban,
2012,"Completion rate, by sex, location, wealth quintile and education level (%)",Percent,Primary education,Quintile 1 (poorest),Female,Urban,
2012,"Completion rate, by sex, location, wealth quintile and education level (%)",Percent,Primary education,Quintile 1 (poorest),Male,Urban,
2012,"Completion rate, by sex, location, wealth quintile and education level (%)",Percent,Primary education,Quintile 2,Both sexes or no breakdown by sex,All areas,100.0
2012,"Completion rate, by sex, location, wealth quintile and education level (%)",Percent,Primary education,Quintile 2,Female,All areas,100.0
2012,"Completion rate, by sex, location, wealth quintile and education level (%)",Percent,Primary education,Quintile 2,Male,All areas,100.0
2012,"Completion rate, by sex, location, wealth quintile and education level (%)",Percent,Primary education,Quintile 2,Both sexes or no breakdown by sex,Rural,100.0
2012,"Completion rate, by sex, location, wealth quintile and education level (%)",Percent,Primary education,Quintile 2,Female,Rural,100.0
2012,"Completion rate, by sex, location, wealth quintile and education level (%)",Percent,Primary education,Quintile 2,Male,Rural,100.0
2012,"Completion rate, by sex, location, wealth quintile and education level (%)",Percent,Primary education,Quintile 2,Both sexes or no breakdown by sex,Urban,
2012,"Completion rate, by sex, location, wealth quintile and education level (%)",Percent,Primary education,Quintile 2,Female,Urban,
2012,"Completion rate, by sex, location, wealth quintile and education level (%)",Percent,Primary education,Quintile 2,Male,Urban,
2012,"Completion rate, by sex, location, wealth quintile and education level (%)",Percent,Primary education,Quintile 3,Both sexes or no breakdown by sex,All areas,98.93
2012,"Completion rate, by sex, location, wealth quintile and education level (%)",Percent,Primary education,Quintile 3,Female,All areas,100.0
2012,"Completion rate, by sex, location, wealth quintile and education level (%)",Percent,Primary education,Quintile 3,Male,All areas,98.07
2012,"Completion rate, by sex, location, wealth quintile and education level (%)",Percent,Primary education,Quintile 3,Both sexes or no breakdown by sex,Rural,98.72
2012,"Completion rate, by sex, location, wealth quintile and education level (%)",Percent,Primary education,Quintile 3,Female,Rural,100.0
2012,"Completion rate, by sex, location, wealth quintile and education level (%)",Percent,Primary education,Quintile 3,Male,Rural,97.8
2012,"Completion rate, by sex, location, wealth quintile and education level (%)",Percent,Primary education,Quintile 3,Both sexes or no breakdown by sex,Urban,
2012,"Completion rate, by sex, location, wealth quintile and education level (%)",Percent,Primary education,Quintile 3,Female,Urban,
2012,"Completion rate, by sex, location, wealth quintile and education level (%)",Percent,Primary education,Quintile 3,Male,Urban,
2012,"Completion rate, by sex, location, wealth quintile and education level (%)",Percent,Primary education,Quintile 4,Both sexes or no breakdown by sex,All areas,100.0
2012,"Completion rate, by sex, location, wealth quintile and education level (%)",Percent,Primary education,Quintile 4,Female,All areas,100.0
2012,"Completion rate, by sex, location, wealth quintile and education level (%)",Percent,Primary education,Quintile 4,Male,All areas,100.0
2012,"Completion rate, by sex, location, wealth quintile and education level (%)",Percent,Primary education,Quintile 4,Both sexes or no breakdown by sex,Rural,100.0
2012,"Completion rate, by sex, location, wealth quintile and education level (%)",Percent,Primary education,Quintile 4,Female,Rural,100.0
2012,"Completion rate, by sex, location, wealth quintile and education level (%)",Percent,Primary education,Quintile 4,Male,Rural,100.0
2012,"Completion rate, by sex, location, wealth quintile and education level (%)",Percent,Primary education,Quintile 4,Both sexes or no breakdown by sex,Urban,100.0
2012,"Completion rate, by sex, location, wealth quintile and education level (%)",Percent,Primary education,Quintile 4,Female,Urban,100.0
2012,"Completion rate, by sex, location, wealth quintile and education level (%)",Percent,Primary education,Quintile 4,Male,Urban,100.0
2012,"Completion rate, by sex, location, wealth quintile and education level (%)",Percent,Primary education,Quintile 5 (richest),Both sexes or no breakdown by sex,All areas,100.0
2012,"Completion rate, by sex, location, wealth quintile and education level (%)",Percent,Primary education,Quintile 5 (richest),Female,All areas,100.0
2012,"Completion rate, by sex, location, wealth quintile and education level (%)",Percent,Primary education,Quintile 5 (richest),Male,All areas,100.0
2012,"Completion rate, by sex, location, wealth quintile and education level (%)",Percent,Primary education,Quintile 5 (richest),Both sexes or no breakdown by sex,Rural,100.0
2012,"Completion rate, by sex, location, wealth quintile and education level (%)",Percent,Primary education,Quintile 5 (richest),Female,Rural,100.0
2012,"Completion rate, by sex, location, wealth quintile and education level (%)",Percent,Primary education,Quintile 5 (richest),Male,Rural,100.0
2012,"Completion rate, by sex, location, wealth quintile and education level (%)",Percent,Primary education,Quintile 5 (richest),Both sexes or no breakdown by sex,Urban,100.0
2012,"Completion rate, by sex, location, wealth quintile and education level (%)",Percent,Primary education,Quintile 5 (richest),Female,Urban,100.0
2012,"Completion rate, by sex, location, wealth quintile and education level (%)",Percent,Primary education,Quintile 5 (richest),Male,Urban,10.0
2012,"Completion rate, by sex, location, wealth quintile and education level (%)",Percent,Upper secondary education,Total (national average) or no breakdown,Both sexes or no breakdown by sex,All areas,93.06
2012,"Completion rate, by sex, location, wealth quintile and education level (%)",Percent,Upper secondary education,Total (national average) or no breakdown,Female,All areas,93.49
2012,"Completion rate, by sex, location, wealth quintile and education level (%)",Percent,Upper secondary education,Total (national average) or no breakdown,Male,All areas,92.7
2012,"Completion rate, by sex, location, wealth quintile and education level (%)",Percent,Upper secondary education,Total (national average) or no breakdown,Both sexes or no breakdown by sex,Rural,90.9
2012,"Completion rate, by sex, location, wealth quintile and education level (%)",Percent,Upper secondary education,Total (national average) or no breakdown,Female,Rural,91.4
2012,"Completion rate, by sex, location, wealth quintile and education level (%)",Percent,Upper secondary education,Total (national average) or no breakdown,Male,Rural,90.47
