Year,SERIES,UNIT_MEASURE,Economic activity,Value
2010,Proportion of medium and high - tech manufacturing value added in total value added (%),Percent,Manufacturing,13.7
2011,Proportion of medium and high - tech manufacturing value added in total value added (%),Percent,Manufacturing,15.58
2012,Proportion of medium and high - tech manufacturing value added in total value added (%),Percent,Manufacturing,17.36
2013,Proportion of medium and high - tech manufacturing value added in total value added (%),Percent,Manufacturing,16.42
2014,Proportion of medium and high - tech manufacturing value added in total value added (%),Percent,Manufacturing,17.48
2015,Proportion of medium and high - tech manufacturing value added in total value added (%),Percent,Manufacturing,18.65
2016,Proportion of medium and high - tech manufacturing value added in total value added (%),Percent,Manufacturing,18.2
2017,Proportion of medium and high - tech manufacturing value added in total value added (%),Percent,Manufacturing,18.61
2018,Proportion of medium and high - tech manufacturing value added in total value added (%),Percent,Manufacturing,19.54
2019,Proportion of medium and high - tech manufacturing value added in total value added (%),Percent,Manufacturing,18.31
2020,Proportion of medium and high - tech manufacturing value added in total value added (%),Percent,Manufacturing,18.67
2021,Proportion of medium and high - tech manufacturing value added in total value added (%),Percent,Manufacturing,16.59
2022,Proportion of medium and high - tech manufacturing value added in total value added (%),Percent,Manufacturing,19.54
2023,Proportion of medium and high - tech manufacturing value added in total value added (%),Percent,Manufacturing,21.54
