Year,SERIES,UNIT_MEASURE,Sex,Type of skill,AGE,Degree of urbanisation,Value
2017,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Both sexes or no breakdown by sex,Using basic arithmetic formulas in a spreadsheet,Y15T24,All areas,25.3
2019,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Both sexes or no breakdown by sex,Using basic arithmetic formulas in a spreadsheet,Y15T24,All areas,15.7
2017,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Female,Using basic arithmetic formulas in a spreadsheet,Y15T24,All areas,28.3
2019,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Female,Using basic arithmetic formulas in a spreadsheet,Y15T24,All areas,19.2
2017,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Male,Using basic arithmetic formulas in a spreadsheet,Y15T24,All areas,22.8
2019,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Male,Using basic arithmetic formulas in a spreadsheet,Y15T24,All areas,14.4
2017,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Both sexes or no breakdown by sex,Using copy and paste tools to duplicate or move information within a document,Y15T24,All areas,60.0
2019,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Both sexes or no breakdown by sex,Using copy and paste tools to duplicate or move information within a document,Y15T24,All areas,51.9
2021,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Both sexes or no breakdown by sex,Using copy and paste tools to duplicate or move information within a document,Y15T24,All areas,75.1
2023,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Both sexes or no breakdown by sex,Using copy and paste tools to duplicate or move information within a document,Y15T24,All areas,88.5
2017,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Female,Using copy and paste tools to duplicate or move information within a document,Y15T24,All areas,60.9
2019,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Female,Using copy and paste tools to duplicate or move information within a document,Y15T24,All areas,58.7
2021,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Female,Using copy and paste tools to duplicate or move information within a document,Y15T24,All areas,74.3
2023,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Female,Using copy and paste tools to duplicate or move information within a document,Y15T24,All areas,89.7
2017,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Male,Using copy and paste tools to duplicate or move information within a document,Y15T24,All areas,59.2
2019,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Male,Using copy and paste tools to duplicate or move information within a document,Y15T24,All areas,58.7
2021,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Male,Using copy and paste tools to duplicate or move information within a document,Y15T24,All areas,76.1
2023,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Male,Using copy and paste tools to duplicate or move information within a document,Y15T24,All areas,87.7
2017,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Both sexes or no breakdown by sex,"Reading or downloading on - line newspapers, magazines, or electronic books",Y15T24,All areas,6.1
2019,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Both sexes or no breakdown by sex,"Reading or downloading on - line newspapers, magazines, or electronic books",Y15T24,All areas,79.5
2020,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Both sexes or no breakdown by sex,"Reading or downloading on - line newspapers, magazines, or electronic books",Y15T24,All areas,72.2
2021,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Both sexes or no breakdown by sex,"Reading or downloading on - line newspapers, magazines, or electronic books",Y15T24,All areas,72.1
2023,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Both sexes or no breakdown by sex,"Reading or downloading on - line newspapers, magazines, or electronic books",Y15T24,All areas,89.3
2017,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Female,"Reading or downloading on - line newspapers, magazines, or electronic books",Y15T24,All areas,5.2
2019,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Female,"Reading or downloading on - line newspapers, magazines, or electronic books",Y15T24,All areas,76.6
2020,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Female,"Reading or downloading on - line newspapers, magazines, or electronic books",Y15T24,All areas,60.0
2021,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Female,"Reading or downloading on - line newspapers, magazines, or electronic books",Y15T24,All areas,72.7
2023,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Female,"Reading or downloading on - line newspapers, magazines, or electronic books",Y15T24,All areas,88.9
2017,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Male,"Reading or downloading on - line newspapers, magazines, or electronic books",Y15T24,All areas,6.9
2019,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Male,"Reading or downloading on - line newspapers, magazines, or electronic books",Y15T24,All areas,82.7
2020,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Male,"Reading or downloading on - line newspapers, magazines, or electronic books",Y15T24,All areas,82.2
