Year,SERIES,UNIT_MEASURE,AGE,Sex,Value
2000,"Adolescent birth rate (per 1,000 women aged 15-19 and 10-14 years)","Per 1,000 population",Y10T14,Female,0.03
2001,"Adolescent birth rate (per 1,000 women aged 15-19 and 10-14 years)","Per 1,000 population",Y10T14,Female,0.1
2002,"Adolescent birth rate (per 1,000 women aged 15-19 and 10-14 years)","Per 1,000 population",Y10T14,Female,0.1
2003,"Adolescent birth rate (per 1,000 women aged 15-19 and 10-14 years)","Per 1,000 population",Y10T14,Female,0.08
2004,"Adolescent birth rate (per 1,000 women aged 15-19 and 10-14 years)","Per 1,000 population",Y10T14,Female,0.08
2005,"Adolescent birth rate (per 1,000 women aged 15-19 and 10-14 years)","Per 1,000 population",Y10T14,Female,0.07
2006,"Adolescent birth rate (per 1,000 women aged 15-19 and 10-14 years)","Per 1,000 population",Y10T14,Female,0.06
2007,"Adolescent birth rate (per 1,000 women aged 15-19 and 10-14 years)","Per 1,000 population",Y10T14,Female,0.06
2008,"Adolescent birth rate (per 1,000 women aged 15-19 and 10-14 years)","Per 1,000 population",Y10T14,Female,0.05
2009,"Adolescent birth rate (per 1,000 women aged 15-19 and 10-14 years)","Per 1,000 population",Y10T14,Female,0.09
2010,"Adolescent birth rate (per 1,000 women aged 15-19 and 10-14 years)","Per 1,000 population",Y10T14,Female,0.07
2012,"Adolescent birth rate (per 1,000 women aged 15-19 and 10-14 years)","Per 1,000 population",Y10T14,Female,0.04
2018,"Adolescent birth rate (per 1,000 women aged 15-19 and 10-14 years)","Per 1,000 population",Y10T14,Female,0.06
2019,"Adolescent birth rate (per 1,000 women aged 15-19 and 10-14 years)","Per 1,000 population",Y10T14,Female,0.04
2020,"Adolescent birth rate (per 1,000 women aged 15-19 and 10-14 years)","Per 1,000 population",Y10T14,Female,0.08
2021,"Adolescent birth rate (per 1,000 women aged 15-19 and 10-14 years)","Per 1,000 population",Y10T14,Female,0.03
2022,"Adolescent birth rate (per 1,000 women aged 15-19 and 10-14 years)","Per 1,000 population",Y10T14,Female,0.11
2000,"Adolescent birth rate (per 1,000 women aged 15-19 and 10-14 years)","Per 1,000 population",Y15T19,Female,16.6
2001,"Adolescent birth rate (per 1,000 women aged 15-19 and 10-14 years)","Per 1,000 population",Y15T19,Female,17.4
2002,"Adolescent birth rate (per 1,000 women aged 15-19 and 10-14 years)","Per 1,000 population",Y15T19,Female,18.7
2003,"Adolescent birth rate (per 1,000 women aged 15-19 and 10-14 years)","Per 1,000 population",Y15T19,Female,17.4
2004,"Adolescent birth rate (per 1,000 women aged 15-19 and 10-14 years)","Per 1,000 population",Y15T19,Female,17.2
2005,"Adolescent birth rate (per 1,000 women aged 15-19 and 10-14 years)","Per 1,000 population",Y15T19,Female,16.5
2006,"Adolescent birth rate (per 1,000 women aged 15-19 and 10-14 years)","Per 1,000 population",Y15T19,Female,16.4
2007,"Adolescent birth rate (per 1,000 women aged 15-19 and 10-14 years)","Per 1,000 population",Y15T19,Female,15.2
2008,"Adolescent birth rate (per 1,000 women aged 15-19 and 10-14 years)","Per 1,000 population",Y15T19,Female,15.8
2009,"Adolescent birth rate (per 1,000 women aged 15-19 and 10-14 years)","Per 1,000 population",Y15T19,Female,14.8
2010,"Adolescent birth rate (per 1,000 women aged 15-19 and 10-14 years)","Per 1,000 population",Y15T19,Female,13.5
2011,"Adolescent birth rate (per 1,000 women aged 15-19 and 10-14 years)","Per 1,000 population",Y15T19,Female,12.2
2012,"Adolescent birth rate (per 1,000 women aged 15-19 and 10-14 years)","Per 1,000 population",Y15T19,Female,12.3
2013,"Adolescent birth rate (per 1,000 women aged 15-19 and 10-14 years)","Per 1,000 population",Y15T19,Female,11.0
2014,"Adolescent birth rate (per 1,000 women aged 15-19 and 10-14 years)","Per 1,000 population",Y15T19,Female,10.7
2018,"Adolescent birth rate (per 1,000 women aged 15-19 and 10-14 years)","Per 1,000 population",Y15T19,Female,10.11
2019,"Adolescent birth rate (per 1,000 women aged 15-19 and 10-14 years)","Per 1,000 population",Y15T19,Female,9.89
2020,"Adolescent birth rate (per 1,000 women aged 15-19 and 10-14 years)","Per 1,000 population",Y15T19,Female,9.4
2021,"Adolescent birth rate (per 1,000 women aged 15-19 and 10-14 years)","Per 1,000 population",Y15T19,Female,9.34
2022,"Adolescent birth rate (per 1,000 women aged 15-19 and 10-14 years)","Per 1,000 population",Y15T19,Female,8.52
