Year,SERIES,UNIT_MEASURE,Sex,Age,Value
2006,"Unemployment rate, by sex and age - 13th ICLS (%)",PT,Both sexes or no breakdown by sex,15 years old and over,31.11
2007,"Unemployment rate, by sex and age - 13th ICLS (%)",PT,Both sexes or no breakdown by sex,15 years old and over,28.98
2008,"Unemployment rate, by sex and age - 13th ICLS (%)",PT,Both sexes or no breakdown by sex,15 years old and over,23.41
2009,"Unemployment rate, by sex and age - 13th ICLS (%)",PT,Both sexes or no breakdown by sex,15 years old and over,24.07
2010,"Unemployment rate, by sex and age - 13th ICLS (%)",PT,Both sexes or no breakdown by sex,15 years old and over,27.31
2011,"Unemployment rate, by sex and age - 13th ICLS (%)",PT,Both sexes or no breakdown by sex,15 years old and over,27.58
2012,"Unemployment rate, by sex and age - 13th ICLS (%)",PT,Both sexes or no breakdown by sex,15 years old and over,28.01
2013,"Unemployment rate, by sex and age - 13th ICLS (%)",PT,Both sexes or no breakdown by sex,15 years old and over,27.49
2014,"Unemployment rate, by sex and age - 13th ICLS (%)",PT,Both sexes or no breakdown by sex,15 years old and over,27.52
2015,"Unemployment rate, by sex and age - 13th ICLS (%)",PT,Both sexes or no breakdown by sex,15 years old and over,27.69
2016,"Unemployment rate, by sex and age - 13th ICLS (%)",PT,Both sexes or no breakdown by sex,15 years old and over,25.41
2017,"Unemployment rate, by sex and age - 13th ICLS (%)",PT,Both sexes or no breakdown by sex,15 years old and over,20.53
2018,"Unemployment rate, by sex and age - 13th ICLS (%)",PT,Both sexes or no breakdown by sex,15 years old and over,18.4
2019,"Unemployment rate, by sex and age - 13th ICLS (%)",PT,Both sexes or no breakdown by sex,15 years old and over,15.69
2020,"Unemployment rate, by sex and age - 13th ICLS (%)",PT,Both sexes or no breakdown by sex,15 years old and over,15.9
2021,"Unemployment rate, by sex and age - 13th ICLS (%)",PT,Both sexes or no breakdown by sex,15 years old and over,14.9
2006,"Unemployment rate, by sex and age - 13th ICLS (%)",PT,Female,15 years old and over,34.86
2007,"Unemployment rate, by sex and age - 13th ICLS (%)",PT,Female,15 years old and over,32.94
2008,"Unemployment rate, by sex and age - 13th ICLS (%)",PT,Female,15 years old and over,26.78
2009,"Unemployment rate, by sex and age - 13th ICLS (%)",PT,Female,15 years old and over,25.64
2010,"Unemployment rate, by sex and age - 13th ICLS (%)",PT,Female,15 years old and over,29.93
2011,"Unemployment rate, by sex and age - 13th ICLS (%)",PT,Female,15 years old and over,29.94
2012,"Unemployment rate, by sex and age - 13th ICLS (%)",PT,Female,15 years old and over,30.66
2013,"Unemployment rate, by sex and age - 13th ICLS (%)",PT,Female,15 years old and over,29.02
2014,"Unemployment rate, by sex and age - 13th ICLS (%)",PT,Female,15 years old and over,31.17
2015,"Unemployment rate, by sex and age - 13th ICLS (%)",PT,Female,15 years old and over,30.69
2016,"Unemployment rate, by sex and age - 13th ICLS (%)",PT,Female,15 years old and over,30.05
2017,"Unemployment rate, by sex and age - 13th ICLS (%)",PT,Female,15 years old and over,23.13
2018,"Unemployment rate, by sex and age - 13th ICLS (%)",PT,Female,15 years old and over,20.33
2019,"Unemployment rate, by sex and age - 13th ICLS (%)",PT,Female,15 years old and over,18.78
2020,"Unemployment rate, by sex and age - 13th ICLS (%)",PT,Female,15 years old and over,18.5
2021,"Unemployment rate, by sex and age - 13th ICLS (%)",PT,Female,15 years old and over,18.12
2006,"Unemployment rate, by sex and age - 13th ICLS (%)",PT,Male,15 years old and over,28.92
2007,"Unemployment rate, by sex and age - 13th ICLS (%)",PT,Male,15 years old and over,26.71
2008,"Unemployment rate, by sex and age - 13th ICLS (%)",PT,Male,15 years old and over,21.4
2009,"Unemployment rate, by sex and age - 13th ICLS (%)",PT,Male,15 years old and over,23.11
2010,"Unemployment rate, by sex and age - 13th ICLS (%)",PT,Male,15 years old and over,25.68
2011,"Unemployment rate, by sex and age - 13th ICLS (%)",PT,Male,15 years old and over,26.11
2012,"Unemployment rate, by sex and age - 13th ICLS (%)",PT,Male,15 years old and over,26.37
2013,"Unemployment rate, by sex and age - 13th ICLS (%)",PT,Male,15 years old and over,26.55
2014,"Unemployment rate, by sex and age - 13th ICLS (%)",PT,Male,15 years old and over,25.18
2015,"Unemployment rate, by sex and age - 13th ICLS (%)",PT,Male,15 years old and over,25.78
2016,"Unemployment rate, by sex and age - 13th ICLS (%)",PT,Male,15 years old and over,22.53
2017,"Unemployment rate, by sex and age - 13th ICLS (%)",PT,Male,15 years old and over,18.87
2018,"Unemployment rate, by sex and age - 13th ICLS (%)",PT,Male,15 years old and over,17.21
2019,"Unemployment rate, by sex and age - 13th ICLS (%)",PT,Male,15 years old and over,13.65
2020,"Unemployment rate, by sex and age - 13th ICLS (%)",PT,Male,15 years old and over,14.1
2021,"Unemployment rate, by sex and age - 13th ICLS (%)",PT,Male,15 years old and over,12.66
2006,"Unemployment rate, by sex and age - 13th ICLS (%)",PT,Both sexes or no breakdown by sex,15 to 24 years old,62.31
2007,"Unemployment rate, by sex and age - 13th ICLS (%)",PT,Both sexes or no breakdown by sex,15 to 24 years old,58.42
2008,"Unemployment rate, by sex and age - 13th ICLS (%)",PT,Both sexes or no breakdown by sex,15 to 24 years old,47.53
2009,"Unemployment rate, by sex and age - 13th ICLS (%)",PT,Both sexes or no breakdown by sex,15 to 24 years old,48.7
2010,"Unemployment rate, by sex and age - 13th ICLS (%)",PT,Both sexes or no breakdown by sex,15 to 24 years old,57.72
2011,"Unemployment rate, by sex and age - 13th ICLS (%)",PT,Both sexes or no breakdown by sex,15 to 24 years old,57.87
2012,"Unemployment rate, by sex and age - 13th ICLS (%)",PT,Both sexes or no breakdown by sex,15 to 24 years old,63.11
2013,"Unemployment rate, by sex and age - 13th ICLS (%)",PT,Both sexes or no breakdown by sex,15 to 24 years old,59.12
2014,"Unemployment rate, by sex and age - 13th ICLS (%)",PT,Both sexes or no breakdown by sex,15 to 24 years old,62.66
2015,"Unemployment rate, by sex and age - 13th ICLS (%)",PT,Both sexes or no breakdown by sex,15 to 24 years old,62.32
2016,"Unemployment rate, by sex and age - 13th ICLS (%)",PT,Both sexes or no breakdown by sex,15 to 24 years old,54.31
2017,"Unemployment rate, by sex and age - 13th ICLS (%)",PT,Both sexes or no breakdown by sex,15 to 24 years old,45.81
2018,"Unemployment rate, by sex and age - 13th ICLS (%)",PT,Both sexes or no breakdown by sex,15 to 24 years old,38.82
