Year,SERIES,UNIT_MEASURE,Economic activity,Value
2010,Carbon dioxide emissions from fuel combustion (millions of tonnes),TONNES_M,Manufacturing excl. coke and refined petroleum products and repair and installation of machinery and equipment,1.6
2011,Carbon dioxide emissions from fuel combustion (millions of tonnes),TONNES_M,Manufacturing excl. coke and refined petroleum products and repair and installation of machinery and equipment,1.78
2012,Carbon dioxide emissions from fuel combustion (millions of tonnes),TONNES_M,Manufacturing excl. coke and refined petroleum products and repair and installation of machinery and equipment,1.8
2013,Carbon dioxide emissions from fuel combustion (millions of tonnes),TONNES_M,Manufacturing excl. coke and refined petroleum products and repair and installation of machinery and equipment,2.11
2014,Carbon dioxide emissions from fuel combustion (millions of tonnes),TONNES_M,Manufacturing excl. coke and refined petroleum products and repair and installation of machinery and equipment,1.91
2015,Carbon dioxide emissions from fuel combustion (millions of tonnes),TONNES_M,Manufacturing excl. coke and refined petroleum products and repair and installation of machinery and equipment,2.0
2016,Carbon dioxide emissions from fuel combustion (millions of tonnes),TONNES_M,Manufacturing excl. coke and refined petroleum products and repair and installation of machinery and equipment,1.9
2017,Carbon dioxide emissions from fuel combustion (millions of tonnes),TONNES_M,Manufacturing excl. coke and refined petroleum products and repair and installation of machinery and equipment,2.0
2018,Carbon dioxide emissions from fuel combustion (millions of tonnes),TONNES_M,Manufacturing excl. coke and refined petroleum products and repair and installation of machinery and equipment,2.23
2019,Carbon dioxide emissions from fuel combustion (millions of tonnes),TONNES_M,Manufacturing excl. coke and refined petroleum products and repair and installation of machinery and equipment,2.18
2020,Carbon dioxide emissions from fuel combustion (millions of tonnes),TONNES_M,Manufacturing excl. coke and refined petroleum products and repair and installation of machinery and equipment,1.29
2021,Carbon dioxide emissions from fuel combustion (millions of tonnes),TONNES_M,Manufacturing excl. coke and refined petroleum products and repair and installation of machinery and equipment,1.53
2022,Carbon dioxide emissions from fuel combustion (millions of tonnes),TONNES_M,Manufacturing excl. coke and refined petroleum products and repair and installation of machinery and equipment,1.49
2023,Carbon dioxide emissions from fuel combustion (millions of tonnes),TONNES_M,Manufacturing excl. coke and refined petroleum products and repair and installation of machinery and equipment,1.25
2010,Carbon dioxide emissions from fuel combustion (millions of tonnes),TONNES_M,No breakdown,20.48
2011,Carbon dioxide emissions from fuel combustion (millions of tonnes),TONNES_M,No breakdown,23.4
2012,Carbon dioxide emissions from fuel combustion (millions of tonnes),TONNES_M,No breakdown,21.65
2013,Carbon dioxide emissions from fuel combustion (millions of tonnes),TONNES_M,No breakdown,21.51
2014,Carbon dioxide emissions from fuel combustion (millions of tonnes),TONNES_M,No breakdown,19.19
2015,Carbon dioxide emissions from fuel combustion (millions of tonnes),TONNES_M,No breakdown,19.32
2016,Carbon dioxide emissions from fuel combustion (millions of tonnes),TONNES_M,No breakdown,22.04
2017,Carbon dioxide emissions from fuel combustion (millions of tonnes),TONNES_M,No breakdown,22.35
2018,Carbon dioxide emissions from fuel combustion (millions of tonnes),TONNES_M,No breakdown,22.24
2019,Carbon dioxide emissions from fuel combustion (millions of tonnes),TONNES_M,No breakdown,20.76
2020,Carbon dioxide emissions from fuel combustion (millions of tonnes),TONNES_M,No breakdown,20.52
2021,Carbon dioxide emissions from fuel combustion (millions of tonnes),TONNES_M,No breakdown,20.7
2022,Carbon dioxide emissions from fuel combustion (millions of tonnes),TONNES_M,No breakdown,20.6
2023,Carbon dioxide emissions from fuel combustion (millions of tonnes),TONNES_M,No breakdown,19.09
2006,Carbon dioxide emissions from manufacturing industries per unit of manufacturing value added (kilogrammes of CO2 per constant 2020 United States dollars),Kilograms per constant USD,Manufacturing,0.677
2007,Carbon dioxide emissions from manufacturing industries per unit of manufacturing value added (kilogrammes of CO2 per constant 2020 United States dollars),Kilograms per constant USD,Manufacturing,0.655
2008,Carbon dioxide emissions from manufacturing industries per unit of manufacturing value added (kilogrammes of CO2 per constant 2020 United States dollars),Kilograms per constant USD,Manufacturing,0.651
2009,Carbon dioxide emissions from manufacturing industries per unit of manufacturing value added (kilogrammes of CO2 per constant 2020 United States dollars),Kilograms per constant USD,Manufacturing,0.732
2010,Carbon dioxide emissions from manufacturing industries per unit of manufacturing value added (kilogrammes of CO2 per constant 2020 United States dollars),Kilograms per constant USD,Manufacturing,0.803
2011,Carbon dioxide emissions from manufacturing industries per unit of manufacturing value added (kilogrammes of CO2 per constant 2020 United States dollars),Kilograms per constant USD,Manufacturing,0.894
2012,Carbon dioxide emissions from manufacturing industries per unit of manufacturing value added (kilogrammes of CO2 per constant 2020 United States dollars),Kilograms per constant USD,Manufacturing,0.912
2013,Carbon dioxide emissions from manufacturing industries per unit of manufacturing value added (kilogrammes of CO2 per constant 2020 United States dollars),Kilograms per constant USD,Manufacturing,1.018
2014,Carbon dioxide emissions from manufacturing industries per unit of manufacturing value added (kilogrammes of CO2 per constant 2020 United States dollars),Kilograms per constant USD,Manufacturing,0.883
2015,Carbon dioxide emissions from manufacturing industries per unit of manufacturing value added (kilogrammes of CO2 per constant 2020 United States dollars),Kilograms per constant USD,Manufacturing,0.869
2016,Carbon dioxide emissions from manufacturing industries per unit of manufacturing value added (kilogrammes of CO2 per constant 2020 United States dollars),Kilograms per constant USD,Manufacturing,0.782
2017,Carbon dioxide emissions from manufacturing industries per unit of manufacturing value added (kilogrammes of CO2 per constant 2020 United States dollars),Kilograms per constant USD,Manufacturing,0.756
2018,Carbon dioxide emissions from manufacturing industries per unit of manufacturing value added (kilogrammes of CO2 per constant 2020 United States dollars),Kilograms per constant USD,Manufacturing,0.833
2019,Carbon dioxide emissions from manufacturing industries per unit of manufacturing value added (kilogrammes of CO2 per constant 2020 United States dollars),Kilograms per constant USD,Manufacturing,0.814
2020,Carbon dioxide emissions from manufacturing industries per unit of manufacturing value added (kilogrammes of CO2 per constant 2020 United States dollars),Kilograms per constant USD,Manufacturing,0.504
2021,Carbon dioxide emissions from manufacturing industries per unit of manufacturing value added (kilogrammes of CO2 per constant 2020 United States dollars),Kilograms per constant USD,Manufacturing,0.523
2022,Carbon dioxide emissions from manufacturing industries per unit of manufacturing value added (kilogrammes of CO2 per constant 2020 United States dollars),Kilograms per constant USD,Manufacturing,0.484
2023,Carbon dioxide emissions from manufacturing industries per unit of manufacturing value added (kilogrammes of CO2 per constant 2020 United States dollars),Kilograms per constant USD,Manufacturing,0.418
2006,Carbon dioxide emissions per unit of GDP (kilogrammes of CO2 per constant 2021 United States dollars),Kilograms per constant USD,,0.40624
2007,Carbon dioxide emissions per unit of GDP (kilogrammes of CO2 per constant 2021 United States dollars),Kilograms per constant USD,,0.40485
2008,Carbon dioxide emissions per unit of GDP (kilogrammes of CO2 per constant 2021 United States dollars),Kilograms per constant USD,,0.4219
2009,Carbon dioxide emissions per unit of GDP (kilogrammes of CO2 per constant 2021 United States dollars),Kilograms per constant USD,,0.4341
2010,Carbon dioxide emissions per unit of GDP (kilogrammes of CO2 per constant 2021 United States dollars),Kilograms per constant USD,,0.43634
2011,Carbon dioxide emissions per unit of GDP (kilogrammes of CO2 per constant 2021 United States dollars),Kilograms per constant USD,,0.49381
2012,Carbon dioxide emissions per unit of GDP (kilogrammes of CO2 per constant 2021 United States dollars),Kilograms per constant USD,,0.46067
2013,Carbon dioxide emissions per unit of GDP (kilogrammes of CO2 per constant 2021 United States dollars),Kilograms per constant USD,,0.44718
