Year,SERIES,UNIT_MEASURE,Economic activity,Value
2006,Manufacturing employment as a proportion of total employment - 13th ICLS(%),Percent,Manufacturing,17.0
2007,Manufacturing employment as a proportion of total employment - 13th ICLS(%),Percent,Manufacturing,17.9
2008,Manufacturing employment as a proportion of total employment - 13th ICLS(%),Percent,Manufacturing,16.6
2009,Manufacturing employment as a proportion of total employment - 13th ICLS(%),Percent,Manufacturing,16.4
2010,Manufacturing employment as a proportion of total employment - 13th ICLS(%),Percent,Manufacturing,16.8
2011,Manufacturing employment as a proportion of total employment - 13th ICLS(%),Percent,Manufacturing,16.0
2012,Manufacturing employment as a proportion of total employment - 13th ICLS(%),Percent,Manufacturing,15.5
2013,Manufacturing employment as a proportion of total employment - 13th ICLS(%),Percent,Manufacturing,16.0
2014,Manufacturing employment as a proportion of total employment - 13th ICLS(%),Percent,Manufacturing,16.1
2015,Manufacturing employment as a proportion of total employment - 13th ICLS(%),Percent,Manufacturing,16.1
2016,Manufacturing employment as a proportion of total employment - 13th ICLS(%),Percent,Manufacturing,17.3
2017,Manufacturing employment as a proportion of total employment - 13th ICLS(%),Percent,Manufacturing,16.5
2018,Manufacturing employment as a proportion of total employment - 13th ICLS(%),Percent,Manufacturing,17.7
2019,Manufacturing employment as a proportion of total employment - 13th ICLS(%),Percent,Manufacturing,18.6
2020,Manufacturing employment as a proportion of total employment - 13th ICLS(%),Percent,Manufacturing,18.9
2021,Manufacturing employment as a proportion of total employment - 13th ICLS(%),Percent,Manufacturing,17.3
2021,Manufacturing employment as a proportion of total employment - 19th ICLS(%),Percent,Manufacturing,18.99
