Year,SERIES,UNIT_MEASURE,Value
2010,Fossil-fuel subsidies (consumption and production) as a proportion of total GDP (%),Percent,0.0
2014,Fossil-fuel subsidies (consumption and production) as a proportion of total GDP (%),Percent,0.0
2015,Fossil-fuel subsidies (consumption and production) as a proportion of total GDP (%),Percent,0.00914
2016,Fossil-fuel subsidies (consumption and production) as a proportion of total GDP (%),Percent,0.00818
2017,Fossil-fuel subsidies (consumption and production) as a proportion of total GDP (%),Percent,0.01669
2018,Fossil-fuel subsidies (consumption and production) as a proportion of total GDP (%),Percent,0.01781
2019,Fossil-fuel subsidies (consumption and production) as a proportion of total GDP (%),Percent,0.01845
2020,Fossil-fuel subsidies (consumption and production) as a proportion of total GDP (%),Percent,0.01584
2021,Fossil-fuel subsidies (consumption and production) as a proportion of total GDP (%),Percent,0.06628
2022,Fossil-fuel subsidies (consumption and production) as a proportion of total GDP (%),Percent,0.16431
2023,Fossil-fuel subsidies (consumption and production) as a proportion of total GDP (%),Percent,0.03464
2024,Fossil-fuel subsidies (consumption and production) as a proportion of total GDP (%),Percent,0.0252
2010,Fossil-fuel subsidies (consumption and production) (billions of nominal United States dollars),(billions of nominal United States dollars),0.0
2014,Fossil-fuel subsidies (consumption and production) (billions of nominal United States dollars),(billions of nominal United States dollars),0.0
2015,Fossil-fuel subsidies (consumption and production) (billions of nominal United States dollars),(billions of nominal United States dollars),0.00175
2016,Fossil-fuel subsidies (consumption and production) (billions of nominal United States dollars),(billions of nominal United States dollars),0.00161
2017,Fossil-fuel subsidies (consumption and production) (billions of nominal United States dollars),(billions of nominal United States dollars),0.00342
2018,Fossil-fuel subsidies (consumption and production) (billions of nominal United States dollars),(billions of nominal United States dollars),0.00376
2019,Fossil-fuel subsidies (consumption and production) (billions of nominal United States dollars),(billions of nominal United States dollars),0.00399
2020,Fossil-fuel subsidies (consumption and production) (billions of nominal United States dollars),(billions of nominal United States dollars),0.06192
2021,Fossil-fuel subsidies (consumption and production) (billions of nominal United States dollars),(billions of nominal United States dollars),0.01502
2022,Fossil-fuel subsidies (consumption and production) (billions of nominal United States dollars),(billions of nominal United States dollars),0.03955
2023,Fossil-fuel subsidies (consumption and production) (billions of nominal United States dollars),(billions of nominal United States dollars),0.00868
2024,Fossil-fuel subsidies (consumption and production) (billions of nominal United States dollars),(billions of nominal United States dollars),0.00648
2010,Fossil-fuel subsidies (consumption and production) per capita (nominal United States dollars),(Current United States dollars),0.0
2014,Fossil-fuel subsidies (consumption and production) per capita (nominal United States dollars),(Current United States dollars),0.0
2015,Fossil-fuel subsidies (consumption and production) per capita (nominal United States dollars),(Current United States dollars),0.49653
2016,Fossil-fuel subsidies (consumption and production) per capita (nominal United States dollars),(Current United States dollars),0.46394
2017,Fossil-fuel subsidies (consumption and production) per capita (nominal United States dollars),(Current United States dollars),0.99701
2018,Fossil-fuel subsidies (consumption and production) per capita (nominal United States dollars),(Current United States dollars),1.11153
2019,Fossil-fuel subsidies (consumption and production) per capita (nominal United States dollars),(Current United States dollars),1.19317
2020,Fossil-fuel subsidies (consumption and production) per capita (nominal United States dollars),(Current United States dollars),1.01347
2021,Fossil-fuel subsidies (consumption and production) per capita (nominal United States dollars),(Current United States dollars),4.62828
2022,Fossil-fuel subsidies (consumption and production) per capita (nominal United States dollars),(Current United States dollars),12.34209
2023,Fossil-fuel subsidies (consumption and production) per capita (nominal United States dollars),(Current United States dollars),2.72548
2024,Fossil-fuel subsidies (consumption and production) per capita (nominal United States dollars),(Current United States dollars),2.04675
