Year,SERIES,UNIT_MEASURE,COMPOSITE_BREAKDOWN,Value
2012,Installed renewable electricity-generating capacity (watts per capita),Watts per capita,All renewables,463.08759
2013,Installed renewable electricity-generating capacity (watts per capita),Watts per capita,All renewables,470.87276
2014,Installed renewable electricity-generating capacity (watts per capita),Watts per capita,All renewables,481.23811
2015,Installed renewable electricity-generating capacity (watts per capita),Watts per capita,All renewables,489.57275
2016,Installed renewable electricity-generating capacity (watts per capita),Watts per capita,All renewables,510.1026
2017,Installed renewable electricity-generating capacity (watts per capita),Watts per capita,All renewables,525.66448
2018,Installed renewable electricity-generating capacity (watts per capita),Watts per capita,All renewables,554.6819
2019,Installed renewable electricity-generating capacity (watts per capita),Watts per capita,All renewables,574.40226
2020,Installed renewable electricity-generating capacity (watts per capita),Watts per capita,All renewables,588.47212
2021,Installed renewable electricity-generating capacity (watts per capita),Watts per capita,All renewables,623.21477
2022,Installed renewable electricity-generating capacity (watts per capita),Watts per capita,All renewables,646.18469
2012,Installed renewable electricity-generating capacity (watts per capita),Watts per capita,Bioenergy,0.0
2013,Installed renewable electricity-generating capacity (watts per capita),Watts per capita,Bioenergy,0.0
2014,Installed renewable electricity-generating capacity (watts per capita),Watts per capita,Bioenergy,0.0
2015,Installed renewable electricity-generating capacity (watts per capita),Watts per capita,Bioenergy,0.0
2016,Installed renewable electricity-generating capacity (watts per capita),Watts per capita,Bioenergy,0.28727
2017,Installed renewable electricity-generating capacity (watts per capita),Watts per capita,Bioenergy,0.2907
2018,Installed renewable electricity-generating capacity (watts per capita),Watts per capita,Bioenergy,0.36469
2019,Installed renewable electricity-generating capacity (watts per capita),Watts per capita,Bioenergy,0.6576
2020,Installed renewable electricity-generating capacity (watts per capita),Watts per capita,Bioenergy,0.63585
2021,Installed renewable electricity-generating capacity (watts per capita),Watts per capita,Bioenergy,3.12142
2022,Installed renewable electricity-generating capacity (watts per capita),Watts per capita,Bioenergy,3.15754
2012,Installed renewable electricity-generating capacity (watts per capita),Watts per capita,Geothermal energy,0.0
2013,Installed renewable electricity-generating capacity (watts per capita),Watts per capita,Geothermal energy,0.0
2014,Installed renewable electricity-generating capacity (watts per capita),Watts per capita,Geothermal energy,0.0
2015,Installed renewable electricity-generating capacity (watts per capita),Watts per capita,Geothermal energy,0.0
2016,Installed renewable electricity-generating capacity (watts per capita),Watts per capita,Geothermal energy,0.0
2017,Installed renewable electricity-generating capacity (watts per capita),Watts per capita,Geothermal energy,0.0
2018,Installed renewable electricity-generating capacity (watts per capita),Watts per capita,Geothermal energy,0.0
2019,Installed renewable electricity-generating capacity (watts per capita),Watts per capita,Geothermal energy,0.0
2020,Installed renewable electricity-generating capacity (watts per capita),Watts per capita,Geothermal energy,0.0
2021,Installed renewable electricity-generating capacity (watts per capita),Watts per capita,Geothermal energy,0.0
2022,Installed renewable electricity-generating capacity (watts per capita),Watts per capita,Geothermal energy,0.0
2012,Installed renewable electricity-generating capacity (watts per capita),Watts per capita,Hydropower,462.91096
2013,Installed renewable electricity-generating capacity (watts per capita),Watts per capita,Hydropower,470.41969
2014,Installed renewable electricity-generating capacity (watts per capita),Watts per capita,Hydropower,479.14741
2015,Installed renewable electricity-generating capacity (watts per capita),Watts per capita,Hydropower,487.16945
2016,Installed renewable electricity-generating capacity (watts per capita),Watts per capita,Hydropower,505.67282
2017,Installed renewable electricity-generating capacity (watts per capita),Watts per capita,Hydropower,520.63545
2018,Installed renewable electricity-generating capacity (watts per capita),Watts per capita,Hydropower,533.97974
2019,Installed renewable electricity-generating capacity (watts per capita),Watts per capita,Hydropower,541.20691
2020,Installed renewable electricity-generating capacity (watts per capita),Watts per capita,Hydropower,551.10479
2021,Installed renewable electricity-generating capacity (watts per capita),Watts per capita,Hydropower,561.54448
2022,Installed renewable electricity-generating capacity (watts per capita),Watts per capita,Hydropower,568.04244
2012,Installed renewable electricity-generating capacity (watts per capita),Watts per capita,Marine energy,0.0
2013,Installed renewable electricity-generating capacity (watts per capita),Watts per capita,Marine energy,0.0
2014,Installed renewable electricity-generating capacity (watts per capita),Watts per capita,Marine energy,0.0
2015,Installed renewable electricity-generating capacity (watts per capita),Watts per capita,Marine energy,0.0
2016,Installed renewable electricity-generating capacity (watts per capita),Watts per capita,Marine energy,0.0
2017,Installed renewable electricity-generating capacity (watts per capita),Watts per capita,Marine energy,0.0
2018,Installed renewable electricity-generating capacity (watts per capita),Watts per capita,Marine energy,0.0
2019,Installed renewable electricity-generating capacity (watts per capita),Watts per capita,Marine energy,0.0
2020,Installed renewable electricity-generating capacity (watts per capita),Watts per capita,Marine energy,0.0
2021,Installed renewable electricity-generating capacity (watts per capita),Watts per capita,Marine energy,0.0
2022,Installed renewable electricity-generating capacity (watts per capita),Watts per capita,Marine energy,0.0
2012,Installed renewable electricity-generating capacity (watts per capita),Watts per capita,Solar energy,0.09498
2013,Installed renewable electricity-generating capacity (watts per capita),Watts per capita,Solar energy,0.37014
2014,Installed renewable electricity-generating capacity (watts per capita),Watts per capita,Solar energy,2.00668
2015,Installed renewable electricity-generating capacity (watts per capita),Watts per capita,Solar energy,2.31818
2016,Installed renewable electricity-generating capacity (watts per capita),Watts per capita,Solar energy,4.05632
2017,Installed renewable electricity-generating capacity (watts per capita),Watts per capita,Solar energy,4.65113
2018,Installed renewable electricity-generating capacity (watts per capita),Watts per capita,Solar energy,5.33803
2019,Installed renewable electricity-generating capacity (watts per capita),Watts per capita,Solar energy,6.65038
2020,Installed renewable electricity-generating capacity (watts per capita),Watts per capita,Solar energy,10.51408
2021,Installed renewable electricity-generating capacity (watts per capita),Watts per capita,Solar energy,17.27636
2022,Installed renewable electricity-generating capacity (watts per capita),Watts per capita,Solar energy,33.23462
2012,Installed renewable electricity-generating capacity (watts per capita),Watts per capita,Wind energy,0.08165
2013,Installed renewable electricity-generating capacity (watts per capita),Watts per capita,Wind energy,0.08293
2014,Installed renewable electricity-generating capacity (watts per capita),Watts per capita,Wind energy,0.08401
2015,Installed renewable electricity-generating capacity (watts per capita),Watts per capita,Wind energy,0.08512
2016,Installed renewable electricity-generating capacity (watts per capita),Watts per capita,Wind energy,0.08618
2017,Installed renewable electricity-generating capacity (watts per capita),Watts per capita,Wind energy,0.08721
2018,Installed renewable electricity-generating capacity (watts per capita),Watts per capita,Wind energy,14.99943
2019,Installed renewable electricity-generating capacity (watts per capita),Watts per capita,Wind energy,25.88738
2020,Installed renewable electricity-generating capacity (watts per capita),Watts per capita,Wind energy,26.2174
2021,Installed renewable electricity-generating capacity (watts per capita),Watts per capita,Wind energy,41.2725
2022,Installed renewable electricity-generating capacity (watts per capita),Watts per capita,Wind energy,41.75009
