Year,SERIES,UNIT_MEASURE,Type of product,Value
2015,"Domestic material consumption per capita, by type of raw material",TONNES,No breakdown,9.708
2016,"Domestic material consumption per capita, by type of raw material",TONNES,No breakdown,11.255
2017,"Domestic material consumption per capita, by type of raw material",TONNES,No breakdown,10.465
2018,"Domestic material consumption per capita, by type of raw material",TONNES,No breakdown,11.045
2019,"Domestic material consumption per capita, by type of raw material",TONNES,No breakdown,11.081
2020,"Domestic material consumption per capita, by type of raw material",TONNES,No breakdown,11.206
2021,"Domestic material consumption per capita, by type of raw material",TONNES,No breakdown,10.849
2022,"Domestic material consumption per capita, by type of raw material",TONNES,No breakdown,10.849
2023,"Domestic material consumption per capita, by type of raw material",TONNES,No breakdown,10.292
2015,"Domestic material consumption per capita, by type of raw material",TONNES,Biomass,2.223
2016,"Domestic material consumption per capita, by type of raw material",TONNES,Biomass,2.699
2017,"Domestic material consumption per capita, by type of raw material",TONNES,Biomass,2.282
2018,"Domestic material consumption per capita, by type of raw material",TONNES,Biomass,2.778
2019,"Domestic material consumption per capita, by type of raw material",TONNES,Biomass,2.778
2020,"Domestic material consumption per capita, by type of raw material",TONNES,Biomass,2.87
2021,"Domestic material consumption per capita, by type of raw material",TONNES,Biomass,2.394
2022,"Domestic material consumption per capita, by type of raw material",TONNES,Biomass,2.407
2023,"Domestic material consumption per capita, by type of raw material",TONNES,Biomass,2.329
2015,"Domestic material consumption per capita, by type of raw material",TONNES,Fossil fuels,4.035
2016,"Domestic material consumption per capita, by type of raw material",TONNES,Fossil fuels,4.676
2017,"Domestic material consumption per capita, by type of raw material",TONNES,Fossil fuels,4.883
2018,"Domestic material consumption per capita, by type of raw material",TONNES,Fossil fuels,4.989
2019,"Domestic material consumption per capita, by type of raw material",TONNES,Fossil fuels,4.697
2020,"Domestic material consumption per capita, by type of raw material",TONNES,Fossil fuels,4.659
2021,"Domestic material consumption per capita, by type of raw material",TONNES,Fossil fuels,4.555
2022,"Domestic material consumption per capita, by type of raw material",TONNES,Fossil fuels,4.589
2023,"Domestic material consumption per capita, by type of raw material",TONNES,Fossil fuels,4.309
2015,"Domestic material consumption per capita, by type of raw material",TONNES,Metal ores,0.835
2016,"Domestic material consumption per capita, by type of raw material",TONNES,Metal ores,0.75
2017,"Domestic material consumption per capita, by type of raw material",TONNES,Metal ores,0.724
2018,"Domestic material consumption per capita, by type of raw material",TONNES,Metal ores,0.716
2019,"Domestic material consumption per capita, by type of raw material",TONNES,Metal ores,0.845
2020,"Domestic material consumption per capita, by type of raw material",TONNES,Metal ores,0.612
2021,"Domestic material consumption per capita, by type of raw material",TONNES,Metal ores,0.652
2022,"Domestic material consumption per capita, by type of raw material",TONNES,Metal ores,0.711
2023,"Domestic material consumption per capita, by type of raw material",TONNES,Metal ores,0.724
2015,"Domestic material consumption per capita, by type of raw material",TONNES,Non-metallic minerals,2.714
2016,"Domestic material consumption per capita, by type of raw material",TONNES,Non-metallic minerals,3.286
2017,"Domestic material consumption per capita, by type of raw material",TONNES,Non-metallic minerals,2.754
2018,"Domestic material consumption per capita, by type of raw material",TONNES,Non-metallic minerals,2.742
2019,"Domestic material consumption per capita, by type of raw material",TONNES,Non-metallic minerals,2.941
2020,"Domestic material consumption per capita, by type of raw material",TONNES,Non-metallic minerals,3.217
2021,"Domestic material consumption per capita, by type of raw material",TONNES,Non-metallic minerals,3.42
2022,"Domestic material consumption per capita, by type of raw material",TONNES,Non-metallic minerals,3.378
2023,"Domestic material consumption per capita, by type of raw material",TONNES,Non-metallic minerals,3.143
2015,"Domestic material consumption per capita, by type of raw material",TONNES,Waste for final treatment and disposal,0.004
2016,"Domestic material consumption per capita, by type of raw material",TONNES,Waste for final treatment and disposal,0.003
2017,"Domestic material consumption per capita, by type of raw material",TONNES,Waste for final treatment and disposal,0.001
2018,"Domestic material consumption per capita, by type of raw material",TONNES,Waste for final treatment and disposal,0.008
2019,"Domestic material consumption per capita, by type of raw material",TONNES,Waste for final treatment and disposal,0.01
2020,"Domestic material consumption per capita, by type of raw material",TONNES,Waste for final treatment and disposal,0.01
2021,"Domestic material consumption per capita, by type of raw material",TONNES,Waste for final treatment and disposal,0.011
2022,"Domestic material consumption per capita, by type of raw material",TONNES,Waste for final treatment and disposal,0.014
2023,"Domestic material consumption per capita, by type of raw material",TONNES,Waste for final treatment and disposal,0.014
2015,"Domestic material consumption per capita, by type of raw material",TONNES,Mixed and complex products,-0.103
2016,"Domestic material consumption per capita, by type of raw material",TONNES,Mixed and complex products,-0.16
2017,"Domestic material consumption per capita, by type of raw material",TONNES,Mixed and complex products,-0.18
2018,"Domestic material consumption per capita, by type of raw material",TONNES,Mixed and complex products,-0.188
2019,"Domestic material consumption per capita, by type of raw material",TONNES,Mixed and complex products,-0.19
2020,"Domestic material consumption per capita, by type of raw material",TONNES,Mixed and complex products,-0.163
2021,"Domestic material consumption per capita, by type of raw material",TONNES,Mixed and complex products,-0.184
2022,"Domestic material consumption per capita, by type of raw material",TONNES,Mixed and complex products,-0.25
2023,"Domestic material consumption per capita, by type of raw material",TONNES,Mixed and complex products,-0.227
2015,"Domestic material consumption per unit of GDP, by type of raw material (kilograms per constant 2020 United States dollars)",Kilograms per constant USD,No breakdown,1.86324
2016,"Domestic material consumption per unit of GDP, by type of raw material (kilograms per constant 2020 United States dollars)",Kilograms per constant USD,No breakdown,2.00767
2017,"Domestic material consumption per unit of GDP, by type of raw material (kilograms per constant 2020 United States dollars)",Kilograms per constant USD,No breakdown,1.79089
2018,"Domestic material consumption per unit of GDP, by type of raw material (kilograms per constant 2020 United States dollars)",Kilograms per constant USD,No breakdown,1.82619
2019,"Domestic material consumption per unit of GDP, by type of raw material (kilograms per constant 2020 United States dollars)",Kilograms per constant USD,No breakdown,1.7883
2020,"Domestic material consumption per unit of GDP, by type of raw material (kilograms per constant 2020 United States dollars)",Kilograms per constant USD,No breakdown,1.84906
2021,"Domestic material consumption per unit of GDP, by type of raw material (kilograms per constant 2020 United States dollars)",Kilograms per constant USD,No breakdown,1.65981
2022,"Domestic material consumption per unit of GDP, by type of raw material (kilograms per constant 2020 United States dollars)",Kilograms per constant USD,No breakdown,1.556
2023,"Domestic material consumption per unit of GDP, by type of raw material (kilograms per constant 2020 United States dollars)",Kilograms per constant USD,No breakdown,1.40816
2015,"Domestic material consumption per unit of GDP, by type of raw material (kilograms per constant 2020 United States dollars)",Kilograms per constant USD,Biomass,0.4267
2016,"Domestic material consumption per unit of GDP, by type of raw material (kilograms per constant 2020 United States dollars)",Kilograms per constant USD,Biomass,0.48149
2017,"Domestic material consumption per unit of GDP, by type of raw material (kilograms per constant 2020 United States dollars)",Kilograms per constant USD,Biomass,0.39055
2018,"Domestic material consumption per unit of GDP, by type of raw material (kilograms per constant 2020 United States dollars)",Kilograms per constant USD,Biomass,0.45929
2019,"Domestic material consumption per unit of GDP, by type of raw material (kilograms per constant 2020 United States dollars)",Kilograms per constant USD,Biomass,0.44831
2020,"Domestic material consumption per unit of GDP, by type of raw material (kilograms per constant 2020 United States dollars)",Kilograms per constant USD,Biomass,0.47362
2021,"Domestic material consumption per unit of GDP, by type of raw material (kilograms per constant 2020 United States dollars)",Kilograms per constant USD,Biomass,0.36629
2022,"Domestic material consumption per unit of GDP, by type of raw material (kilograms per constant 2020 United States dollars)",Kilograms per constant USD,Biomass,0.34527
2023,"Domestic material consumption per unit of GDP, by type of raw material (kilograms per constant 2020 United States dollars)",Kilograms per constant USD,Biomass,0.31863
2015,"Domestic material consumption per unit of GDP, by type of raw material (kilograms per constant 2020 United States dollars)",Kilograms per constant USD,Fossil fuels,0.77444
2016,"Domestic material consumption per unit of GDP, by type of raw material (kilograms per constant 2020 United States dollars)",Kilograms per constant USD,Fossil fuels,0.83416
2017,"Domestic material consumption per unit of GDP, by type of raw material (kilograms per constant 2020 United States dollars)",Kilograms per constant USD,Fossil fuels,0.83564
2018,"Domestic material consumption per unit of GDP, by type of raw material (kilograms per constant 2020 United States dollars)",Kilograms per constant USD,Fossil fuels,0.82493
2019,"Domestic material consumption per unit of GDP, by type of raw material (kilograms per constant 2020 United States dollars)",Kilograms per constant USD,Fossil fuels,0.75798
2020,"Domestic material consumption per unit of GDP, by type of raw material (kilograms per constant 2020 United States dollars)",Kilograms per constant USD,Fossil fuels,0.76869
2021,"Domestic material consumption per unit of GDP, by type of raw material (kilograms per constant 2020 United States dollars)",Kilograms per constant USD,Fossil fuels,0.69684
2022,"Domestic material consumption per unit of GDP, by type of raw material (kilograms per constant 2020 United States dollars)",Kilograms per constant USD,Fossil fuels,0.65817
2023,"Domestic material consumption per unit of GDP, by type of raw material (kilograms per constant 2020 United States dollars)",Kilograms per constant USD,Fossil fuels,0.58957
2015,"Domestic material consumption per unit of GDP, by type of raw material (kilograms per constant 2020 United States dollars)",Kilograms per constant USD,Metal ores,0.16023
2016,"Domestic material consumption per unit of GDP, by type of raw material (kilograms per constant 2020 United States dollars)",Kilograms per constant USD,Metal ores,0.13388
2017,"Domestic material consumption per unit of GDP, by type of raw material (kilograms per constant 2020 United States dollars)",Kilograms per constant USD,Metal ores,0.12389
2018,"Domestic material consumption per unit of GDP, by type of raw material (kilograms per constant 2020 United States dollars)",Kilograms per constant USD,Metal ores,0.11845
2019,"Domestic material consumption per unit of GDP, by type of raw material (kilograms per constant 2020 United States dollars)",Kilograms per constant USD,Metal ores,0.13636
2020,"Domestic material consumption per unit of GDP, by type of raw material (kilograms per constant 2020 United States dollars)",Kilograms per constant USD,Metal ores,0.10104
2021,"Domestic material consumption per unit of GDP, by type of raw material (kilograms per constant 2020 United States dollars)",Kilograms per constant USD,Metal ores,0.09982
2022,"Domestic material consumption per unit of GDP, by type of raw material (kilograms per constant 2020 United States dollars)",Kilograms per constant USD,Metal ores,0.10196
2023,"Domestic material consumption per unit of GDP, by type of raw material (kilograms per constant 2020 United States dollars)",Kilograms per constant USD,Metal ores,0.0991
2015,"Domestic material consumption per unit of GDP, by type of raw material (kilograms per constant 2020 United States dollars)",Kilograms per constant USD,Non-metallic minerals,0.52086
2016,"Domestic material consumption per unit of GDP, by type of raw material (kilograms per constant 2020 United States dollars)",Kilograms per constant USD,Non-metallic minerals,0.58621
2017,"Domestic material consumption per unit of GDP, by type of raw material (kilograms per constant 2020 United States dollars)",Kilograms per constant USD,Non-metallic minerals,0.47137
2018,"Domestic material consumption per unit of GDP, by type of raw material (kilograms per constant 2020 United States dollars)",Kilograms per constant USD,Non-metallic minerals,0.45333
2019,"Domestic material consumption per unit of GDP, by type of raw material (kilograms per constant 2020 United States dollars)",Kilograms per constant USD,Non-metallic minerals,0.47468
2020,"Domestic material consumption per unit of GDP, by type of raw material (kilograms per constant 2020 United States dollars)",Kilograms per constant USD,Non-metallic minerals,0.53088
