Year,SERIES,UNIT_MEASURE,Sex,Value
2000,Proportion of individuals using the Internet (%),Percent,Both sexes,1.08
2001,Proportion of individuals using the Internet (%),Percent,Both sexes,1.2
2002,Proportion of individuals using the Internet (%),Percent,Both sexes,2.65
2003,Proportion of individuals using the Internet (%),Percent,Both sexes,3.97
2004,Proportion of individuals using the Internet (%),Percent,Both sexes,15.47
2005,Proportion of individuals using the Internet (%),Percent,Both sexes,21.33
2006,Proportion of individuals using the Internet (%),Percent,Both sexes,25.12
2007,Proportion of individuals using the Internet (%),Percent,Both sexes,27.92
2008,Proportion of individuals using the Internet (%),Percent,Both sexes,34.66
2009,Proportion of individuals using the Internet (%),Percent,Both sexes,37.74
2010,Proportion of individuals using the Internet (%),Percent,Both sexes,42.75
2011,Proportion of individuals using the Internet (%),Percent,Both sexes,43.89
2012,Proportion of individuals using the Internet (%),Percent,Both sexes,45.06
2013,Proportion of individuals using the Internet (%),Percent,Both sexes,48.52
2014,Proportion of individuals using the Internet (%),Percent,Both sexes,49.92
2015,Proportion of individuals using the Internet (%),Percent,Both sexes,52.6
2016,Proportion of individuals using the Internet (%),Percent,Both sexes,60.26
2016,Proportion of individuals using the Internet (%),Percent,Female,57.31
2016,Proportion of individuals using the Internet (%),Percent,Male,63.59
2017,Proportion of individuals using the Internet (%),Percent,Both sexes,64.89
2017,Proportion of individuals using the Internet (%),Percent,Female,62.49
2017,Proportion of individuals using the Internet (%),Percent,Male,67.58
2018,Proportion of individuals using the Internet (%),Percent,Both sexes,70.12
2018,Proportion of individuals using the Internet (%),Percent,Female,68.34
2018,Proportion of individuals using the Internet (%),Percent,Male,72.4
2019,Proportion of individuals using the Internet (%),Percent,Both sexes,69.95
2019,Proportion of individuals using the Internet (%),Percent,Female,67.45
2019,Proportion of individuals using the Internet (%),Percent,Male,72.82
2020,Proportion of individuals using the Internet (%),Percent,Both sexes,73.21
2020,Proportion of individuals using the Internet (%),Percent,Female,69.31
2020,Proportion of individuals using the Internet (%),Percent,Male,77.82
2021,Proportion of individuals using the Internet (%),Percent,Both sexes,75.68
2021,Proportion of individuals using the Internet (%),Percent,Female,72.66
2021,Proportion of individuals using the Internet (%),Percent,Male,79.18
2022,Proportion of individuals using the Internet (%),Percent,Both sexes,78.85
2022,Proportion of individuals using the Internet (%),Percent,Female,76.97
2022,Proportion of individuals using the Internet (%),Percent,Male,80.8
2023,Proportion of individuals using the Internet (%),Percent,Both sexes,83.38
2023,Proportion of individuals using the Internet (%),Percent,Female,83.01
2023,Proportion of individuals using the Internet (%),Percent,Male,83.72
2024,Proportion of individuals using the Internet (%),Percent,Both sexes,86.1
2024,Proportion of individuals using the Internet (%),Percent,Female,84.72
2024,Proportion of individuals using the Internet (%),Percent,Male,87.3
