Year,SERIES,UNIT_MEASURE,Education level,Sex,COMPOSITE_BREAKDOWN,Value
2018,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics,Percent,Lower secondary education,Both sexes,Mathematics,42.44
2018,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics,Percent,Lower secondary education,Both sexes,Reading,46.32
2018,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics,Percent,Lower secondary education,Male,Reading,38.29
2018,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics,Percent,Lower secondary education,Female,Reading,54.77
2019,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics,Percent,Primary education,Female,Mathematics,36.47
2023,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics,Percent,Primary education,Female,Mathematics,35.92
2019,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics,Percent,Primary education,Male,Mathematics,42.57
2023,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics,Percent,Primary education,Male,Mathematics,39.23
2019,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics,Percent,Primary education,Both sexes,Mathematics,39.55
2023,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics,Percent,Primary education,Both sexes,Mathematics,37.59
