Year,UNIT_MEASURE,Type,Value
a)January,IX,Total retail trade 2020,133.7
b)February,IX,Total retail trade 2020,137.5
c)March,IX,Total retail trade 2020,119.8
d)April,IX,Total retail trade 2020,85.0
e)May,IX,Total retail trade 2020,111.7
f)June,IX,Total retail trade 2020,120.8
g)July,IX,Total retail trade 2020,114.0
h)August,IX,Total retail trade 2020,11.7
i)September,IX,Total retail trade 2020,121.5
j)October,IX,Total retail trade 2020,120.3
k)November,IX,Total retail trade 2020,121.5
l)December,IX,Total retail trade 2020,123.1
a)January,IX,Total retail trade 2021,128.7
b)February,IX,Total retail trade 2021,133.6
c)March,IX,Total retail trade 2021,129.9
