Year,SERIES,UNIT_MEASURE,Degree of urbanisation,Value
2000,Proportion of population using basic drinking water services,Percent,Total,97.2697
2001,Proportion of population using basic drinking water services,Percent,Total,97.22156
2002,Proportion of population using basic drinking water services,Percent,Total,97.17081
2003,Proportion of population using basic drinking water services,Percent,Total,97.11741
2004,Proportion of population using basic drinking water services,Percent,Total,97.0614
2005,Proportion of population using basic drinking water services,Percent,Total,97.00271
2006,Proportion of population using basic drinking water services,Percent,Total,96.94138
2007,Proportion of population using basic drinking water services,Percent,Total,96.8774
2008,Proportion of population using basic drinking water services,Percent,Total,96.81075
2009,Proportion of population using basic drinking water services,Percent,Total,96.74145
2010,Proportion of population using basic drinking water services,Percent,Total,96.66949
2011,Proportion of population using basic drinking water services,Percent,Total,96.59487
2012,Proportion of population using basic drinking water services,Percent,Total,96.45003
2013,Proportion of population using basic drinking water services,Percent,Total,96.352
2014,Proportion of population using basic drinking water services,Percent,Total,96.16813
2015,Proportion of population using basic drinking water services,Percent,Total,96.15984
2016,Proportion of population using basic drinking water services,Percent,Total,96.15126
2017,Proportion of population using basic drinking water services,Percent,Total,96.14236
2000,Proportion of population using basic drinking water services,Percent,Rural,96.25556
2001,Proportion of population using basic drinking water services,Percent,Rural,96.35999
2002,Proportion of population using basic drinking water services,Percent,Rural,96.46407
2003,Proportion of population using basic drinking water services,Percent,Rural,96.56778
2004,Proportion of population using basic drinking water services,Percent,Rural,96.67113
2005,Proportion of population using basic drinking water services,Percent,Rural,96.77412
2006,Proportion of population using basic drinking water services,Percent,Rural,96.87676
2007,Proportion of population using basic drinking water services,Percent,Rural,96.97903
2008,Proportion of population using basic drinking water services,Percent,Rural,97.08093
2009,Proportion of population using basic drinking water services,Percent,Rural,97.18248
2010,Proportion of population using basic drinking water services,Percent,Rural,97.28367
2011,Proportion of population using basic drinking water services,Percent,Rural,97.3845
2012,Proportion of population using basic drinking water services,Percent,Rural,97.35945
2013,Proportion of population using basic drinking water services,Percent,Rural,97.425
2014,Proportion of population using basic drinking water services,Percent,Rural,97.33333
2015,Proportion of population using basic drinking water services,Percent,Rural,97.33333
2016,Proportion of population using basic drinking water services,Percent,Rural,97.33333
2017,Proportion of population using basic drinking water services,Percent,Rural,97.33333
2000,Proportion of population using basic drinking water services,Percent,Urban,98.64831
2001,Proportion of population using basic drinking water services,Percent,Urban,98.3778
2002,Proportion of population using basic drinking water services,Percent,Urban,98.10712
2003,Proportion of population using basic drinking water services,Percent,Urban,97.83626
2004,Proportion of population using basic drinking water services,Percent,Urban,97.56524
2005,Proportion of population using basic drinking water services,Percent,Urban,97.29405
2006,Proportion of population using basic drinking water services,Percent,Urban,97.02269
2007,Proportion of population using basic drinking water services,Percent,Urban,96.75116
2008,Proportion of population using basic drinking water services,Percent,Urban,96.47946
2009,Proportion of population using basic drinking water services,Percent,Urban,96.20759
2010,Proportion of population using basic drinking water services,Percent,Urban,95.93555
2011,Proportion of population using basic drinking water services,Percent,Urban,95.66334
2012,Proportion of population using basic drinking water services,Percent,Urban,95.39097
2013,Proportion of population using basic drinking water services,Percent,Urban,95.11842
2014,Proportion of population using basic drinking water services,Percent,Urban,94.8457
2015,Proportion of population using basic drinking water services,Percent,Urban,94.8457
2016,Proportion of population using basic drinking water services,Percent,Urban,94.8457
2017,Proportion of population using basic drinking water services,Percent,Urban,94.8457
2000,Proportion of population using basic sanitation services,Percent,Total,95.07844
2001,Proportion of population using basic sanitation services,Percent,Total,95.08796
2002,Proportion of population using basic sanitation services,Percent,Total,95.09814
2003,Proportion of population using basic sanitation services,Percent,Total,95.10886
2004,Proportion of population using basic sanitation services,Percent,Total,95.12025
2005,Proportion of population using basic sanitation services,Percent,Total,95.13579
2006,Proportion of population using basic sanitation services,Percent,Total,95.15163
2007,Proportion of population using basic sanitation services,Percent,Total,95.1679
2008,Proportion of population using basic sanitation services,Percent,Total,95.18446
2009,Proportion of population using basic sanitation services,Percent,Total,95.20132
2010,Proportion of population using basic sanitation services,Percent,Total,95.21849
2011,Proportion of population using basic sanitation services,Percent,Total,95.23601
2012,Proportion of population using basic sanitation services,Percent,Total,95.25391
2013,Proportion of population using basic sanitation services,Percent,Total,95.27204
2014,Proportion of population using basic sanitation services,Percent,Total,95.29053
2015,Proportion of population using basic sanitation services,Percent,Total,95.31294
2016,Proportion of population using basic sanitation services,Percent,Total,95.33615
2017,Proportion of population using basic sanitation services,Percent,Total,95.36024
2000,Proportion of population using basic sanitation services,Percent,Rural,92.58207
2001,Proportion of population using basic sanitation services,Percent,Rural,92.53648
2002,Proportion of population using basic sanitation services,Percent,Rural,92.4909
2003,Proportion of population using basic sanitation services,Percent,Rural,92.44531
2004,Proportion of population using basic sanitation services,Percent,Rural,92.39972
2005,Proportion of population using basic sanitation services,Percent,Rural,92.37374
2006,Proportion of population using basic sanitation services,Percent,Rural,92.34775
2007,Proportion of population using basic sanitation services,Percent,Rural,92.32174
2008,Proportion of population using basic sanitation services,Percent,Rural,92.2957
2009,Proportion of population using basic sanitation services,Percent,Rural,92.26965
2010,Proportion of population using basic sanitation services,Percent,Rural,92.24358
2011,Proportion of population using basic sanitation services,Percent,Rural,92.21749
2012,Proportion of population using basic sanitation services,Percent,Rural,92.19138
2013,Proportion of population using basic sanitation services,Percent,Rural,92.16525
2014,Proportion of population using basic sanitation services,Percent,Rural,92.1391
2015,Proportion of population using basic sanitation services,Percent,Rural,92.1391
2016,Proportion of population using basic sanitation services,Percent,Rural,92.1391
2017,Proportion of population using basic sanitation services,Percent,Rural,92.1391
2000,Proportion of population using basic sanitation services,Percent,Urban,98.47197
2001,Proportion of population using basic sanitation services,Percent,Urban,98.51213
2002,Proportion of population using basic sanitation services,Percent,Urban,98.55228
2003,Proportion of population using basic sanitation services,Percent,Urban,98.59244
2004,Proportion of population using basic sanitation services,Percent,Urban,98.6326
2005,Proportion of population using basic sanitation services,Percent,Urban,98.65612
2006,Proportion of population using basic sanitation services,Percent,Urban,98.67962
2007,Proportion of population using basic sanitation services,Percent,Urban,98.70312
2008,Proportion of population using basic sanitation services,Percent,Urban,98.72659
2009,Proportion of population using basic sanitation services,Percent,Urban,98.75006
2010,Proportion of population using basic sanitation services,Percent,Urban,98.77351
2011,Proportion of population using basic sanitation services,Percent,Urban,98.79695
2012,Proportion of population using basic sanitation services,Percent,Urban,98.82037
2013,Proportion of population using basic sanitation services,Percent,Urban,98.84378
2014,Proportion of population using basic sanitation services,Percent,Urban,98.86718
2015,Proportion of population using basic sanitation services,Percent,Urban,98.86718
2016,Proportion of population using basic sanitation services,Percent,Urban,98.86718
2017,Proportion of population using basic sanitation services,Percent,Urban,98.86718
