Year,SERIES,UNIT_MEASURE,Age,Sex,Value
2000,Children moderately or severely stunted (number),THOUSANDS,under 5 years old,Both sexes,29.6
2001,Children moderately or severely stunted (number),THOUSANDS,under 5 years old,Both sexes,27.4
2002,Children moderately or severely stunted (number),THOUSANDS,under 5 years old,Both sexes,25.9
2003,Children moderately or severely stunted (number),THOUSANDS,under 5 years old,Both sexes,24.3
2004,Children moderately or severely stunted (number),THOUSANDS,under 5 years old,Both sexes,23.1
2005,Children moderately or severely stunted (number),THOUSANDS,under 5 years old,Both sexes,22.3
2006,Children moderately or severely stunted (number),THOUSANDS,under 5 years old,Both sexes,21.6
2007,Children moderately or severely stunted (number),THOUSANDS,under 5 years old,Both sexes,21.0
2008,Children moderately or severely stunted (number),THOUSANDS,under 5 years old,Both sexes,19.9
2009,Children moderately or severely stunted (number),THOUSANDS,under 5 years old,Both sexes,18.7
2010,Children moderately or severely stunted (number),THOUSANDS,under 5 years old,Both sexes,17.6
2011,Children moderately or severely stunted (number),THOUSANDS,under 5 years old,Both sexes,16.5
2012,Children moderately or severely stunted (number),THOUSANDS,under 5 years old,Both sexes,15.3
2013,Children moderately or severely stunted (number),THOUSANDS,under 5 years old,Both sexes,14.5
2014,Children moderately or severely stunted (number),THOUSANDS,under 5 years old,Both sexes,13.8
2015,Children moderately or severely stunted (number),THOUSANDS,under 5 years old,Both sexes,13.1
2016,Children moderately or severely stunted (number),THOUSANDS,under 5 years old,Both sexes,12.6
2017,Children moderately or severely stunted (number),THOUSANDS,under 5 years old,Both sexes,12.2
2018,Children moderately or severely stunted (number),THOUSANDS,under 5 years old,Both sexes,11.9
2019,Children moderately or severely stunted (number),THOUSANDS,under 5 years old,Both sexes,11.7
2020,Children moderately or severely stunted (number),THOUSANDS,under 5 years old,Both sexes,11.4
2021,Children moderately or severely stunted (number),THOUSANDS,under 5 years old,Both sexes,11.1
2022,Children moderately or severely stunted (number),THOUSANDS,under 5 years old,Both sexes,10.8
2023,Children moderately or severely stunted (number),THOUSANDS,under 5 years old,Both sexes,10.4
2024,Children moderately or severely stunted (number),THOUSANDS,under 5 years old,Both sexes,10.0
2000,Children moderately or severely stunted (number),THOUSANDS,under 5 years old,Female,13.4
2001,Children moderately or severely stunted (number),THOUSANDS,under 5 years old,Female,12.4
2002,Children moderately or severely stunted (number),THOUSANDS,under 5 years old,Female,11.7
2003,Children moderately or severely stunted (number),THOUSANDS,under 5 years old,Female,11.0
2004,Children moderately or severely stunted (number),THOUSANDS,under 5 years old,Female,10.5
2005,Children moderately or severely stunted (number),THOUSANDS,under 5 years old,Female,10.1
2006,Children moderately or severely stunted (number),THOUSANDS,under 5 years old,Female,9.8
2007,Children moderately or severely stunted (number),THOUSANDS,under 5 years old,Female,9.5
2008,Children moderately or severely stunted (number),THOUSANDS,under 5 years old,Female,9.0
2009,Children moderately or severely stunted (number),THOUSANDS,under 5 years old,Female,8.5
2010,Children moderately or severely stunted (number),THOUSANDS,under 5 years old,Female,8.0
2011,Children moderately or severely stunted (number),THOUSANDS,under 5 years old,Female,7.5
2012,Children moderately or severely stunted (number),THOUSANDS,under 5 years old,Female,6.9
2013,Children moderately or severely stunted (number),THOUSANDS,under 5 years old,Female,6.6
2014,Children moderately or severely stunted (number),THOUSANDS,under 5 years old,Female,6.2
2015,Children moderately or severely stunted (number),THOUSANDS,under 5 years old,Female,5.9
2016,Children moderately or severely stunted (number),THOUSANDS,under 5 years old,Female,5.7
2017,Children moderately or severely stunted (number),THOUSANDS,under 5 years old,Female,5.5
2018,Children moderately or severely stunted (number),THOUSANDS,under 5 years old,Female,5.4
2019,Children moderately or severely stunted (number),THOUSANDS,under 5 years old,Female,5.3
2020,Children moderately or severely stunted (number),THOUSANDS,under 5 years old,Female,5.1
2021,Children moderately or severely stunted (number),THOUSANDS,under 5 years old,Female,5.0
2022,Children moderately or severely stunted (number),THOUSANDS,under 5 years old,Female,4.9
2023,Children moderately or severely stunted (number),THOUSANDS,under 5 years old,Female,4.7
2024,Children moderately or severely stunted (number),THOUSANDS,under 5 years old,Female,4.5
2000,Children moderately or severely stunted (number),THOUSANDS,under 5 years old,Male,16.2
2001,Children moderately or severely stunted (number),THOUSANDS,under 5 years old,Male,15.0
2002,Children moderately or severely stunted (number),THOUSANDS,under 5 years old,Male,14.2
2003,Children moderately or severely stunted (number),THOUSANDS,under 5 years old,Male,13.3
2004,Children moderately or severely stunted (number),THOUSANDS,under 5 years old,Male,12.6
2005,Children moderately or severely stunted (number),THOUSANDS,under 5 years old,Male,12.2
2006,Children moderately or severely stunted (number),THOUSANDS,under 5 years old,Male,11.8
2007,Children moderately or severely stunted (number),THOUSANDS,under 5 years old,Male,11.5
2008,Children moderately or severely stunted (number),THOUSANDS,under 5 years old,Male,10.9
2009,Children moderately or severely stunted (number),THOUSANDS,under 5 years old,Male,10.3
2010,Children moderately or severely stunted (number),THOUSANDS,under 5 years old,Male,9.6
2011,Children moderately or severely stunted (number),THOUSANDS,under 5 years old,Male,9.0
2012,Children moderately or severely stunted (number),THOUSANDS,under 5 years old,Male,8.4
2013,Children moderately or severely stunted (number),THOUSANDS,under 5 years old,Male,7.9
2014,Children moderately or severely stunted (number),THOUSANDS,under 5 years old,Male,7.5
2015,Children moderately or severely stunted (number),THOUSANDS,under 5 years old,Male,7.2
2016,Children moderately or severely stunted (number),THOUSANDS,under 5 years old,Male,6.9
2017,Children moderately or severely stunted (number),THOUSANDS,under 5 years old,Male,6.7
2018,Children moderately or severely stunted (number),THOUSANDS,under 5 years old,Male,6.6
2019,Children moderately or severely stunted (number),THOUSANDS,under 5 years old,Male,6.4
2020,Children moderately or severely stunted (number),THOUSANDS,under 5 years old,Male,6.3
2021,Children moderately or severely stunted (number),THOUSANDS,under 5 years old,Male,6.1
2022,Children moderately or severely stunted (number),THOUSANDS,under 5 years old,Male,6.0
2023,Children moderately or severely stunted (number),THOUSANDS,under 5 years old,Male,5.7
2024,Children moderately or severely stunted (number),THOUSANDS,under 5 years old,Male,5.5
2000,Proportion of children moderately or severely stunted,Percent,under 5 years old,Both sexes,12.5
2001,Proportion of children moderately or severely stunted,Percent,under 5 years old,Both sexes,11.8
2002,Proportion of children moderately or severely stunted,Percent,under 5 years old,Both sexes,11.6
2003,Proportion of children moderately or severely stunted,Percent,under 5 years old,Both sexes,11.3
2004,Proportion of children moderately or severely stunted,Percent,under 5 years old,Both sexes,11.2
2005,Proportion of children moderately or severely stunted,Percent,under 5 years old,Both sexes,11.1
2006,Proportion of children moderately or severely stunted,Percent,under 5 years old,Both sexes,10.9
2007,Proportion of children moderately or severely stunted,Percent,under 5 years old,Both sexes,10.9
2008,Proportion of children moderately or severely stunted,Percent,under 5 years old,Both sexes,10.6
2009,Proportion of children moderately or severely stunted,Percent,under 5 years old,Both sexes,10.3
2010,Proportion of children moderately or severely stunted,Percent,under 5 years old,Both sexes,9.9
2011,Proportion of children moderately or severely stunted,Percent,under 5 years old,Both sexes,9.6
2012,Proportion of children moderately or severely stunted,Percent,under 5 years old,Both sexes,9.2
2013,Proportion of children moderately or severely stunted,Percent,under 5 years old,Both sexes,9.0
2014,Proportion of children moderately or severely stunted,Percent,under 5 years old,Both sexes,8.8
2015,Proportion of children moderately or severely stunted,Percent,under 5 years old,Both sexes,8.7
2016,Proportion of children moderately or severely stunted,Percent,under 5 years old,Both sexes,8.6
2017,Proportion of children moderately or severely stunted,Percent,under 5 years old,Both sexes,8.5
2018,Proportion of children moderately or severely stunted,Percent,under 5 years old,Both sexes,8.4
2019,Proportion of children moderately or severely stunted,Percent,under 5 years old,Both sexes,8.3
2020,Proportion of children moderately or severely stunted,Percent,under 5 years old,Both sexes,8.2
2021,Proportion of children moderately or severely stunted,Percent,under 5 years old,Both sexes,8.1
2022,Proportion of children moderately or severely stunted,Percent,under 5 years old,Both sexes,8.1
2023,Proportion of children moderately or severely stunted,Percent,under 5 years old,Both sexes,8.0
2024,Proportion of children moderately or severely stunted,Percent,under 5 years old,Both sexes,7.9
2000,Proportion of children moderately or severely stunted,Percent,under 5 years old,Female,11.7
2001,Proportion of children moderately or severely stunted,Percent,under 5 years old,Female,11.1
2002,Proportion of children moderately or severely stunted,Percent,under 5 years old,Female,10.8
2003,Proportion of children moderately or severely stunted,Percent,under 5 years old,Female,10.6
2004,Proportion of children moderately or severely stunted,Percent,under 5 years old,Female,10.5
2005,Proportion of children moderately or severely stunted,Percent,under 5 years old,Female,10.4
2006,Proportion of children moderately or severely stunted,Percent,under 5 years old,Female,10.3
2007,Proportion of children moderately or severely stunted,Percent,under 5 years old,Female,10.2
2008,Proportion of children moderately or severely stunted,Percent,under 5 years old,Female,10.0
2009,Proportion of children moderately or severely stunted,Percent,under 5 years old,Female,9.7
2010,Proportion of children moderately or severely stunted,Percent,under 5 years old,Female,9.4
2011,Proportion of children moderately or severely stunted,Percent,under 5 years old,Female,9.0
2012,Proportion of children moderately or severely stunted,Percent,under 5 years old,Female,8.7
2013,Proportion of children moderately or severely stunted,Percent,under 5 years old,Female,8.5
2014,Proportion of children moderately or severely stunted,Percent,under 5 years old,Female,8.3
