Year,SERIES,UNIT_MEASURE,Degree of urbanisation,Value
2000,"Proportion of population using safely managed drinking water services, by urban / rural (%)",Percent,All areas,87.47
2001,"Proportion of population using safely managed drinking water services, by urban / rural (%)",Percent,All areas,87.56
2002,"Proportion of population using safely managed drinking water services, by urban / rural (%)",Percent,All areas,87.65
2003,"Proportion of population using safely managed drinking water services, by urban / rural (%)",Percent,All areas,87.74
2004,"Proportion of population using safely managed drinking water services, by urban / rural (%)",Percent,All areas,87.83
2005,"Proportion of population using safely managed drinking water services, by urban / rural (%)",Percent,All areas,87.91
2006,"Proportion of population using safely managed drinking water services, by urban / rural (%)",Percent,All areas,88.0
2007,"Proportion of population using safely managed drinking water services, by urban / rural (%)",Percent,All areas,88.09
2008,"Proportion of population using safely managed drinking water services, by urban / rural (%)",Percent,All areas,88.18
2009,"Proportion of population using safely managed drinking water services, by urban / rural (%)",Percent,All areas,88.26
2010,"Proportion of population using safely managed drinking water services, by urban / rural (%)",Percent,All areas,88.34
2011,"Proportion of population using safely managed drinking water services, by urban / rural (%)",Percent,All areas,88.43
2012,"Proportion of population using safely managed drinking water services, by urban / rural (%)",Percent,All areas,88.51
2013,"Proportion of population using safely managed drinking water services, by urban / rural (%)",Percent,All areas,88.59
2014,"Proportion of population using safely managed drinking water services, by urban / rural (%)",Percent,All areas,88.67
2015,"Proportion of population using safely managed drinking water services, by urban / rural (%)",Percent,All areas,88.74
2016,"Proportion of population using safely managed drinking water services, by urban / rural (%)",Percent,All areas,88.76
2017,"Proportion of population using safely managed drinking water services, by urban / rural (%)",Percent,All areas,88.86
2018,"Proportion of population using safely managed drinking water services, by urban / rural (%)",Percent,All areas,88.86
2019,"Proportion of population using safely managed drinking water services, by urban / rural (%)",Percent,All areas,88.74
2020,"Proportion of population using safely managed drinking water services, by urban / rural (%)",Percent,All areas,88.15
2021,"Proportion of population using safely managed drinking water services, by urban / rural (%)",Percent,All areas,87.56
2022,"Proportion of population using safely managed drinking water services, by urban / rural (%)",Percent,All areas,86.98
2023,"Proportion of population using safely managed drinking water services, by urban / rural (%)",Percent,All areas,86.4
2024,"Proportion of population using safely managed drinking water services, by urban / rural (%)",Percent,All areas,86.4
