Year,SERIES,UNIT_MEASURE,Sex,Value
2010,"Participation rate in organized learning (one year before the official primary entry age), by sex (%)",Percent,Both sexes,12.29534
2011,"Participation rate in organized learning (one year before the official primary entry age), by sex (%)",Percent,Both sexes,13.09235
2012,"Participation rate in organized learning (one year before the official primary entry age), by sex (%)",Percent,Both sexes,13.80968
2016,"Participation rate in organized learning (one year before the official primary entry age), by sex (%)",Percent,Both sexes,19.94846
2017,"Participation rate in organized learning (one year before the official primary entry age), by sex (%)",Percent,Both sexes,22.85772
2018,"Participation rate in organized learning (one year before the official primary entry age), by sex (%)",Percent,Both sexes,23.66203
2019,"Participation rate in organized learning (one year before the official primary entry age), by sex (%)",Percent,Both sexes,31.28761
2021,"Participation rate in organized learning (one year before the official primary entry age), by sex (%)",Percent,Both sexes,31.5854
2022,"Participation rate in organized learning (one year before the official primary entry age), by sex (%)",Percent,Both sexes,35.27776
2023,"Participation rate in organized learning (one year before the official primary entry age), by sex (%)",Percent,Both sexes,37.495
2010,"Participation rate in organized learning (one year before the official primary entry age), by sex (%)",Percent,Female,12.22313
2011,"Participation rate in organized learning (one year before the official primary entry age), by sex (%)",Percent,Female,12.78877
2012,"Participation rate in organized learning (one year before the official primary entry age), by sex (%)",Percent,Female,13.69255
2016,"Participation rate in organized learning (one year before the official primary entry age), by sex (%)",Percent,Female,19.74354
2017,"Participation rate in organized learning (one year before the official primary entry age), by sex (%)",Percent,Female,22.57974
2018,"Participation rate in organized learning (one year before the official primary entry age), by sex (%)",Percent,Female,23.95424
2019,"Participation rate in organized learning (one year before the official primary entry age), by sex (%)",Percent,Female,31.07453
2021,"Participation rate in organized learning (one year before the official primary entry age), by sex (%)",Percent,Female,31.89391
2022,"Participation rate in organized learning (one year before the official primary entry age), by sex (%)",Percent,Female,34.81689
2023,"Participation rate in organized learning (one year before the official primary entry age), by sex (%)",Percent,Female,37.48305
2010,"Participation rate in organized learning (one year before the official primary entry age), by sex (%)",Percent,Male,12.36276
2011,"Participation rate in organized learning (one year before the official primary entry age), by sex (%)",Percent,Male,13.37597
2012,"Participation rate in organized learning (one year before the official primary entry age), by sex (%)",Percent,Male,13.91888
2016,"Participation rate in organized learning (one year before the official primary entry age), by sex (%)",Percent,Male,20.13901
2017,"Participation rate in organized learning (one year before the official primary entry age), by sex (%)",Percent,Male,23.11639
2018,"Participation rate in organized learning (one year before the official primary entry age), by sex (%)",Percent,Male,23.38979
2019,"Participation rate in organized learning (one year before the official primary entry age), by sex (%)",Percent,Male,31.48628
2021,"Participation rate in organized learning (one year before the official primary entry age), by sex (%)",Percent,Male,31.2975
2022,"Participation rate in organized learning (one year before the official primary entry age), by sex (%)",Percent,Male,35.70772
2023,"Participation rate in organized learning (one year before the official primary entry age), by sex (%)",Percent,Male,37.50615
