Year,SERIES,UNIT_MEASURE,Sex,Value
2000,"Mortality rate attributed to unintentional poisonings, by sex (deaths per 100,000 population)","Per 100,000 population",Both sexes,2.0
2005,"Mortality rate attributed to unintentional poisonings, by sex (deaths per 100,000 population)","Per 100,000 population",Both sexes,1.9
2010,"Mortality rate attributed to unintentional poisonings, by sex (deaths per 100,000 population)","Per 100,000 population",Both sexes,2.0
2015,"Mortality rate attributed to unintentional poisonings, by sex (deaths per 100,000 population)","Per 100,000 population",Both sexes,2.1
2019,"Mortality rate attributed to unintentional poisonings, by sex (deaths per 100,000 population)","Per 100,000 population",Both sexes,2.0
2020,"Mortality rate attributed to unintentional poisonings, by sex (deaths per 100,000 population)","Per 100,000 population",Both sexes,2.0
2021,"Mortality rate attributed to unintentional poisonings, by sex (deaths per 100,000 population)","Per 100,000 population",Both sexes,1.9
2000,"Mortality rate attributed to unintentional poisonings, by sex (deaths per 100,000 population)","Per 100,000 population",Female,1.6
2005,"Mortality rate attributed to unintentional poisonings, by sex (deaths per 100,000 population)","Per 100,000 population",Female,1.5
2010,"Mortality rate attributed to unintentional poisonings, by sex (deaths per 100,000 population)","Per 100,000 population",Female,1.6
2015,"Mortality rate attributed to unintentional poisonings, by sex (deaths per 100,000 population)","Per 100,000 population",Female,1.7
2019,"Mortality rate attributed to unintentional poisonings, by sex (deaths per 100,000 population)","Per 100,000 population",Female,1.8
2020,"Mortality rate attributed to unintentional poisonings, by sex (deaths per 100,000 population)","Per 100,000 population",Female,1.8
2021,"Mortality rate attributed to unintentional poisonings, by sex (deaths per 100,000 population)","Per 100,000 population",Female,1.8
2000,"Mortality rate attributed to unintentional poisonings, by sex (deaths per 100,000 population)","Per 100,000 population",Male,2.5
2005,"Mortality rate attributed to unintentional poisonings, by sex (deaths per 100,000 population)","Per 100,000 population",Male,2.4
2010,"Mortality rate attributed to unintentional poisonings, by sex (deaths per 100,000 population)","Per 100,000 population",Male,2.3
2015,"Mortality rate attributed to unintentional poisonings, by sex (deaths per 100,000 population)","Per 100,000 population",Male,2.3
2019,"Mortality rate attributed to unintentional poisonings, by sex (deaths per 100,000 population)","Per 100,000 population",Male,2.3
2020,"Mortality rate attributed to unintentional poisonings, by sex (deaths per 100,000 population)","Per 100,000 population",Male,2.2
2021,"Mortality rate attributed to unintentional poisonings, by sex (deaths per 100,000 population)","Per 100,000 population",Male,1.9
