Year,SERIES,UNIT_MEASURE,Sex,AGE,Value
2010,Participation rate in formal and non-formal education and training,Percent,Both sexes,Y15T24,58.6
2011,Participation rate in formal and non-formal education and training,Percent,Both sexes,Y15T24,59.6
2012,Participation rate in formal and non-formal education and training,Percent,Both sexes,Y15T24,61.0
2013,Participation rate in formal and non-formal education and training,Percent,Both sexes,Y15T24,62.5
2014,Participation rate in formal and non-formal education and training,Percent,Both sexes,Y15T24,62.8
2015,Participation rate in formal and non-formal education and training,Percent,Both sexes,Y15T24,60.5
2016,Participation rate in formal and non-formal education and training,Percent,Both sexes,Y15T24,59.8
2017,Participation rate in formal and non-formal education and training,Percent,Both sexes,Y15T24,58.3
2018,Participation rate in formal and non-formal education and training,Percent,Both sexes,Y15T24,58.8
2019,Participation rate in formal and non-formal education and training,Percent,Both sexes,Y15T24,55.5
2020,Participation rate in formal and non-formal education and training,Percent,Both sexes,Y15T24,59.3
2021,Participation rate in formal and non-formal education and training,Percent,Both sexes,Y15T24,60.7
2022,Participation rate in formal and non-formal education and training,Percent,Both sexes,Y15T24,63.7
2023,Participation rate in formal and non-formal education and training,Percent,Both sexes,Y15T24,66.5
2010,Participation rate in formal and non-formal education and training,Percent,Female,Y15T24,62.3
2011,Participation rate in formal and non-formal education and training,Percent,Female,Y15T24,65.1
2012,Participation rate in formal and non-formal education and training,Percent,Female,Y15T24,66.5
2013,Participation rate in formal and non-formal education and training,Percent,Female,Y15T24,67.7
2014,Participation rate in formal and non-formal education and training,Percent,Female,Y15T24,67.7
2015,Participation rate in formal and non-formal education and training,Percent,Female,Y15T24,66.8
2016,Participation rate in formal and non-formal education and training,Percent,Female,Y15T24,66.5
2017,Participation rate in formal and non-formal education and training,Percent,Female,Y15T24,64.7
2018,Participation rate in formal and non-formal education and training,Percent,Female,Y15T24,66.6
2019,Participation rate in formal and non-formal education and training,Percent,Female,Y15T24,59.6
2020,Participation rate in formal and non-formal education and training,Percent,Female,Y15T24,62.6
2021,Participation rate in formal and non-formal education and training,Percent,Female,Y15T24,66.3
2022,Participation rate in formal and non-formal education and training,Percent,Female,Y15T24,69.6
2023,Participation rate in formal and non-formal education and training,Percent,Female,Y15T24,73.4
2010,Participation rate in formal and non-formal education and training,Percent,Male,Y15T24,55.0
2011,Participation rate in formal and non-formal education and training,Percent,Male,Y15T24,54.6
2012,Participation rate in formal and non-formal education and training,Percent,Male,Y15T24,55.7
2013,Participation rate in formal and non-formal education and training,Percent,Male,Y15T24,57.8
2014,Participation rate in formal and non-formal education and training,Percent,Male,Y15T24,58.4
2015,Participation rate in formal and non-formal education and training,Percent,Male,Y15T24,55.0
2016,Participation rate in formal and non-formal education and training,Percent,Male,Y15T24,53.9
2017,Participation rate in formal and non-formal education and training,Percent,Male,Y15T24,53.0
2018,Participation rate in formal and non-formal education and training,Percent,Male,Y15T24,52.3
2019,Participation rate in formal and non-formal education and training,Percent,Male,Y15T24,52.3
2020,Participation rate in formal and non-formal education and training,Percent,Male,Y15T24,56.3
2021,Participation rate in formal and non-formal education and training,Percent,Male,Y15T24,55.5
2022,Participation rate in formal and non-formal education and training,Percent,Male,Y15T24,58.2
2023,Participation rate in formal and non-formal education and training,Percent,Male,Y15T24,60.0
2010,Participation rate in formal and non-formal education and training,Percent,Both sexes,Y15T64,13.4
2011,Participation rate in formal and non-formal education and training,Percent,Both sexes,Y15T64,13.4
