Year,SERIES,UNIT_MEASURE,Sex,Value
2010,Proportion of women in managerial positions - 13th ICLS (%),Percent,Female,23.83
2011,Proportion of women in managerial positions - 13th ICLS (%),Percent,Female,21.42
2012,Proportion of women in managerial positions - 13th ICLS (%),Percent,Female,24.16
2013,Proportion of women in managerial positions - 13th ICLS (%),Percent,Female,22.79
2014,Proportion of women in managerial positions - 13th ICLS (%),Percent,Female,24.15
2015,Proportion of women in managerial positions - 13th ICLS (%),Percent,Female,22.0
2016,Proportion of women in managerial positions - 13th ICLS (%),Percent,Female,21.59
2017,Proportion of women in managerial positions - 13th ICLS (%),Percent,Female,20.29
2018,Proportion of women in managerial positions - 13th ICLS (%),Percent,Female,25.92
2019,Proportion of women in managerial positions - 13th ICLS (%),Percent,Female,24.32
2020,Proportion of women in managerial positions - 13th ICLS (%),Percent,Female,25.12
2021,Proportion of women in managerial positions - 13th ICLS (%),Percent,Female,24.2
2022,Proportion of women in managerial positions - 13th ICLS (%),Percent,Female,24.1
2023,Proportion of women in managerial positions - 13th ICLS (%),Percent,Female,25.9
2010,Proportion of women in senior and middle management positions - 13th ICLS (%),Percent,Female,30.2
2011,Proportion of women in senior and middle management positions - 13th ICLS (%),Percent,Female,22.6
2012,Proportion of women in senior and middle management positions - 13th ICLS (%),Percent,Female,23.0
2013,Proportion of women in senior and middle management positions - 13th ICLS (%),Percent,Female,21.4
2014,Proportion of women in senior and middle management positions - 13th ICLS (%),Percent,Female,24.2
2015,Proportion of women in senior and middle management positions - 13th ICLS (%),Percent,Female,24.2
2016,Proportion of women in senior and middle management positions - 13th ICLS (%),Percent,Female,18.8
2017,Proportion of women in senior and middle management positions - 13th ICLS (%),Percent,Female,18.8
2018,Proportion of women in senior and middle management positions - 13th ICLS (%),Percent,Female,26.1
2019,Proportion of women in senior and middle management positions - 13th ICLS (%),Percent,Female,25.4
2020,Proportion of women in senior and middle management positions - 13th ICLS (%),Percent,Female,24.9
2021,Proportion of women in senior and middle management positions - 13th ICLS (%),Percent,Female,20.2
2022,Proportion of women in senior and middle management positions - 13th ICLS (%),Percent,Female,24.1
2023,Proportion of women in senior and middle management positions - 13th ICLS (%),Percent,Female,27.9
2021,Proportion of women in managerial positions - 19th ICLS (%),Percent,Female,24.18
2022,Proportion of women in managerial positions - 19th ICLS (%),Percent,Female,24.07
2023,Proportion of women in managerial positions - 19th ICLS (%),Percent,Female,25.88
2021,Proportion of women in senior and middle management positions - 19th ICLS (%),Percent,Female,20.17
2022,Proportion of women in senior and middle management positions - 19th ICLS (%),Percent,Female,24.09
2023,Proportion of women in senior and middle management positions - 19th ICLS (%),Percent,Female,27.9
