Year,SERIES,UNIT_MEASURE,Age,Sex,Degree of urbanisation,Value
2015,Prevalence of moderate or severe food insecurity in the population (%),Percent,15 years old and over,Female,All areas,9.8
2016,Prevalence of moderate or severe food insecurity in the population (%),Percent,15 years old and over,Female,All areas,9.3
2017,Prevalence of moderate or severe food insecurity in the population (%),Percent,15 years old and over,Female,All areas,8.0
2018,Prevalence of moderate or severe food insecurity in the population (%),Percent,15 years old and over,Female,All areas,8.4
2019,Prevalence of moderate or severe food insecurity in the population (%),Percent,15 years old and over,Female,All areas,10.4
2020,Prevalence of moderate or severe food insecurity in the population (%),Percent,15 years old and over,Female,All areas,13.9
2021,Prevalence of moderate or severe food insecurity in the population (%),Percent,15 years old and over,Female,All areas,15.5
2022,Prevalence of moderate or severe food insecurity in the population (%),Percent,15 years old and over,Female,All areas,15.6
2023,Prevalence of moderate or severe food insecurity in the population (%),Percent,15 years old and over,Female,All areas,11.7
2015,Prevalence of moderate or severe food insecurity in the population (%),Percent,15 years old and over,Male,All areas,9.4
2016,Prevalence of moderate or severe food insecurity in the population (%),Percent,15 years old and over,Male,All areas,11.2
2017,Prevalence of moderate or severe food insecurity in the population (%),Percent,15 years old and over,Male,All areas,9.4
2018,Prevalence of moderate or severe food insecurity in the population (%),Percent,15 years old and over,Male,All areas,9.9
2019,Prevalence of moderate or severe food insecurity in the population (%),Percent,15 years old and over,Male,All areas,9.7
2020,Prevalence of moderate or severe food insecurity in the population (%),Percent,15 years old and over,Male,All areas,11.2
2021,Prevalence of moderate or severe food insecurity in the population (%),Percent,15 years old and over,Male,All areas,11.3
2022,Prevalence of moderate or severe food insecurity in the population (%),Percent,15 years old and over,Male,All areas,10.9
2023,Prevalence of moderate or severe food insecurity in the population (%),Percent,15 years old and over,Male,All areas,8.1
2015,Prevalence of moderate or severe food insecurity in the population (%),Percent,All age ranges or no breakdown by age,Both sexes or no breakdown by sex,All areas,9.6
2016,Prevalence of moderate or severe food insecurity in the population (%),Percent,All age ranges or no breakdown by age,Both sexes or no breakdown by sex,All areas,10.3
2017,Prevalence of moderate or severe food insecurity in the population (%),Percent,All age ranges or no breakdown by age,Both sexes or no breakdown by sex,All areas,8.7
2018,Prevalence of moderate or severe food insecurity in the population (%),Percent,All age ranges or no breakdown by age,Both sexes or no breakdown by sex,All areas,9.2
2019,Prevalence of moderate or severe food insecurity in the population (%),Percent,All age ranges or no breakdown by age,Both sexes or no breakdown by sex,All areas,10.0
2020,Prevalence of moderate or severe food insecurity in the population (%),Percent,All age ranges or no breakdown by age,Both sexes or no breakdown by sex,All areas,12.6
2021,Prevalence of moderate or severe food insecurity in the population (%),Percent,All age ranges or no breakdown by age,Both sexes or no breakdown by sex,All areas,13.4
2022,Prevalence of moderate or severe food insecurity in the population (%),Percent,All age ranges or no breakdown by age,Both sexes or no breakdown by sex,All areas,13.3
2023,Prevalence of moderate or severe food insecurity in the population (%),Percent,All age ranges or no breakdown by age,Both sexes or no breakdown by sex,All areas,9.9
2015,Prevalence of severe food insecurity in the population (%),Percent,15 years old and over,Female,All areas,1.4
2016,Prevalence of severe food insecurity in the population (%),Percent,15 years old and over,Female,All areas,1.4
2017,Prevalence of severe food insecurity in the population (%),Percent,15 years old and over,Female,All areas,1.0
2018,Prevalence of severe food insecurity in the population (%),Percent,15 years old and over,Female,All areas,1.3
2019,Prevalence of severe food insecurity in the population (%),Percent,15 years old and over,Female,All areas,1.9
2020,Prevalence of severe food insecurity in the population (%),Percent,15 years old and over,Female,All areas,2.7
2021,Prevalence of severe food insecurity in the population (%),Percent,15 years old and over,Female,All areas,3.4
