Year,SERIES,UNIT_MEASURE,Value
2000,Proportion of population covered by at least a 2G mobile network,PT,60.0
2001,Proportion of population covered by at least a 2G mobile network,PT,80.0
2002,Proportion of population covered by at least a 2G mobile network,PT,90.0
2003,Proportion of population covered by at least a 2G mobile network,PT,93.0
2004,Proportion of population covered by at least a 2G mobile network,PT,95.0
2005,Proportion of population covered by at least a 2G mobile network,PT,97.0
2006,Proportion of population covered by at least a 2G mobile network,PT,99.0
2007,Proportion of population covered by at least a 2G mobile network,PT,99.0
2008,Proportion of population covered by at least a 2G mobile network,PT,99.3
2009,Proportion of population covered by at least a 2G mobile network,PT,99.5
2010,Proportion of population covered by at least a 2G mobile network,PT,99.7
2011,Proportion of population covered by at least a 2G mobile network,PT,99.7
2012,Proportion of population covered by at least a 2G mobile network,PT,99.8
2013,Proportion of population covered by at least a 2G mobile network,PT,99.8
2014,Proportion of population covered by at least a 2G mobile network,PT,99.8
2015,Proportion of population covered by at least a 2G mobile network,PT,100.0
2016,Proportion of population covered by at least a 2G mobile network,PT,100.0
2017,Proportion of population covered by at least a 2G mobile network,PT,100.0
2018,Proportion of population covered by at least a 2G mobile network,PT,100.0
2019,Proportion of population covered by at least a 2G mobile network,PT,100.0
2020,Proportion of population covered by at least a 2G mobile network,PT,100.0
2021,Proportion of population covered by at least a 2G mobile network,PT,100.0
2009,Proportion of population covered by at least a 3G mobile network,PT,25.0
2010,Proportion of population covered by at least a 3G mobile network,PT,60.0
2011,Proportion of population covered by at least a 3G mobile network,PT,70.0
2012,Proportion of population covered by at least a 3G mobile network,PT,72.0
2013,Proportion of population covered by at least a 3G mobile network,PT,90.0
2014,Proportion of population covered by at least a 3G mobile network,PT,95.0
2015,Proportion of population covered by at least a 3G mobile network,PT,95.0
2016,Proportion of population covered by at least a 3G mobile network,PT,95.0
2017,Proportion of population covered by at least a 3G mobile network,PT,95.0
2018,Proportion of population covered by at least a 3G mobile network,PT,95.0
2019,Proportion of population covered by at least a 3G mobile network,PT,95.0
2020,Proportion of population covered by at least a 3G mobile network,PT,95.0
2021,Proportion of population covered by at least a 3G mobile network,PT,97.0
2014,Proportion of population covered by at least a 4G mobile network,PT,0.0
2015,Proportion of population covered by at least a 4G mobile network,PT,0.0
2016,Proportion of population covered by at least a 4G mobile network,PT,0.0
2017,Proportion of population covered by at least a 4G mobile network,PT,0.0
2018,Proportion of population covered by at least a 4G mobile network,PT,0.0
2019,Proportion of population covered by at least a 4G mobile network,PT,82.0
2020,Proportion of population covered by at least a 4G mobile network,PT,82.0
2021,Proportion of population covered by at least a 4G mobile network,PT,93.0
