Year,SERIES,UNIT_MEASURE,Sex,Value
2000,Number of deaths attributed to suicide,Number,Both sexes or no breakdown by sex,339.0
2005,Number of deaths attributed to suicide,Number,Both sexes or no breakdown by sex,405.0
2010,Number of deaths attributed to suicide,Number,Both sexes or no breakdown by sex,390.0
2015,Number of deaths attributed to suicide,Number,Both sexes or no breakdown by sex,367.0
2019,Number of deaths attributed to suicide,Number,Both sexes or no breakdown by sex,361.0
2000,Number of deaths attributed to suicide,Number,Female,76.0
2005,Number of deaths attributed to suicide,Number,Female,85.0
2010,Number of deaths attributed to suicide,Number,Female,84.0
2015,Number of deaths attributed to suicide,Number,Female,81.0
2019,Number of deaths attributed to suicide,Number,Female,76.0
2000,Number of deaths attributed to suicide,Number,Male,263.0
2005,Number of deaths attributed to suicide,Number,Male,320.0
2010,Number of deaths attributed to suicide,Number,Male,306.0
2015,Number of deaths attributed to suicide,Number,Male,287.0
2019,Number of deaths attributed to suicide,Number,Male,285.0
2000,"Suicide mortality rate, by sex (deaths per 100,000 population)","Per 100,000 population",Both sexes or no breakdown by sex,11.0
2005,"Suicide mortality rate, by sex (deaths per 100,000 population)","Per 100,000 population",Both sexes or no breakdown by sex,10.8
2010,"Suicide mortality rate, by sex (deaths per 100,000 population)","Per 100,000 population",Both sexes or no breakdown by sex,10.5
2015,"Suicide mortality rate, by sex (deaths per 100,000 population)","Per 100,000 population",Both sexes or no breakdown by sex,10.6
2019,"Suicide mortality rate, by sex (deaths per 100,000 population)","Per 100,000 population",Both sexes or no breakdown by sex,10.9
2020,"Suicide mortality rate, by sex (deaths per 100,000 population)","Per 100,000 population",Both sexes or no breakdown by sex,9.8
2021,"Suicide mortality rate, by sex (deaths per 100,000 population)","Per 100,000 population",Both sexes or no breakdown by sex,9.8
2000,"Suicide mortality rate, by sex (deaths per 100,000 population)","Per 100,000 population",Female,5.6
2005,"Suicide mortality rate, by sex (deaths per 100,000 population)","Per 100,000 population",Female,4.8
2010,"Suicide mortality rate, by sex (deaths per 100,000 population)","Per 100,000 population",Female,4.6
2015,"Suicide mortality rate, by sex (deaths per 100,000 population)","Per 100,000 population",Female,4.8
2019,"Suicide mortality rate, by sex (deaths per 100,000 population)","Per 100,000 population",Female,5.0
2020,"Suicide mortality rate, by sex (deaths per 100,000 population)","Per 100,000 population",Female,4.4
2021,"Suicide mortality rate, by sex (deaths per 100,000 population)","Per 100,000 population",Female,4.7
2000,"Suicide mortality rate, by sex (deaths per 100,000 population)","Per 100,000 population",Male,16.8
2005,"Suicide mortality rate, by sex (deaths per 100,000 population)","Per 100,000 population",Male,17.4
2010,"Suicide mortality rate, by sex (deaths per 100,000 population)","Per 100,000 population",Male,16.9
2015,"Suicide mortality rate, by sex (deaths per 100,000 population)","Per 100,000 population",Male,17.0
2019,"Suicide mortality rate, by sex (deaths per 100,000 population)","Per 100,000 population",Male,17.5
2020,"Suicide mortality rate, by sex (deaths per 100,000 population)","Per 100,000 population",Male,15.7
2021,"Suicide mortality rate, by sex (deaths per 100,000 population)","Per 100,000 population",Male,13.7
