Year,Value,UNIT_MEASURE,SERIES
2019,1,NUMBER,Земље с националним статистичким плановима који су у потпуности финансирани (1= ДА; 0 = НЕ)
2020,1,NUMBER,Земље с националним статистичким плановима који су у потпуности финансирани (1= ДА; 0 = НЕ)
2021,1,NUMBER,Земље с националним статистичким плановима који су у потпуности финансирани (1= ДА; 0 = НЕ)
2022,1,NUMBER,Земље с националним статистичким плановима који су у потпуности финансирани (1= ДА; 0 = НЕ)
2019,1,NUMBER,Земље с националним статистичким плановима који су у спровођењу (1 = ДА; 0 = НЕ)
2020,1,NUMBER,Земље с националним статистичким плановима који су у спровођењу (1 = ДА; 0 = НЕ)
2021,1,NUMBER,Земље с националним статистичким плановима који су у спровођењу (1 = ДА; 0 = НЕ)
2022,1,NUMBER,Земље с националним статистичким плановима који су у спровођењу (1 = ДА; 0 = НЕ)
2019,1,NUMBER,Земље с националним статистичким плановима које финансира држава (1 = ДА; 0 = НЕ)
2020,1,NUMBER,Земље с националним статистичким плановима које финансира држава (1 = ДА; 0 = НЕ)
2021,1,NUMBER,Земље с националним статистичким плановима које финансира држава (1 = ДА; 0 = НЕ)
2022,1,NUMBER,Земље с националним статистичким плановима које финансира држава (1 = ДА; 0 = НЕ)
2019,1,NUMBER,Земље с националним статистичким плановима које финансирају донатори (1 = ДА; 0 = НЕ)
2020,1,NUMBER,Земље с националним статистичким плановима које финансирају донатори (1 = ДА; 0 = НЕ)
2021,1,NUMBER,Земље с националним статистичким плановима које финансирају донатори (1 = ДА; 0 = НЕ)
2022,1,NUMBER,Земље с националним статистичким плановима које финансирају донатори (1 = ДА; 0 = НЕ)
