Year,Value,UNIT_MEASURE,SERIES
2013,1,Број,Земље које су спровеле најмање један попис становништва и домаћинстава у посљедњих 10 година (1 = ДА; 0 = НЕ)
2015,1,Број,Земља са матичним књигама рођених које су попуњене најмање 90 посто (1 = ДА; 0 = НЕ)
2016,1,Број,Земља са матичним књигама рођених које су попуњене најмање 90 посто (1 = ДА; 0 = НЕ)
2017,1,Број,Земља са матичним књигама рођених које су попуњене најмање 90 посто (1 = ДА; 0 = НЕ)
2018,1,Број,Земља са матичним књигама рођених које су попуњене најмање 90 посто (1 = ДА; 0 = НЕ)
2019,1,Број,Земља са матичним књигама рођених које су попуњене најмање 90 посто (1 = ДА; 0 = НЕ)
2020,1,Број,Земља са матичним књигама рођених које су попуњене најмање 90 посто (1 = ДА; 0 = НЕ)
2015,1,Број,Земље са књигом умрлих које су попуњене најмање 75 посто (1 = ДА; 0 = НЕ)
2016,1,Број,Земље са књигом умрлих које су попуњене најмање 75 посто (1 = ДА; 0 = НЕ)
2017,1,Број,Земље са књигом умрлих које су попуњене најмање 75 посто (1 = ДА; 0 = НЕ)
2018,1,Број,Земље са књигом умрлих које су попуњене најмање 75 посто (1 = ДА; 0 = НЕ)
2019,1,Број,Земље са књигом умрлих које су попуњене најмање 75 посто (1 = ДА; 0 = НЕ)
2020,1,Број,Земље са књигом умрлих које су попуњене најмање 75 посто (1 = ДА; 0 = НЕ)
