Year,SERIES,UNIT_MEASURE,Године,Пол,Value
2000,Умрла дојенчад (број),Број,Млађи од 1 године,Оба пола или без подјеле по полу,
2001,Умрла дојенчад (број),Број,Млађи од 1 године,Оба пола или без подјеле по полу,
2002,Умрла дојенчад (број),Број,Млађи од 1 године,Оба пола или без подјеле по полу,
2003,Умрла дојенчад (број),Број,Млађи од 1 године,Оба пола или без подјеле по полу,
2004,Умрла дојенчад (број),Број,Млађи од 1 године,Оба пола или без подјеле по полу,
2005,Умрла дојенчад (број),Број,Млађи од 1 године,Оба пола или без подјеле по полу,
2006,Умрла дојенчад (број),Број,Млађи од 1 године,Оба пола или без подјеле по полу,
2007,Умрла дојенчад (број),Број,Млађи од 1 године,Оба пола или без подјеле по полу,
2008,Умрла дојенчад (број),Број,Млађи од 1 године,Оба пола или без подјеле по полу,
2009,Умрла дојенчад (број),Број,Млађи од 1 године,Оба пола или без подјеле по полу,
2010,Умрла дојенчад (број),Број,Млађи од 1 године,Оба пола или без подјеле по полу,220.0
2011,Умрла дојенчад (број),Број,Млађи од 1 године,Оба пола или без подјеле по полу,
2012,Умрла дојенчад (број),Број,Млађи од 1 године,Оба пола или без подјеле по полу,
2013,Умрла дојенчад (број),Број,Млађи од 1 године,Оба пола или без подјеле по полу,
2014,Умрла дојенчад (број),Број,Млађи од 1 године,Оба пола или без подјеле по полу,
2015,Умрла дојенчад (број),Број,Млађи од 1 године,Оба пола или без подјеле по полу,177.0
2016,Умрла дојенчад (број),Број,Млађи од 1 године,Оба пола или без подјеле по полу,176.0
2017,Умрла дојенчад (број),Број,Млађи од 1 године,Оба пола или без подјеле по полу,175.0
2018,Умрла дојенчад (број),Број,Млађи од 1 године,Оба пола или без подјеле по полу,176.0
2019,Умрла дојенчад (број),Број,Млађи од 1 године,Оба пола или без подјеле по полу,172.0
2020,Умрла дојенчад (број),Број,Млађи од 1 године,Оба пола или без подјеле по полу,163.0
2021,Умрла дојенчад (број),Број,Млађи од 1 године,Оба пола или без подјеле по полу,151.0
2022,Умрла дојенчад (број),Број,Млађи од 1 године,Оба пола или без подјеле по полу,140.0
2023,Умрла дојенчад (број),Број,Млађи од 1 године,Оба пола или без подјеле по полу,132.0
2000,Умрла дојенчад (број),Број,Млађи од 1 године,Жене,
2001,Умрла дојенчад (број),Број,Млађи од 1 године,Жене,
2002,Умрла дојенчад (број),Број,Млађи од 1 године,Жене,
2003,Умрла дојенчад (број),Број,Млађи од 1 године,Жене,
2004,Умрла дојенчад (број),Број,Млађи од 1 године,Жене,
2005,Умрла дојенчад (број),Број,Млађи од 1 године,Жене,
2006,Умрла дојенчад (број),Број,Млађи од 1 године,Жене,
2007,Умрла дојенчад (број),Број,Млађи од 1 године,Жене,
2008,Умрла дојенчад (број),Број,Млађи од 1 године,Жене,
2009,Умрла дојенчад (број),Број,Млађи од 1 године,Жене,
2010,Умрла дојенчад (број),Број,Млађи од 1 године,Жене,96.0
2011,Умрла дојенчад (број),Број,Млађи од 1 године,Жене,
2012,Умрла дојенчад (број),Број,Млађи од 1 године,Жене,
2013,Умрла дојенчад (број),Број,Млађи од 1 године,Жене,
2014,Умрла дојенчад (број),Број,Млађи од 1 године,Жене,
2015,Умрла дојенчад (број),Број,Млађи од 1 године,Жене,78.0
2016,Умрла дојенчад (број),Број,Млађи од 1 године,Жене,78.0
2017,Умрла дојенчад (број),Број,Млађи од 1 године,Жене,77.0
2018,Умрла дојенчад (број),Број,Млађи од 1 године,Жене,78.0
2019,Умрла дојенчад (број),Број,Млађи од 1 године,Жене,76.0
2020,Умрла дојенчад (број),Број,Млађи од 1 године,Жене,72.0
2021,Умрла дојенчад (број),Број,Млађи од 1 године,Жене,67.0
2022,Умрла дојенчад (број),Број,Млађи од 1 године,Жене,62.0
2023,Умрла дојенчад (број),Број,Млађи од 1 године,Жене,58.0
2000,Умрла дојенчад (број),Број,Млађи од 1 године,Мушкарци,
2001,Умрла дојенчад (број),Број,Млађи од 1 године,Мушкарци,
2002,Умрла дојенчад (број),Број,Млађи од 1 године,Мушкарци,
2003,Умрла дојенчад (број),Број,Млађи од 1 године,Мушкарци,
2004,Умрла дојенчад (број),Број,Млађи од 1 године,Мушкарци,
2005,Умрла дојенчад (број),Број,Млађи од 1 године,Мушкарци,
2006,Умрла дојенчад (број),Број,Млађи од 1 године,Мушкарци,
2007,Умрла дојенчад (број),Број,Млађи од 1 године,Мушкарци,
2008,Умрла дојенчад (број),Број,Млађи од 1 године,Мушкарци,
2009,Умрла дојенчад (број),Број,Млађи од 1 године,Мушкарци,
2010,Умрла дојенчад (број),Број,Млађи од 1 године,Мушкарци,124.0
2011,Умрла дојенчад (број),Број,Млађи од 1 године,Мушкарци,
2012,Умрла дојенчад (број),Број,Млађи од 1 године,Мушкарци,
2013,Умрла дојенчад (број),Број,Млађи од 1 године,Мушкарци,
2014,Умрла дојенчад (број),Број,Млађи од 1 године,Мушкарци,99.0
2015,Умрла дојенчад (број),Број,Млађи од 1 године,Мушкарци,98.0
2016,Умрла дојенчад (број),Број,Млађи од 1 године,Мушкарци,98.0
2017,Умрла дојенчад (број),Број,Млађи од 1 године,Мушкарци,98.0
2018,Умрла дојенчад (број),Број,Млађи од 1 године,Мушкарци,98.0
2019,Умрла дојенчад (број),Број,Млађи од 1 године,Мушкарци,96.0
2020,Умрла дојенчад (број),Број,Млађи од 1 године,Мушкарци,91.0
2021,Умрла дојенчад (број),Број,Млађи од 1 године,Мушкарци,84.0
2022,Умрла дојенчад (број),Број,Млађи од 1 године,Мушкарци,78.0
2023,Умрла дојенчад (број),Број,Млађи од 1 године,Мушкарци,74.0
2010,Стопа смртности дојенчади,На 1.000 живорођених,Млађи од 1 године,Оба пола или без подјеле по полу,6.0
2015,Стопа смртности дојенчади,На 1.000 живорођених,Млађи од 1 године,Оба пола или без подјеле по полу,5.9
2016,Стопа смртности дојенчади,На 1.000 живорођених,Млађи од 1 године,Оба пола или без подјеле по полу,5.9
2017,Стопа смртности дојенчади,На 1.000 живорођених,Млађи од 1 године,Оба пола или без подјеле по полу,6.0
2018,Стопа смртности дојенчади,На 1.000 живорођених,Млађи од 1 године,Оба пола или без подјеле по полу,5.9
2019,Стопа смртности дојенчади,На 1.000 живорођених,Млађи од 1 године,Оба пола или без подјеле по полу,5.9
2020,Стопа смртности дојенчади,На 1.000 живорођених,Млађи од 1 године,Оба пола или без подјеле по полу,5.8
2021,Стопа смртности дојенчади,На 1.000 живорођених,Млађи од 1 године,Оба пола или без подјеле по полу,5.7
2022,Стопа смртности дојенчади,На 1.000 живорођених,Млађи од 1 године,Оба пола или без подјеле по полу,5.5
2023,Стопа смртности дојенчади,На 1.000 живорођених,Млађи од 1 године,Оба пола или без подјеле по полу,5.3
2010,Стопа смртности дојенчади,На 1.000 живорођених,Млађи од 1 године,Жене,5.4
2015,Стопа смртности дојенчади,На 1.000 живорођених,Млађи од 1 године,Жене,5.4
2016,Стопа смртности дојенчади,На 1.000 живорођених,Млађи од 1 године,Жене,5.4
2017,Стопа смртности дојенчади,На 1.000 живорођених,Млађи од 1 године,Жене,5.4
2018,Стопа смртности дојенчади,На 1.000 живорођених,Млађи од 1 године,Жене,5.4
2019,Стопа смртности дојенчади,На 1.000 живорођених,Млађи од 1 године,Жене,5.4
2020,Стопа смртности дојенчади,На 1.000 живорођених,Млађи од 1 године,Жене,5.3
2021,Стопа смртности дојенчади,На 1.000 живорођених,Млађи од 1 године,Жене,5.2
2022,Стопа смртности дојенчади,На 1.000 живорођених,Млађи од 1 године,Жене,5.0
2023,Стопа смртности дојенчади,На 1.000 живорођених,Млађи од 1 године,Жене,4.9
2010,Стопа смртности дојенчади,На 1.000 живорођених,Млађи од 1 године,Мушкарци,6.5
2015,Стопа смртности дојенчади,На 1.000 живорођених,Млађи од 1 године,Мушкарци,6.4
2016,Стопа смртности дојенчади,На 1.000 живорођених,Млађи од 1 године,Мушкарци,6.5
2017,Стопа смртности дојенчади,На 1.000 живорођених,Млађи од 1 године,Мушкарци,6.5
2018,Стопа смртности дојенчади,На 1.000 живорођених,Млађи од 1 године,Мушкарци,6.4
2019,Стопа смртности дојенчади,На 1.000 живорођених,Млађи од 1 године,Мушкарци,6.4
2020,Стопа смртности дојенчади,На 1.000 живорођених,Млађи од 1 године,Мушкарци,6.3
2021,Стопа смртности дојенчади,На 1.000 живорођених,Млађи од 1 године,Мушкарци,6.1
2022,Стопа смртности дојенчади,На 1.000 живорођених,Млађи од 1 године,Мушкарци,6.0
2023,Стопа смртности дојенчади,На 1.000 живорођених,Млађи од 1 године,Мушкарци,5.8
2010,Смртност испод пет година (број),Број,Испод 5 година,Оба пола или без подјеле по полу,254.0
2015,Смртност испод пет година (број),Број,Испод 5 година,Оба пола или без подјеле по полу,204.0
2016,Смртност испод пет година (број),Број,Испод 5 година,Оба пола или без подјеле по полу,202.0
2017,Смртност испод пет година (број),Број,Испод 5 година,Оба пола или без подјеле по полу,201.0
2018,Смртност испод пет година (број),Број,Испод 5 година,Оба пола или без подјеле по полу,200.0
2019,Смртност испод пет година (број),Број,Испод 5 година,Оба пола или без подјеле по полу,196.0
2020,Смртност испод пет година (број),Број,Испод 5 година,Оба пола или без подјеле по полу,186.0
2021,Смртност испод пет година (број),Број,Испод 5 година,Оба пола или без подјеле по полу,173.0
2022,Смртност испод пет година (број),Број,Испод 5 година,Оба пола или без подјеле по полу,160.0
2023,Смртност испод пет година (број),Број,Испод 5 година,Оба пола или без подјеле по полу,151.0
2010,Смртност испод пет година (број),Број,Испод 5 година,Жене,110.0
2015,Смртност испод пет година (број),Број,Испод 5 година,Жене,89.0
2016,Смртност испод пет година (број),Број,Испод 5 година,Жене,89.0
2017,Смртност испод пет година (број),Број,Испод 5 година,Жене,88.0
2018,Смртност испод пет година (број),Број,Испод 5 година,Жене,88.0
2019,Смртност испод пет година (број),Број,Испод 5 година,Жене,86.0
2020,Смртност испод пет година (број),Број,Испод 5 година,Жене,81.0
2021,Смртност испод пет година (број),Број,Испод 5 година,Жене,76.0
2022,Смртност испод пет година (број),Број,Испод 5 година,Жене,70.0
2023,Смртност испод пет година (број),Број,Испод 5 година,Жене,67.0
2010,Смртност испод пет година (број),Број,Испод 5 година,Мушкарци,144.0
2015,Смртност испод пет година (број),Број,Испод 5 година,Мушкарци,115.0
2016,Смртност испод пет година (број),Број,Испод 5 година,Мушкарци,113.0
2017,Смртност испод пет година (број),Број,Испод 5 година,Мушкарци,113.0
2018,Смртност испод пет година (број),Број,Испод 5 година,Мушкарци,112.0
2019,Смртност испод пет година (број),Број,Испод 5 година,Мушкарци,110.0
2020,Смртност испод пет година (број),Број,Испод 5 година,Мушкарци,105.0
2021,Смртност испод пет година (број),Број,Испод 5 година,Мушкарци,97.0
2022,Смртност испод пет година (број),Број,Испод 5 година,Мушкарци,90.0
2023,Смртност испод пет година (број),Број,Испод 5 година,Мушкарци,84.0
2010,Стопа смртности испод пет година,На 1.000 живорођених,Испод 5 година,Оба пола или без подјеле по полу,6.8
2015,Стопа смртности испод пет година,На 1.000 живорођених,Испод 5 година,Оба пола или без подјеле по полу,6.7
2016,Стопа смртности испод пет година,На 1.000 живорођених,Испод 5 година,Оба пола или без подјеле по полу,6.8
2017,Стопа смртности испод пет година,На 1.000 живорођених,Испод 5 година,Оба пола или без подјеле по полу,6.8
2018,Стопа смртности испод пет година,На 1.000 живорођених,Испод 5 година,Оба пола или без подјеле по полу,6.8
2019,Стопа смртности испод пет година,На 1.000 живорођених,Испод 5 година,Оба пола или без подјеле по полу,6.7
2020,Стопа смртности испод пет година,На 1.000 живорођених,Испод 5 година,Оба пола или без подјеле по полу,6.6
2021,Стопа смртности испод пет година,На 1.000 живорођених,Испод 5 година,Оба пола или без подјеле по полу,6.4
2022,Стопа смртности испод пет година,На 1.000 живорођених,Испод 5 година,Оба пола или без подјеле по полу,6.2
2023,Стопа смртности испод пет година,На 1.000 живорођених,Испод 5 година,Оба пола или без подјеле по полу,6.0
2010,Стопа смртности испод пет година,На 1.000 живорођених,Испод 5 година,Жене,6.1
2015,Стопа смртности испод пет година,На 1.000 живорођених,Испод 5 година,Жене,6.1
2016,Стопа смртности испод пет година,На 1.000 живорођених,Испод 5 година,Жене,6.1
2017,Стопа смртности испод пет година,На 1.000 живорођених,Испод 5 година,Жене,6.2
2018,Стопа смртности испод пет година,На 1.000 живорођених,Испод 5 година,Жене,6.1
2019,Стопа смртности испод пет година,На 1.000 живорођених,Испод 5 година,Жене,6.1
2020,Стопа смртности испод пет година,На 1.000 живорођених,Испод 5 година,Жене,6.0
2021,Стопа смртности испод пет година,На 1.000 живорођених,Испод 5 година,Жене,5.8
2022,Стопа смртности испод пет година,На 1.000 живорођених,Испод 5 година,Жене,5.7
2023,Стопа смртности испод пет година,На 1.000 живорођених,Испод 5 година,Жене,5.5
2010,Стопа смртности испод пет година,На 1.000 живорођених,Испод 5 година,Мушкарци,7.5
2015,Стопа смртности испод пет година,На 1.000 живорођених,Испод 5 година,Мушкарци,7.3
2016,Стопа смртности испод пет година,На 1.000 живорођених,Испод 5 година,Мушкарци,7.4
2017,Стопа смртности испод пет година,На 1.000 живорођених,Испод 5 година,Мушкарци,7.4
2018,Стопа смртности испод пет година,На 1.000 живорођених,Испод 5 година,Мушкарци,7.4
