Year,SERIES,UNIT_MEASURE,Године,Пол,Value
2000,"Запослено становништво испод међународне линије сиромаштва, по полу и старости (%)",Проценат,15 година и више,Оба пола или без подјеле по полу,
2001,"Запослено становништво испод међународне линије сиромаштва, по полу и старости (%)",Проценат,15 година и више,Оба пола или без подјеле по полу,0.22
2002,"Запослено становништво испод међународне линије сиромаштва, по полу и старости (%)",Проценат,15 година и више,Оба пола или без подјеле по полу,
2003,"Запослено становништво испод међународне линије сиромаштва, по полу и старости (%)",Проценат,15 година и више,Оба пола или без подјеле по полу,
2004,"Запослено становништво испод међународне линије сиромаштва, по полу и старости (%)",Проценат,15 година и више,Оба пола или без подјеле по полу,0.11
2005,"Запослено становништво испод међународне линије сиромаштва, по полу и старости (%)",Проценат,15 година и више,Оба пола или без подјеле по полу,
2006,"Запослено становништво испод међународне линије сиромаштва, по полу и старости (%)",Проценат,15 година и више,Оба пола или без подјеле по полу,
2007,"Запослено становништво испод међународне линије сиромаштва, по полу и старости (%)",Проценат,15 година и више,Оба пола или без подјеле по полу,0.08
2008,"Запослено становништво испод међународне линије сиромаштва, по полу и старости (%)",Проценат,15 година и више,Оба пола или без подјеле по полу,
2009,"Запослено становништво испод међународне линије сиромаштва, по полу и старости (%)",Проценат,15 година и више,Оба пола или без подјеле по полу,
2010,"Запослено становништво испод међународне линије сиромаштва, по полу и старости (%)",Проценат,15 година и више,Оба пола или без подјеле по полу,
2011,"Запослено становништво испод међународне линије сиромаштва, по полу и старости (%)",Проценат,15 година и више,Оба пола или без подјеле по полу,0.09
2012,"Запослено становништво испод међународне линије сиромаштва, по полу и старости (%)",Проценат,15 година и више,Оба пола или без подјеле по полу,
2013,"Запослено становништво испод међународне линије сиромаштва, по полу и старости (%)",Проценат,15 година и више,Оба пола или без подјеле по полу,
2014,"Запослено становништво испод међународне линије сиромаштва, по полу и старости (%)",Проценат,15 година и више,Оба пола или без подјеле по полу,
2015,"Запослено становништво испод међународне линије сиромаштва, по полу и старости (%)",Проценат,15 година и више,Оба пола или без подјеле по полу,
2016,"Запослено становништво испод међународне линије сиромаштва, по полу и старости (%)",Проценат,15 година и више,Оба пола или без подјеле по полу,
2017,"Запослено становништво испод међународне линије сиромаштва, по полу и старости (%)",Проценат,15 година и више,Оба пола или без подјеле по полу,
2018,"Запослено становништво испод међународне линије сиромаштва, по полу и старости (%)",Проценат,15 година и више,Оба пола или без подјеле по полу,
2019,"Запослено становништво испод међународне линије сиромаштва, по полу и старости (%)",Проценат,15 година и више,Оба пола или без подјеле по полу,0.08
2020,"Запослено становништво испод међународне линије сиромаштва, по полу и старости (%)",Проценат,15 година и више,Оба пола или без подјеле по полу,
2021,"Запослено становништво испод међународне линије сиромаштва, по полу и старости (%)",Проценат,15 година и више,Оба пола или без подјеле по полу,
2022,"Запослено становништво испод међународне линије сиромаштва, по полу и старости (%)",Проценат,15 година и више,Оба пола или без подјеле по полу,
2000,"Запослено становништво испод међународне линије сиромаштва, по полу и старости (%)",Проценат,15 година и више,Жене,
2001,"Запослено становништво испод међународне линије сиромаштва, по полу и старости (%)",Проценат,15 година и више,Жене,0.27
2002,"Запослено становништво испод међународне линије сиромаштва, по полу и старости (%)",Проценат,15 година и више,Жене,
2003,"Запослено становништво испод међународне линије сиромаштва, по полу и старости (%)",Проценат,15 година и више,Жене,
2004,"Запослено становништво испод међународне линије сиромаштва, по полу и старости (%)",Проценат,15 година и више,Жене,0.14
2005,"Запослено становништво испод међународне линије сиромаштва, по полу и старости (%)",Проценат,15 година и више,Жене,
2006,"Запослено становништво испод међународне линије сиромаштва, по полу и старости (%)",Проценат,15 година и више,Жене,
2007,"Запослено становништво испод међународне линије сиромаштва, по полу и старости (%)",Проценат,15 година и више,Жене,0.09
2008,"Запослено становништво испод међународне линије сиромаштва, по полу и старости (%)",Проценат,15 година и више,Жене,
2009,"Запослено становништво испод међународне линије сиромаштва, по полу и старости (%)",Проценат,15 година и више,Жене,
2010,"Запослено становништво испод међународне линије сиромаштва, по полу и старости (%)",Проценат,15 година и више,Жене,
2011,"Запослено становништво испод међународне линије сиромаштва, по полу и старости (%)",Проценат,15 година и више,Жене,
2012,"Запослено становништво испод међународне линије сиромаштва, по полу и старости (%)",Проценат,15 година и више,Жене,
2013,"Запослено становништво испод међународне линије сиромаштва, по полу и старости (%)",Проценат,15 година и више,Жене,
2014,"Запослено становништво испод међународне линије сиромаштва, по полу и старости (%)",Проценат,15 година и више,Жене,
2015,"Запослено становништво испод међународне линије сиромаштва, по полу и старости (%)",Проценат,15 година и више,Жене,
2016,"Запослено становништво испод међународне линије сиромаштва, по полу и старости (%)",Проценат,15 година и више,Жене,
2017,"Запослено становништво испод међународне линије сиромаштва, по полу и старости (%)",Проценат,15 година и више,Жене,
2018,"Запослено становништво испод међународне линије сиромаштва, по полу и старости (%)",Проценат,15 година и више,Жене,
2019,"Запослено становништво испод међународне линије сиромаштва, по полу и старости (%)",Проценат,15 година и више,Жене,0.08
2000,"Запослено становништво испод међународне линије сиромаштва, по полу и старости (%)",Проценат,15 година и више,Мушкарци,
2001,"Запослено становништво испод међународне линије сиромаштва, по полу и старости (%)",Проценат,15 година и више,Мушкарци,0.18
2002,"Запослено становништво испод међународне линије сиромаштва, по полу и старости (%)",Проценат,15 година и више,Мушкарци,
2003,"Запослено становништво испод међународне линије сиромаштва, по полу и старости (%)",Проценат,15 година и више,Мушкарци,0.12
2004,"Запослено становништво испод међународне линије сиромаштва, по полу и старости (%)",Проценат,15 година и више,Мушкарци,0.1
2005,"Запослено становништво испод међународне линије сиромаштва, по полу и старости (%)",Проценат,15 година и више,Мушкарци,
2006,"Запослено становништво испод међународне линије сиромаштва, по полу и старости (%)",Проценат,15 година и више,Мушкарци,
2007,"Запослено становништво испод међународне линије сиромаштва, по полу и старости (%)",Проценат,15 година и више,Мушкарци,0.07
2008,"Запослено становништво испод међународне линије сиромаштва, по полу и старости (%)",Проценат,15 година и више,Мушкарци,
2009,"Запослено становништво испод међународне линије сиромаштва, по полу и старости (%)",Проценат,15 година и више,Мушкарци,
