Year,SERIES,UNIT_MEASURE,Пол,Value
2010,Удио жена на руководећим позицијама- 13. ICLS (%),Проценат,Жене,23.83
2011,Удио жена на руководећим позицијама- 13. ICLS (%),Проценат,Жене,21.42
2012,Удио жена на руководећим позицијама- 13. ICLS (%),Проценат,Жене,24.16
2013,Удио жена на руководећим позицијама- 13. ICLS (%),Проценат,Жене,22.79
2014,Удио жена на руководећим позицијама- 13. ICLS (%),Проценат,Жене,24.15
2015,Удио жена на руководећим позицијама- 13. ICLS (%),Проценат,Жене,22.0
2016,Удио жена на руководећим позицијама- 13. ICLS (%),Проценат,Жене,21.59
2017,Удио жена на руководећим позицијама- 13. ICLS (%),Проценат,Жене,20.29
2018,Удио жена на руководећим позицијама- 13. ICLS (%),Проценат,Жене,25.92
2019,Удио жена на руководећим позицијама- 13. ICLS (%),Проценат,Жене,24.32
2020,Удио жена на руководећим позицијама- 13. ICLS (%),Проценат,Жене,25.12
2021,Удио жена на руководећим позицијама- 13. ICLS (%),Проценат,Жене,24.2
2022,Удио жена на руководећим позицијама- 13. ICLS (%),Проценат,Жене,24.1
2010,Удио жена на вишим и средњим руководећим позицијама- 13. ICLS (%),Проценат,Жене,30.2
2011,Удио жена на вишим и средњим руководећим позицијама- 13. ICLS (%),Проценат,Жене,22.6
2012,Удио жена на вишим и средњим руководећим позицијама- 13. ICLS (%),Проценат,Жене,23.0
2013,Удио жена на вишим и средњим руководећим позицијама- 13. ICLS (%),Проценат,Жене,21.4
2014,Удио жена на вишим и средњим руководећим позицијама- 13. ICLS (%),Проценат,Жене,24.2
2015,Удио жена на вишим и средњим руководећим позицијама- 13. ICLS (%),Проценат,Жене,24.2
2016,Удио жена на вишим и средњим руководећим позицијама- 13. ICLS (%),Проценат,Жене,18.8
2017,Удио жена на вишим и средњим руководећим позицијама- 13. ICLS (%),Проценат,Жене,18.8
2018,Удио жена на вишим и средњим руководећим позицијама- 13. ICLS (%),Проценат,Жене,26.1
2019,Удио жена на вишим и средњим руководећим позицијама- 13. ICLS (%),Проценат,Жене,25.4
2020,Удио жена на вишим и средњим руководећим позицијама- 13. ICLS (%),Проценат,Жене,24.9
2021,Удио жена на вишим и средњим руководећим позицијама- 13. ICLS (%),Проценат,Жене,20.2
2022,Удио жена на вишим и средњим руководећим позицијама- 13. ICLS (%),Проценат,Жене,24.1
2021,Удио жена на руководећим позицијама- 19. ICLS (%),Проценат,Жене,24.18
2022,Удио жена на руководећим позицијама- 19. ICLS (%),Проценат,Жене,24.07
2021,Удио жена на вишим и средњим руководећим позицијама- 19. ICLS (%),Проценат,Жене,20.17
2022,Удио жена на вишим и средњим руководећим позицијама- 19. ICLS (%),Проценат,Жене,24.09
