Year,SERIES,UNIT_MEASURE,Године,Пол,COMPOSITE_BREAKDOWN,Value
2015,"Стопа смртности узрокована кардиоваскуларним болестима, раком, дијабетесом или хроничном респираторном болешћу",Проценат,30 до тачно 70 година,Оба пола или без подјеле по полу,,19.2
2019,"Стопа смртности узрокована кардиоваскуларним болестима, раком, дијабетесом или хроничном респираторном болешћу",Проценат,30 до тачно 70 година,Оба пола или без подјеле по полу,,18.7
2015,"Стопа смртности узрокована кардиоваскуларним болестима, раком, дијабетесом или хроничном респираторном болешћу",Проценат,30 до тачно 70 година,Жене,,14.1
2019,"Стопа смртности узрокована кардиоваскуларним болестима, раком, дијабетесом или хроничном респираторном болешћу",Проценат,30 до тачно 70 година,Жене,,13.6
2015,"Стопа смртности узрокована кардиоваскуларним болестима, раком, дијабетесом или хроничном респираторном болешћу",Проценат,30 до тачно 70 година,Мушкарци,,24.6
2019,"Стопа смртности узрокована кардиоваскуларним болестима, раком, дијабетесом или хроничном респираторном болешћу",Проценат,30 до тачно 70 година,Мушкарци,,24.0
2015,"Број умрлих узрокован незаразним болестима, према врсти болести и сплу (број)",Број,,Оба пола или без подјеле по полу,Рак,8056.0
2019,"Број умрлих узрокован незаразним болестима, према врсти болести и сплу (број)",Број,,Оба пола или без подјеле по полу,Рак,8407.0
2015,"Број умрлих узрокован незаразним болестима, према врсти болести и сплу (број)",Број,,Жене,Рак,3270.0
2019,"Број умрлих узрокован незаразним болестима, према врсти болести и сплу (број)",Број,,Жене,Рак,3395.0
2015,"Број умрлих узрокован незаразним болестима, према врсти болести и сплу (број)",Број,,Оба пола или без подјеле по полу,Кардиоваскуларне болести,18648.0
2019,"Број умрлих узрокован незаразним болестима, према врсти болести и сплу (број)",Број,,Оба пола или без подјеле по полу,Кардиоваскуларне болести,19651.0
2015,"Број умрлих узрокован незаразним болестима, према врсти болести и сплу (број)",Број,,Жене,Кардиоваскуларне болести,10181.0
2019,"Број умрлих узрокован незаразним болестима, према врсти болести и сплу (број)",Број,,Жене,Кардиоваскуларне болести,10665.0
2015,"Број умрлих узрокован незаразним болестима, према врсти болести и сплу (број)",Број,,Оба пола или без подјеле по полу,Дијабетес,2476.0
2019,"Број умрлих узрокован незаразним болестима, према врсти болести и сплу (број)",Број,,Оба пола или без подјеле по полу,Дијабетес,2582.0
2015,"Број умрлих узрокован незаразним болестима, према врсти болести и сплу (број)",Број,,Жене,Дијабетес,1445.0
2019,"Број умрлих узрокован незаразним болестима, према врсти болести и сплу (број)",Број,,Жене,Дијабетес,1504.0
2015,"Број умрлих узрокован незаразним болестима, према врсти болести и сплу (број)",Број,,Оба пола или без подјеле по полу,Хронична респираторна болест,1249.0
2019,"Број умрлих узрокован незаразним болестима, према врсти болести и сплу (број)",Број,,Оба пола или без подјеле по полу,Хронична респираторна болест,1262.0
2015,"Број умрлих узрокован незаразним болестима, према врсти болести и сплу (број)",Број,,Мушкарци,Рак,4785.0
2019,"Број умрлих узрокован незаразним болестима, према врсти болести и сплу (број)",Број,,Мушкарци,Рак,5012.0
2015,"Број умрлих узрокован незаразним болестима, према врсти болести и сплу (број)",Број,,Мушкарци,Кардиоваскуларне болести,8468.0
2019,"Број умрлих узрокован незаразним болестима, према врсти болести и сплу (број)",Број,,Мушкарци,Кардиоваскуларне болести,8986.0
2015,"Број умрлих узрокован незаразним болестима, према врсти болести и сплу (број)",Број,,Мушкарци,Дијабетес,1031.0
2019,"Број умрлих узрокован незаразним болестима, према врсти болести и сплу (број)",Број,,Мушкарци,Дијабетес,1078.0
2015,"Број умрлих узрокован незаразним болестима, према врсти болести и сплу (број)",Број,,Жене,Хронична респираторна болест,474.0
2019,"Број умрлих узрокован незаразним болестима, према врсти болести и сплу (број)",Број,,Жене,Хронична респираторна болест,477.0
2015,"Број умрлих узрокован незаразним болестима, према врсти болести и сплу (број)",Број,,Мушкарци,Хронична респираторна болест,776.0
2019,"Број умрлих узрокован незаразним болестима, према врсти болести и сплу (број)",Број,,Мушкарци,Хронична респираторна болест,785.0
